analysis,region,eval_type,cnn_mean,transformer_mean,mean_diff_transformer_minus_cnn,cnn_median,transformer_median,beta,ci_lo,ci_hi,p_value,n_obs,n_subjects,n_models
regular,EBA,crsa,0.2035958089611747,0.1422041235225541,-0.06139168543862061,0.2085962742567062,0.1425935924053192,-0.0613916854386205,-0.0735765243617682,-0.0492068465154728,6.394852820358468e-20,270,5,54
regular,EBA,wrsa,0.482306025425593,0.478400038537525,-0.0039059868880679804,0.4974594414234161,0.4905868172645569,-0.003905986888068,-0.012681789185798,0.0048698154096618,0.3816255649854159,270,5,54
regular,FBA,crsa,0.1797550497633038,0.1256935673632792,-0.05406148240002462,0.1779132336378097,0.1270217597484588,-0.0540614824000245,-0.0647570270657308,-0.0433659377343182,5.0649925135353904e-20,270,5,54
regular,FBA,wrsa,0.427719408454317,0.4193577479748498,-0.008361660479467181,0.4216705560684204,0.4153303503990173,-0.0083616604794671,-0.0159645236117788,-0.0007587973471554,0.0312447772127593,270,5,54
regular,FFA-1,crsa,0.1595361118966883,0.1145824248592058,-0.04495368703748248,0.1605947911739349,0.1072375699877739,-0.0449536870374823,-0.0550200271234646,-0.0348873469515001,1.917092776212289e-16,270,5,54
regular,FFA-1,wrsa,0.3441825818834882,0.3449368525119055,0.000754270628417264,0.3482425212860107,0.3326930105686188,0.0007542706284172,-0.0071472292937098,0.0086557705505442,0.8510538073486831,270,5,54
regular,FFA-2,crsa,0.1530759370688236,0.1117310344507651,-0.04134490261805851,0.1540210396051406,0.1087647303938865,-0.0413449026180584,-0.0519805717956691,-0.0307092334404477,3.667787828063459e-13,270,5,54
regular,FFA-2,wrsa,0.334369347854094,0.3240875923917407,-0.010281755462353326,0.346243679523468,0.3399518728256225,-0.0102817554623534,-0.0181359635469443,-0.0024275473777624,0.0104931647330763,270,5,54
regular,OFA,crsa,0.1481266431171785,0.1068126051553658,-0.0413140379618127,0.1500110626220703,0.1028293147683143,-0.0413140379618127,-0.0505132317862958,-0.0321148441373295,1.3595601269825174e-16,270,5,54
regular,OFA,wrsa,0.2809804732600848,0.2999079105399904,0.01892743727990559,0.2774384021759033,0.2962175011634826,0.0189274372799055,0.0088202015919283,0.0290346729678827,0.0002751591397265,270,5,54
regular,OPA,crsa,0.1720567876529513,0.1201600797818086,-0.051896707871142686,0.1685305535793304,0.1144017353653907,-0.0518967078711426,-0.0649355204630638,-0.0388578952792213,1.1365742283058549e-13,270,5,54
regular,OPA,wrsa,0.3134036886872667,0.3209672292073567,0.007563540520090006,0.3143877983093261,0.3276757001876831,0.0075635405200899,-0.0014947830505468,0.0166218640907267,0.1013515282604185,270,5,54
regular,PPA,crsa,0.18263044291825,0.1304704493177788,-0.052159993600471216,0.1823517084121704,0.1273170411586761,-0.0521599936004711,-0.0654321434429574,-0.0388878437579849,2.144953269345577e-13,270,5,54
regular,PPA,wrsa,0.368246362064824,0.3560747270073209,-0.012171635057503072,0.3616825044155121,0.3507025241851806,-0.012171635057503,-0.0204713941559597,-0.0038718759590463,0.004204304403365,270,5,54
regular,VWFA-1,crsa,0.1360504615882581,0.0872136152482458,-0.0488368463400123,0.1392100304365158,0.0820725932717323,-0.0488368463400122,-0.058789103738622,-0.0388845889414024,4.1704655304479862e-19,270,5,54
regular,VWFA-1,wrsa,0.2801535227081992,0.2860350024132501,0.005881479705050874,0.2945892810821533,0.3029054999351501,0.0058814797050508,-0.0023811252344172,0.0141440846445189,0.1622197320894184,270,5,54
regular,VWFA-2,crsa,0.0966938234470558,0.080053987162232,-0.016639836284823795,0.0960888117551803,0.0751427114009857,-0.0166398362848238,-0.0247220319960083,-0.0085576405736393,6.63507586275774e-05,270,5,54
regular,VWFA-2,wrsa,0.2233834025534716,0.2236822573201997,0.000298854766728085,0.2219227105379104,0.2226685434579849,0.000298854766728,-0.0080154812247216,0.0086131907581777,0.9436308843808596,270,5,54
regular,l-objects,crsa,0.2052161804202831,0.1438481410344441,-0.06136803938583901,0.1997513025999069,0.1477635502815246,-0.0613680393858389,-0.0725916437830013,-0.0501444349886764,1.2002999346696397e-22,270,5,54
regular,l-objects,wrsa,0.4729303401527983,0.4747610509395599,0.0018307107867616135,0.4633196294307709,0.4704048037528991,0.0018307107867616,-0.0072556175003249,0.0109170390738481,0.6919006123776708,270,5,54
regular,laion-lateral,crsa,0.198864920245427,0.133200792702181,-0.06566412754324602,0.2064811587333679,0.1294400542974472,-0.065664127543246,-0.0772394246132945,-0.0540888304731975,5.594008712556558e-24,270,5,54
regular,laion-lateral,wrsa,0.3887124525778221,0.3977381015107745,0.00902564893295238,0.3903275430202484,0.3951472342014313,0.0090256489329523,-0.0010622973493446,0.0191135952152494,0.0792861271891384,270,5,54
regular,laion-ventral,crsa,0.2217628383726784,0.1509628431782836,-0.07079999519439481,0.2308802604675293,0.1430740058422088,-0.0707999951943948,-0.0838943174917454,-0.0577056728970443,2.957898622703203e-22,270,5,54
regular,laion-ventral,wrsa,0.466005708954551,0.4792536306948889,0.013247921740337898,0.4689778685569763,0.4778191745281219,0.0132479217403378,0.004161061401948,0.0223347820787276,0.0044284352859224,270,5,54
regular,mfs-words,crsa,0.1288176267831162,0.0948127674360183,-0.034004859347097904,0.1375962644815445,0.0979190655052661,-0.034004859347098,-0.0468627741693433,-0.0211469445248526,4.410604846747905e-07,216,4,54
regular,mfs-words,wrsa,0.3246750336027507,0.3159963454873788,-0.008678688115371869,0.3222631961107254,0.2943367511034012,-0.0086786881153718,-0.018976382906888,0.0016190066761443,0.0981288691260518,216,4,54
regular,otc,crsa,0.2254419995528279,0.1523804634720796,-0.07306153608074831,0.2359450608491897,0.1459508389234542,-0.0730615360807482,-0.0860296089892175,-0.0600934631722788,1.0028392073131581e-23,270,5,54
regular,otc,wrsa,0.4469867697267821,0.4604374686876932,0.013450698960911112,0.4537900388240814,0.4597497880458832,0.013450698960911,0.0035273168800782,0.0233740810417439,0.008081856807565,270,5,54
regular,otc-category,crsa,0.2340221776203675,0.1624411338851565,-0.07158104373521101,0.2408985942602157,0.1569769978523254,-0.0715810437352109,-0.0846149885744001,-0.0585470988960218,8.384970056074745e-23,270,5,54
regular,otc-category,wrsa,0.5342705338290243,0.5381888270378112,0.003918293208786894,0.5407448410987854,0.5500350594520569,0.0039182932087868,-0.0049429176521261,0.0127795040696998,0.3847320401739024,270,5,54
regular,otc-streams,crsa,0.2251026102990815,0.1499700320352401,-0.0751325782638414,0.2344785183668136,0.1416420042514801,-0.0751325782638413,-0.0880894450360399,-0.0621757114916428,8.3509998285209e-25,270,5,54
regular,otc-streams,wrsa,0.446811108155684,0.4610804086639767,0.014269300508292726,0.4541884064674377,0.4638127088546753,0.0142693005082926,0.0040372839247359,0.0245013170918493,0.006449279313676,270,5,54
regular,pSTS-words,crsa,0.0337026788232227,0.0345903195564114,0.0008876407331886993,0.0334114301949739,0.0320478212088346,0.0008876407331886,-0.007742397047019,0.0095176785133964,0.838793536077169,108,2,54
regular,pSTS-words,wrsa,0.0897679518992927,0.0859185346801366,-0.00384941721915609,0.082306157797575,0.053827378898859,-0.0038494172191562,-0.0152673292604469,0.0075684948221345,0.5052920900839399,108,2,54
regular,v-objects,crsa,0.2155573561336055,0.1511384277826263,-0.0644189283509792,0.2222251147031784,0.1449739784002304,-0.0644189283509791,-0.0768050056924569,-0.0520328510095012,6.087411355056504e-21,270,5,54
regular,v-objects,wrsa,0.5559503616708698,0.5537593674092066,-0.0021909942616631373,0.5668031573295593,0.5631081461906433,-0.0021909942616633,-0.0099923462527289,0.0056103577294022,0.5807402005980302,270,5,54
ood,EBA,crsa,0.2254988990385424,0.1636214372480199,-0.0618774617905225,0.2262415140867233,0.1463939994573593,-0.0618774617905224,-0.0792106428557635,-0.0445442807252813,1.7732839150470012e-11,270,5,54
ood,EBA,wrsa,0.4570384648713199,0.4720296561717987,0.014991191300478823,0.4566029012203216,0.4717428386211395,0.0149911913004787,0.0062060870141023,0.0237762955868552,0.0008946982478923,270,5,54
ood,FBA,crsa,0.1939849616564584,0.1358996291955312,-0.0580853324609272,0.1825547665357589,0.1234104037284851,-0.0580853324609271,-0.0761069514336545,-0.0400637134881998,9.557622107911192e-10,270,5,54
ood,FBA,wrsa,0.3803952659621383,0.4026935222603026,0.022298256298164287,0.371991366147995,0.4014796018600464,0.0222982562981642,0.013476275554957,0.0311202370413714,1.1675828638833269e-06,270,5,54
ood,FFA-1,crsa,0.225671079244013,0.1610547839508702,-0.0646162952931428,0.2286578863859176,0.156267449259758,-0.0646162952931428,-0.0887266721546191,-0.0405059184316665,2.741800950203755e-07,270,5,54
ood,FFA-1,wrsa,0.3946055099819646,0.4382048149903615,0.04359930500839693,0.3942485153675079,0.4323716461658478,0.0435993050083968,0.0332261235491721,0.0539724864676215,6.379641122769652e-15,270,5,54
ood,FFA-2,crsa,0.1843879945350415,0.1252064944577536,-0.059181500077287924,0.1775063276290893,0.1095615848898887,-0.0591815000772878,-0.0801962534651587,-0.038166746689417,7.125172316850112e-08,270,5,54
ood,FFA-2,wrsa,0.2581053503535011,0.2953557677212216,0.0372504173677205,0.2562319338321686,0.3031978607177734,0.0372504173677204,0.0284286754075934,0.0460721593278473,4.938462774642946e-15,270,5,54
ood,OFA,crsa,0.1819960373115133,0.1312929459675658,-0.05070309134394749,0.1852614879608154,0.1147785484790802,-0.0507030913439474,-0.0717237342798208,-0.029682448408074,3.352515165780319e-06,270,5,54
ood,OFA,wrsa,0.2990516709558891,0.3364397525787354,0.03738808162284629,0.2943988144397735,0.3218132853507995,0.037388081622846,0.0265427653740976,0.0482333978715945,7.479229441599064e-11,270,5,54
ood,OPA,crsa,0.2408766993236812,0.1658752021270283,-0.07500149719665289,0.242576852440834,0.1481024026870727,-0.0750014971966529,-0.1004290244867299,-0.0495739699065759,1.8145482570405228e-08,270,5,54
ood,OPA,wrsa,0.3768793381524808,0.4125182838667007,0.03563894571421988,0.3878160715103149,0.413048654794693,0.0356389457142197,0.0256331313754693,0.04564476005297,1.951432435610879e-11,270,5,54
ood,PPA,crsa,0.2535384496998493,0.1692897045452679,-0.08424874515458139,0.2586251199245453,0.1614418029785156,-0.0842487451545813,-0.110671058729456,-0.0578264315797066,1.4003172631122743e-09,270,5,54
ood,PPA,wrsa,0.4522529242616711,0.4719041199911208,0.019651195729449733,0.4537208378314972,0.4662990272045135,0.0196511957294496,0.0117826808365907,0.0275197106223084,1.5429663689053176e-06,270,5,54
