model,eval_type,mean,ci_lo,ci_hi,n_subjects,panel,group_label,group_color,x,x_start,x_end,mean_group,ci_lo_group,ci_hi_group,deepnsd_model,model_string,model_display_name,train_type,train_data,architecture,model_class,task_cluster,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
efficientnet_b1_classification,crsa,0.2074681967496872,0.18855817019939422,0.22637822329998017,5,Fig2 architecture,Convolutional,#e69f00,0.0,-0.38,33.38,0.26216583633247537,0.24549046990516432,0.27792057030560335,efficientnet_b1,efficientnet_b1_classification,EfficientNet-B1,classification,imagenet,efficientnet_b1,Convolutional,Semantic,Convolutional,,,,,,,
vgg16_classification,crsa,0.28935815691947936,0.2626737952232361,0.31604251861572263,5,Fig2 architecture,Convolutional,#e69f00,1.0,-0.38,33.38,0.26216583633247537,0.24549046990516432,0.27792057030560335,vgg16,vgg16_classification,VGG16,classification,imagenet,vgg16,Convolutional,Semantic,Convolutional,,,,,,,
squeezenet1_0_classification,crsa,0.31414034962654114,0.2936321020126343,0.3362985372543335,5,Fig2 architecture,Convolutional,#e69f00,2.0,-0.38,33.38,0.26216583633247537,0.24549046990516432,0.27792057030560335,squeezenet1_0,squeezenet1_0_classification,SqueezeNet1.0,classification,imagenet,squeezenet1_0,Convolutional,Semantic,Convolutional,,,,,,,
alexnet_classification,crsa,0.2387760043144226,0.23249945938587188,0.24500174522399903,5,Fig2 architecture,Convolutional,#e69f00,3.0,-0.38,33.38,0.26216583633247537,0.24549046990516432,0.27792057030560335,alexnet,alexnet_classification,AlexNet,classification,imagenet,alexnet,Convolutional,Semantic,Convolutional,,,,,,,
dla34_classification,crsa,0.22513346374034882,0.2059063196182251,0.24623277485370637,5,Fig2 architecture,Convolutional,#e69f00,4.0,-0.38,33.38,0.26216583633247537,0.24549046990516432,0.27792057030560335,dla34,dla34_classification,DLA34,classification,imagenet,dla34,Convolutional,Semantic,Convolutional,,,,,,,
resnet18_classification,crsa,0.22362160682678223,0.20956556797027587,0.24008300602436067,5,Fig2 architecture,Convolutional,#e69f00,5.0,-0.38,33.38,0.26216583633247537,0.24549046990516432,0.27792057030560335,resnet18,resnet18_classification,ResNet18,classification,imagenet,resnet18,Convolutional,Semantic,Convolutional,,,,,,,
ghostnet_100_classification,crsa,0.33027095794677735,0.2990418076515198,0.3610263764858246,5,Fig2 architecture,Convolutional,#e69f00,6.0,-0.38,33.38,0.26216583633247537,0.24549046990516432,0.27792057030560335,ghostnet_100,ghostnet_100_classification,GhostNet100,classification,imagenet,ghostnet_100,Convolutional,Semantic,Convolutional,,,,,,,
semnasnet_100_classification,crsa,0.3012620508670807,0.28223283886909484,0.3214464485645294,5,Fig2 architecture,Convolutional,#e69f00,7.0,-0.38,33.38,0.26216583633247537,0.24549046990516432,0.27792057030560335,semnasnet_100,semnasnet_100_classification,SemNASNet100,classification,imagenet,semnasnet_100,Convolutional,Semantic,Convolutional,,,,,,,
mobilenetv3_large_100_classification,crsa,0.265336799621582,0.23922041654586793,0.2901050329208374,5,Fig2 architecture,Convolutional,#e69f00,8.0,-0.38,33.38,0.26216583633247537,0.24549046990516432,0.27792057030560335,mobilenetv3_large_100,mobilenetv3_large_100_classification,MobileNet-V3-Large,classification,imagenet,mobilenetv3_large_100,Convolutional,Semantic,Convolutional,,,,,,,
regnetx_064_classification,crsa,0.28391696214675904,0.27575539946556094,0.29135202169418334,5,Fig2 architecture,Convolutional,#e69f00,9.0,-0.38,33.38,0.26216583633247537,0.24549046990516432,0.27792057030560335,regnetx_064,regnetx_064_classification,RegNetX-64,classification,imagenet,regnetx_064,Convolutional,Semantic,Convolutional,,,,,,,
