model,eval_type,n_subjects_total,n_subjects_test,n_nan_test,mean_test_score,median_test_score,sem_test_score,std_test_score,mean_train_score,median_selected_layer_index,median_selected_layer_fraction,model_class,train_type,train_data,model_source,task_cluster,comparison_group
ResNet50-BarlowTwins-BS2048_selfsupervised,crsa,5,5,0,0.2673150211572647,0.2757273018360138,0.014375892609839182,0.03214547311283727,0.3457191944122314,61.0,0.782051282051282,,,,,,
ResNet50-BarlowTwins-BS2048_selfsupervised,srpr,5,5,0,0.44784616287306217,0.45132918894825574,0.0065434263287022605,0.014631546076740134,0.4545194719996301,63.0,0.8076923076923077,,,,,,
ResNet50-BarlowTwins-BS2048_selfsupervised,wrsa,5,5,0,0.49043254256248475,0.47849270701408386,0.017203016940934103,0.03846711529800914,0.3847672939300537,74.0,0.9487179487179487,,,,,,
ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,5,5,0,0.19294261038303376,0.19835267961025238,0.006424716738407399,0.01436610336325968,0.24304044544696807,73.0,0.9358974358974359,,,,,,
ResNet50-ClusterFit-16K-RotNet_selfsupervised,srpr,5,5,0,0.4225472739769202,0.43363812177403926,0.008560994588719352,0.01914296585538433,0.4375492540967817,64.0,0.8205128205128205,,,,,,
ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,5,5,0,0.42894614338874815,0.42661309242248535,0.01877408540040031,0.04198013117068145,0.3325346648693085,69.0,0.8846153846153846,,,,,,
ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,crsa,5,5,0,0.31955273151397706,0.307464599609375,0.011289184070439032,0.02524338299200945,0.38017728328704836,70.0,0.8974358974358975,,,,,,
ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,srpr,5,5,0,0.4433742165310345,0.45417443432508864,0.008804001951965412,0.019686346838635505,0.4573455338351008,63.0,0.8076923076923077,,,,,,
ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,wrsa,5,5,0,0.46655688285827634,0.4766758680343628,0.025762468304151725,0.057606630396266977,0.3736819624900818,63.0,0.8076923076923077,,,,,,
ResNet50-JigSaw-Goyal19_selfsupervised,crsa,5,5,0,0.1855023980140686,0.1841990053653717,0.010454847355280529,0.02337774938079116,0.24126335978507996,26.0,0.3333333333333333,,,,,,
ResNet50-JigSaw-Goyal19_selfsupervised,srpr,5,5,0,0.38384295912146865,0.38869333964906183,0.009301291472339726,0.020798320010690728,0.3970132480783133,35.0,0.44871794871794873,,,,,,
ResNet50-JigSaw-Goyal19_selfsupervised,wrsa,5,5,0,0.3679185926914215,0.393757700920105,0.032680773530557115,0.07307643117160151,0.31687032580375674,36.0,0.46153846153846156,,,,,,
ResNet50-JigSaw-P100_selfsupervised,crsa,5,5,0,0.27245967388153075,0.2734888195991516,0.004346729418872583,0.009719582460397256,0.3324309468269348,43.0,0.5512820512820513,,,,,,
ResNet50-JigSaw-P100_selfsupervised,srpr,5,5,0,0.39322408790865393,0.39124950913963535,0.007897093380582663,0.017658437623646463,0.40697854200286854,43.0,0.5512820512820513,,,,,,
ResNet50-JigSaw-P100_selfsupervised,wrsa,5,5,0,0.2750821352005005,0.2980871796607971,0.034382192048463045,0.07688091863581611,0.3557004988193512,45.0,0.5769230769230769,,,,,,
ResNet50-MoCoV2-BS256_selfsupervised,crsa,5,5,0,0.2542693793773651,0.2548285722732544,0.018327025678979196,0.04098047524358172,0.322131821513176,61.0,0.782051282051282,,,,,,
ResNet50-MoCoV2-BS256_selfsupervised,srpr,5,5,0,0.4400628365087306,0.4491436761406218,0.00891654874041601,0.01993800910826031,0.4455917255531384,64.0,0.8205128205128205,,,,,,
ResNet50-MoCoV2-BS256_selfsupervised,wrsa,5,5,0,0.44851967692375183,0.46943891048431396,0.02414507192255228,0.05399002214044844,0.38214281797409055,72.0,0.9230769230769231,,,,,,
ResNet50-PIRL_selfsupervised,crsa,5,5,0,0.24528516530990602,0.2547537684440613,0.021383778782030315,0.04781558297243745,0.32018879652023313,77.0,0.9871794871794872,,,,,,
ResNet50-PIRL_selfsupervised,srpr,5,5,0,0.4266345147271343,0.43517599711756016,0.007179846164484863,0.016054624091779286,0.43237727306717294,68.0,0.8717948717948718,,,,,,
ResNet50-PIRL_selfsupervised,wrsa,5,5,0,0.45800541639328,0.458459734916687,0.02020108759433169,0.04517100508035336,0.3654467105865479,63.0,0.8076923076923077,,,,,,
ResNet50-RotNet_selfsupervised,crsa,5,5,0,0.14680639058351516,0.1553940325975418,0.014216708188584965,0.03178952592595388,0.22063325941562653,57.0,0.7307692307692307,,,,,,
ResNet50-RotNet_selfsupervised,srpr,5,5,0,0.3892869080302946,0.3967840482007791,0.008767434772559493,0.019604580139738443,0.40247847176590507,64.0,0.8205128205128205,,,,,,
ResNet50-RotNet_selfsupervised,wrsa,5,5,0,0.36496915817260744,0.3708912432193756,0.02526549348379096,0.05649536091483456,0.3197727382183075,77.0,0.9871794871794872,,,,,,
ResNet50-SimCLR_selfsupervised,crsa,5,5,0,0.26869997978210447,0.2676827013492584,0.02032394800402813,0.04544572930817808,0.3327365338802338,61.0,0.782051282051282,,,,,,
ResNet50-SimCLR_selfsupervised,srpr,5,5,0,0.44499605859051633,0.4507585055982173,0.007182533843603205,0.016060633924989607,0.4573418313162182,63.0,0.8076923076923077,,,,,,
ResNet50-SimCLR_selfsupervised,wrsa,5,5,0,0.48471235036849974,0.4995286464691162,0.014703852002587505,0.03287881260888208,0.3811729609966278,72.0,0.9230769230769231,,,,,,
ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised,crsa,5,5,0,0.23464295864105225,0.2420148402452469,0.011754454230926647,0.026283758698761994,0.3021163284778595,61.0,0.782051282051282,,,,,,
ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised,srpr,5,5,0,0.4446453694328092,0.4505444778247493,0.007867699731397813,0.017592711425962342,0.45289740050783067,63.0,0.8076923076923077,,,,,,
ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised,wrsa,5,5,0,0.4750384330749512,0.4877992272377014,0.02310687500070867,0.051668543249175095,0.371843034029007,72.0,0.9230769230769231,,,,,,
ViT-B-CLIP_slip,crsa,5,5,0,0.21642404198646545,0.20564299821853638,0.01818394586689622,0.040660539057556296,0.26500850915908813,14.0,0.20588235294117646,,,,,,
ViT-B-CLIP_slip,srpr,5,5,0,0.42920345786197717,0.43915321395720247,0.009105477315405428,0.02036046624482882,0.43743026313288597,8.0,0.11764705882352941,,,,,,
ViT-B-CLIP_slip,wrsa,5,5,0,0.459340488910675,0.45068299770355225,0.019373069644181225,0.043319500657226895,0.3458653032779694,5.0,0.07352941176470588,,,,,,
ViT-B-SLIP_slip,crsa,5,5,0,0.19802966415882112,0.18817980587482452,0.013261680851364293,0.029654019879557843,0.23555867969989777,60.0,0.8823529411764706,,,,,,
ViT-B-SLIP_slip,srpr,5,5,0,0.4336215726783784,0.44177310439331496,0.012878635234504818,0.02879750384177671,0.4385118366333713,68.0,1.0,,,,,,
ViT-B-SLIP_slip,wrsa,5,5,0,0.4881525576114655,0.5068440437316895,0.016394473469108564,0.03665915713224355,0.36230744123458863,60.0,0.8823529411764706,,,,,,
ViT-B-SimCLR_slip,crsa,5,5,0,0.23113949596881866,0.22049102187156677,0.010271336999932169,0.022967407751657083,0.2596993714570999,49.0,0.7205882352941176,,,,,,
ViT-B-SimCLR_slip,srpr,5,5,0,0.4276622824502776,0.42914797283571077,0.010478103888922487,0.023429752570935592,0.4400713269997974,38.0,0.5588235294117647,,,,,,
ViT-B-SimCLR_slip,wrsa,5,5,0,0.4753916382789612,0.5021982192993164,0.024038624723791868,0.053751998968005726,0.3545297205448151,66.0,0.9705882352941176,,,,,,
ViT-L-CLIP_slip,crsa,5,5,0,0.18065463304519652,0.18054883182048798,0.01309254698092888,0.029275825047966615,0.21774067282676696,102.0,0.7611940298507462,,,,,,
ViT-L-CLIP_slip,srpr,5,5,0,0.40937560143482327,0.4110183346193761,0.00794639160248918,0.017768671798999297,0.4168931544682863,0.0,0.0,,,,,,
ViT-L-CLIP_slip,wrsa,5,5,0,0.43339860439300537,0.44026419520378113,0.026636889651369074,0.05956189596962192,0.32609024047851565,2.0,0.014925373134328358,,,,,,
ViT-L-SLIP_slip,crsa,5,5,0,0.18750141561031342,0.1847427636384964,0.006345508056561968,0.014188987366245144,0.2776025027036667,127.0,0.9477611940298507,,,,,,
ViT-L-SLIP_slip,srpr,5,5,0,0.4248215431992229,0.4394535839065783,0.012313622346994641,0.027534096617140538,0.4355554316132169,126.0,0.9402985074626866,,,,,,
ViT-L-SLIP_slip,wrsa,5,5,0,0.5141958832740784,0.5347099304199219,0.02294477411843797,0.0513060746572051,0.3581310510635376,126.0,0.9402985074626866,,,,,,
ViT-L-SimCLR_slip,crsa,5,5,0,0.1653730809688568,0.15505103766918182,0.011005253047646433,0.024608493924124158,0.24080397486686705,108.0,0.8120300751879699,,,,,,
ViT-L-SimCLR_slip,srpr,5,5,0,0.42184257805911696,0.4360225442619174,0.01168625545565704,0.026131261601276923,0.4330589742526511,70.0,0.5263157894736842,,,,,,
ViT-L-SimCLR_slip,wrsa,5,5,0,0.46863011121749876,0.46542808413505554,0.026315751815035156,0.05884380993743209,0.35547020435333254,113.0,0.849624060150376,,,,,,
ViT-S-CLIP_slip,crsa,5,5,0,0.2377665162086487,0.24877813458442688,0.009486246131554415,0.02121189120145009,0.29362158179283143,14.0,0.20588235294117646,,,,,,
ViT-S-CLIP_slip,srpr,5,5,0,0.4251297621114685,0.42796811096005166,0.007094942921531807,0.015864774669026076,0.43064231437695455,19.0,0.27941176470588236,,,,,,
ViT-S-CLIP_slip,wrsa,5,5,0,0.4619364678859711,0.4465913474559784,0.015713251066533544,0.03513589753229008,0.3451501727104187,49.0,0.7205882352941176,,,,,,
ViT-S-SLIP_slip,crsa,5,5,0,0.20707603991031648,0.2026902437210083,0.011587949234308472,0.02591144220773038,0.23924550116062165,39.0,0.5735294117647058,,,,,,
ViT-S-SLIP_slip,srpr,5,5,0,0.4398374717721348,0.45733585214023786,0.011673851468954242,0.02610352544381746,0.4417034299285505,68.0,1.0,,,,,,
ViT-S-SLIP_slip,wrsa,5,5,0,0.5093763947486878,0.5146259069442749,0.020607656722231363,0.046080121287889825,0.36106839776039124,68.0,1.0,,,,,,
ViT-S-SimCLR_slip,crsa,5,5,0,0.22560515701770784,0.22034114599227905,0.01030832896977679,0.023050124310851284,0.27479771971702577,49.0,0.7205882352941176,,,,,,
ViT-S-SimCLR_slip,srpr,5,5,0,0.4290506558804273,0.4338895844384729,0.00862130549090524,0.019277825132456308,0.44125091154022245,41.0,0.6029411764705882,,,,,,
ViT-S-SimCLR_slip,wrsa,5,5,0,0.49134823083877566,0.5222563147544861,0.02311879070513761,0.051695187574278,0.35985913276672366,54.0,0.7941176470588235,,,,,,
alexnet_classification,crsa,5,5,0,0.2387760043144226,0.24203041195869446,0.003619600710415405,0.008093673239895379,0.2866575479507446,3.0,0.375,,,,,,
alexnet_classification,srpr,5,5,0,0.4123047620681536,0.4164180326095371,0.008946926136723713,0.020005935031383804,0.41263901870496555,7.0,0.875,,,,,,
alexnet_classification,wrsa,5,5,0,0.399836003780365,0.4309619069099426,0.021920082931042584,0.049014795506244054,0.31191187500953677,7.0,0.875,,,,,,
alexnet_gn_ipcl_imagenet,crsa,5,5,0,0.2705500215291977,0.258395254611969,0.028244220005865718,0.06315599590457525,0.3171420842409134,2.0,0.16666666666666666,Convolutional,ipcl,imagenet,open_ipcl,Self-Supervised,input_ipcl
alexnet_gn_ipcl_imagenet,srpr,5,5,0,0.37993659345244946,0.3860643787164008,0.007936848471337654,0.017747332709026283,0.3945933547541539,6.0,0.5,Convolutional,ipcl,imagenet,open_ipcl,Self-Supervised,input_ipcl
alexnet_gn_ipcl_imagenet,wrsa,5,5,0,0.41412605047225953,0.4273551404476166,0.010705197971546926,0.023937550376971786,0.26931082308292387,6.0,0.5,Convolutional,ipcl,imagenet,open_ipcl,Self-Supervised,input_ipcl
alexnet_gn_ipcl_openimages,crsa,5,5,0,0.2462402403354645,0.23472324013710022,0.020075096342853573,0.044889280077478014,0.27590468227863313,2.0,0.16666666666666666,Convolutional,ipcl,openimages,open_ipcl,Self-Supervised,input_ipcl
alexnet_gn_ipcl_openimages,srpr,5,5,0,0.35737258245479264,0.35957232874699585,0.006807854267585417,0.015222824923233026,0.3759158069903833,6.0,0.5,Convolutional,ipcl,openimages,open_ipcl,Self-Supervised,input_ipcl
