subject,eval_type,score_set,n_rows,n_nan,n_models
sub-01,crsa,test,180710,34,118
sub-01,crsa,train,180710,34,118
sub-01,srpr,test,180710,34,118
sub-01,srpr,train,180710,0,118
sub-01,wrsa,test,180710,34,118
sub-01,wrsa,train,180710,0,118
sub-03,crsa,test,191340,36,118
sub-03,crsa,train,191340,36,118
sub-03,srpr,test,191340,36,118
sub-03,srpr,train,191340,0,118
sub-03,wrsa,test,191340,36,118
sub-03,wrsa,train,191340,0,118
sub-05,crsa,test,191340,36,118
sub-05,crsa,train,191340,36,118
sub-05,srpr,test,191340,36,118
sub-05,srpr,train,191340,0,118
sub-05,wrsa,test,191340,36,118
sub-05,wrsa,train,191340,0,118
sub-06,crsa,test,180710,34,118
sub-06,crsa,train,180710,34,118
sub-06,srpr,test,180710,34,118
sub-06,srpr,train,180710,0,118
sub-06,wrsa,test,180710,34,118
sub-06,wrsa,train,180710,0,118
sub-07,crsa,test,170080,32,118
sub-07,crsa,train,170080,32,118
sub-07,srpr,test,170080,32,118
sub-07,srpr,train,170080,0,118
sub-07,wrsa,test,170080,32,118
sub-07,wrsa,train,170080,0,118
