subject,model,eval_type,score_set,n_rows,n_nan,n_layers
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,crsa,test,1343,0,79
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,crsa,train,1343,0,79
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,srpr,test,1343,0,79
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,srpr,train,1343,0,79
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,wrsa,test,1343,0,79
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,wrsa,train,1343,0,79
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,test,1343,0,79
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,train,1343,0,79
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,srpr,test,1343,0,79
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,srpr,train,1343,0,79
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,test,1343,0,79
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,train,1343,0,79
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,crsa,test,1343,0,79
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,crsa,train,1343,0,79
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,srpr,test,1343,0,79
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,srpr,train,1343,0,79
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,wrsa,test,1343,0,79
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,wrsa,train,1343,0,79
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,crsa,test,1343,0,79
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,crsa,train,1343,0,79
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,srpr,test,1343,0,79
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,srpr,train,1343,0,79
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,wrsa,test,1343,0,79
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,wrsa,train,1343,0,79
sub-01,ResNet50-JigSaw-P100_selfsupervised,crsa,test,1343,0,79
sub-01,ResNet50-JigSaw-P100_selfsupervised,crsa,train,1343,0,79
sub-01,ResNet50-JigSaw-P100_selfsupervised,srpr,test,1343,0,79
