subject,model,eval_type,region,model_layer,model_layer_index,test_score,train_score,max_model_layer_index,selected_layer_fraction,score
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,crsa,EBA,Conv2d-49,63,0.2555570602416992,0.3023166358470917,78,0.8076923076923077,0.2555570602416992
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,crsa,FBA,ReLU-45,65,0.23449105024337769,0.27264517545700073,78,0.8333333333333334,0.23449105024337769
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,crsa,FFA-1,Conv2d-47,57,0.1887609362602234,0.24826261401176453,78,0.7307692307692307,0.1887609362602234
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,crsa,FFA-2,Conv2d-49,63,0.18800784647464752,0.2110946625471115,78,0.8076923076923077,0.18800784647464752
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,crsa,OFA,Conv2d-49,63,0.24320968985557556,0.2266426831483841,78,0.8076923076923077,0.24320968985557556
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,crsa,OPA,Conv2d-47,57,0.22207581996917725,0.2994861602783203,78,0.7307692307692307,0.22207581996917725
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,crsa,PPA,BatchNorm2d-48,61,0.27048659324645996,0.27381548285484314,78,0.782051282051282,0.27048659324645996
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,crsa,VWFA-1,ReLU-48,74,0.31079545617103577,0.28435832262039185,78,0.9487179487179487,0.31079545617103577
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,crsa,VWFA-2,ReLU-45,65,0.19797800481319427,0.19459879398345947,78,0.8333333333333334,0.19797800481319427
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,crsa,l-objects,Conv2d-49,63,0.2652493417263031,0.28736960887908936,78,0.8076923076923077,0.2652493417263031
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,crsa,laion-lateral,Conv2d-47,57,0.21742326021194458,0.32332825660705566,78,0.7307692307692307,0.21742326021194458
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,crsa,laion-ventral,BatchNorm2d-48,61,0.29710668325424194,0.33950895071029663,78,0.782051282051282,0.29710668325424194
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,crsa,mfs-words,ReLU-48,74,0.2619468569755554,0.26440152525901794,78,0.9487179487179487,0.2619468569755554
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,crsa,otc,Conv2d-47,57,0.2757273018360138,0.34398213028907776,78,0.7307692307692307,0.2757273018360138
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,crsa,otc-category,ReLU-45,65,0.316064715385437,0.3304460644721985,78,0.8333333333333334,0.316064715385437
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,crsa,otc-streams,Conv2d-47,57,0.28085628151893616,0.3500126302242279,78,0.7307692307692307,0.28085628151893616
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,crsa,v-objects,ReLU-45,65,0.31048208475112915,0.32983437180519104,78,0.8333333333333334,0.31048208475112915
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,wrsa,EBA,Conv2d-50,66,0.399345338344574,0.31576111912727356,78,0.8461538461538461,0.399345338344574
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,wrsa,FBA,Conv2d-52,72,0.4273216128349304,0.3780176341533661,78,0.9230769230769231,0.4273216128349304
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,wrsa,FFA-1,Conv2d-52,72,0.314416766166687,0.22565023601055145,78,0.9230769230769231,0.314416766166687
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,wrsa,FFA-2,Conv2d-51,69,0.3620167076587677,0.3110854923725128,78,0.8846153846153846,0.3620167076587677
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,wrsa,OFA,Conv2d-46,55,0.31171634793281555,0.2049122005701065,78,0.7051282051282052,0.31171634793281555
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,wrsa,OPA,ReLU-48,74,0.43176740407943726,0.20343466103076935,78,0.9487179487179487,0.43176740407943726
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,wrsa,PPA,ReLU-48,74,0.4271826446056366,0.24975448846817017,78,0.9487179487179487,0.4271826446056366
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,wrsa,VWFA-1,ReLU-48,74,0.37969619035720825,0.26799169182777405,78,0.9487179487179487,0.37969619035720825
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,wrsa,VWFA-2,Conv2d-50,66,0.27388283610343933,0.11551510542631149,78,0.8461538461538461,0.27388283610343933
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,wrsa,l-objects,Conv2d-50,66,0.43236044049263,0.35435301065444946,78,0.8461538461538461,0.43236044049263
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,wrsa,laion-lateral,ReLU-48,74,0.37161019444465637,0.2707880735397339,78,0.9487179487179487,0.37161019444465637
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,wrsa,laion-ventral,ReLU-48,74,0.4814765751361847,0.3598938584327698,78,0.9487179487179487,0.4814765751361847
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,wrsa,mfs-words,ReLU-48,74,0.3113063871860504,0.14163437485694885,78,0.9487179487179487,0.3113063871860504
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,wrsa,otc,ReLU-48,74,0.46697038412094116,0.34752047061920166,78,0.9487179487179487,0.46697038412094116
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,wrsa,otc-category,Conv2d-49,63,0.5645968317985535,0.4315352141857147,78,0.8076923076923077,0.5645968317985535
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,wrsa,otc-streams,ReLU-48,74,0.45424678921699524,0.3423035442829132,78,0.9487179487179487,0.45424678921699524
sub-01,ResNet50-BarlowTwins-BS2048_selfsupervised,wrsa,v-objects,Conv2d-49,63,0.6559313535690308,0.5080164670944214,78,0.8076923076923077,0.6559313535690308
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,EBA,ReLU-46,68,0.17638900876045227,0.20405128598213196,78,0.8717948717948718,0.17638900876045227
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,FBA,ReLU-49,77,0.15074144303798676,0.1635427325963974,78,0.9871794871794872,0.15074144303798676
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,FFA-1,ReLU-46,68,0.14690741896629333,0.20130926370620728,78,0.8717948717948718,0.14690741896629333
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,FFA-2,BatchNorm2d-49,64,0.1774113029241562,0.18587708473205566,78,0.8205128205128205,0.1774113029241562
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,OFA,BatchNorm2d-49,64,0.20165196061134338,0.18856681883335114,78,0.8205128205128205,0.20165196061134338
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,OPA,BatchNorm2d-45,53,0.15825991332530975,0.17896871268749237,78,0.6794871794871795,0.15825991332530975
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,PPA,BatchNorm2d-45,53,0.17404040694236755,0.18147139251232147,78,0.6794871794871795,0.17404040694236755
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,VWFA-1,ReLU-46,68,0.14354828000068665,0.17472170293331146,78,0.8717948717948718,0.14354828000068665
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,VWFA-2,BatchNorm2d-49,64,0.10488636046648026,0.12551668286323547,78,0.8205128205128205,0.10488636046648026
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,l-objects,ReLU-49,77,0.17876747250556946,0.19994594156742096,78,0.9871794871794872,0.17876747250556946
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,laion-lateral,BatchNorm2d-49,64,0.19425392150878906,0.2146853357553482,78,0.8205128205128205,0.19425392150878906
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,laion-ventral,Conv2d-28,1,0.2747044265270233,0.26594847440719604,78,0.01282051282051282,0.2747044265270233
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,mfs-words,BatchNorm2d-39,35,0.11891584098339081,0.11361214518547058,78,0.44871794871794873,0.11891584098339081
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,otc,ReLU-46,68,0.20602893829345703,0.24565133452415466,78,0.8717948717948718,0.20602893829345703
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,otc-category,ReLU-49,77,0.21077276766300201,0.2328636348247528,78,0.9871794871794872,0.21077276766300201
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,otc-streams,ReLU-46,68,0.20625901222229004,0.2493351548910141,78,0.8717948717948718,0.20625901222229004
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,v-objects,BatchNorm2d-39,35,0.18310676515102386,0.20920729637145996,78,0.44871794871794873,0.18310676515102386
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,EBA,Conv2d-49,63,0.3650512397289276,0.26516059041023254,78,0.8076923076923077,0.3650512397289276
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,FBA,Conv2d-52,72,0.37632662057876587,0.35951176285743713,78,0.9230769230769231,0.37632662057876587
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,FFA-1,BatchNorm2d-52,73,0.27722975611686707,0.20480649173259735,78,0.9358974358974359,0.27722975611686707
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,FFA-2,AdaptiveAvgPool2d-1,78,0.3002256751060486,0.2945987284183502,78,1.0,0.3002256751060486
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,OFA,Conv2d-36,25,0.38076668977737427,0.19212692975997925,78,0.32051282051282054,0.38076668977737427
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,OPA,BatchNorm2d-49,64,0.3536393344402313,0.1376347541809082,78,0.8205128205128205,0.3536393344402313
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,PPA,Conv2d-51,69,0.3541354835033417,0.20079563558101654,78,0.8846153846153846,0.3541354835033417
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,VWFA-1,Conv2d-51,69,0.31858009099960327,0.21525976061820984,78,0.8846153846153846,0.31858009099960327
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,VWFA-2,Conv2d-49,63,0.17879514396190643,0.08088433742523193,78,0.8076923076923077,0.17879514396190643
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,l-objects,BatchNorm2d-52,73,0.39430704712867737,0.30155131220817566,78,0.9358974358974359,0.39430704712867737
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,laion-lateral,Conv2d-49,63,0.30992937088012695,0.21217350661754608,78,0.8076923076923077,0.30992937088012695
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,laion-ventral,BatchNorm2d-49,64,0.4649410843849182,0.3055497109889984,78,0.8205128205128205,0.4649410843849182
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,mfs-words,ReLU-36,36,0.22840048372745514,0.08549318462610245,78,0.46153846153846156,0.22840048372745514
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,otc,BatchNorm2d-49,64,0.420625776052475,0.28781047463417053,78,0.8205128205128205,0.420625776052475
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,otc-category,Conv2d-51,69,0.4760652482509613,0.37855497002601624,78,0.8846153846153846,0.4760652482509613
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,otc-streams,BatchNorm2d-49,64,0.4098488688468933,0.28246667981147766,78,0.8205128205128205,0.4098488688468933
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,v-objects,Conv2d-52,72,0.5969908833503723,0.46527546644210815,78,0.9230769230769231,0.5969908833503723
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,crsa,EBA,BatchNorm2d-52,73,0.29690447449684143,0.3016296923160553,78,0.9358974358974359,0.29690447449684143
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,crsa,FBA,BatchNorm2d-52,73,0.24578706920146942,0.29389312863349915,78,0.9358974358974359,0.24578706920146942
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,crsa,FFA-1,Conv2d-52,72,0.20607434213161469,0.2361883521080017,78,0.9230769230769231,0.20607434213161469
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,crsa,FFA-2,Conv2d-52,72,0.2025700807571411,0.227004274725914,78,0.9230769230769231,0.2025700807571411
