region,breakpoint_1_rank,breakpoint_1_score,breakpoint_2_rank,breakpoint_2_score,n_models_top_segment,n_models_middle_segment,n_models_bottom_segment,sse,metric,n_models,top_model,top_score,method,ci_method
EBA,10,0.5264324843883514,20,0.5168722629547119,10,10,98,,wrsa,118,resmlp_big_24_224_in22ft1k_classification,0.5384470701217652,pure_python_grid_search_two_breakpoints,not_computed
FBA,10,0.46368383169174193,20,0.45094019174575806,10,10,98,,wrsa,118,resmlp_big_24_224_in22ft1k_classification,0.48290703892707826,pure_python_grid_search_two_breakpoints,not_computed
FFA-1,10,0.3821356505155563,20,0.3760421097278595,10,10,98,,wrsa,118,ViT-L-SLIP_slip,0.4018113732337952,pure_python_grid_search_two_breakpoints,not_computed
FFA-2,10,0.3755329102277756,20,0.361761674284935,10,10,98,,wrsa,118,convnext_large_classification,0.392202091217041,pure_python_grid_search_two_breakpoints,not_computed
OFA,10,0.3385065972805023,20,0.32704668045043944,10,10,98,,wrsa,118,gmlp_s16_224_classification,0.37132924795150757,pure_python_grid_search_two_breakpoints,not_computed
OPA,10,0.35869341492652895,20,0.3419100880622864,10,10,98,,wrsa,118,gmlp_s16_224_classification,0.40568551421165466,pure_python_grid_search_two_breakpoints,not_computed
PPA,10,0.3973804831504822,20,0.38729063272476194,10,10,98,,wrsa,118,resnet50_classification,0.42738053798675535,pure_python_grid_search_two_breakpoints,not_computed
VWFA-1,10,0.3150143831968307,20,0.3072091430425644,10,10,98,,wrsa,118,resmlp_big_24_224_in22ft1k_classification,0.3369638562202454,pure_python_grid_search_two_breakpoints,not_computed
VWFA-2,78,0.20034935027360917,91,0.16192986369132994,78,13,27,0.005584042377512496,wrsa,118,xcit_nano_12_p8_224_classification,0.33201533555984497,pure_python_grid_search_two_breakpoints,not_computed
l-objects,10,0.5149504780769348,20,0.5040762722492218,10,10,98,,wrsa,118,convnext_large_classification,0.544213879108429,pure_python_grid_search_two_breakpoints,not_computed
laion-lateral,10,0.4478723883628845,20,0.4295760214328766,10,10,98,,wrsa,118,gmlp_s16_224_classification,0.4916699051856995,pure_python_grid_search_two_breakpoints,not_computed
laion-ventral,10,0.5137446045875549,20,0.5022863924503327,10,10,98,,wrsa,118,gmlp_s16_224_classification,0.5664339363574982,pure_python_grid_search_two_breakpoints,not_computed
mfs-words,10,0.35463477671146393,20,0.348011065274477,10,10,98,,wrsa,118,convnext_large_classification,0.3802175223827362,pure_python_grid_search_two_breakpoints,not_computed
otc,10,0.5090462565422058,20,0.48471235036849974,10,10,98,,wrsa,118,gmlp_s16_224_classification,0.5426120162010193,pure_python_grid_search_two_breakpoints,not_computed
otc-category,10,0.5874300479888916,20,0.5651641190052032,10,10,98,,wrsa,118,convnext_large_classification,0.609819746017456,pure_python_grid_search_two_breakpoints,not_computed
otc-streams,10,0.5080255508422852,20,0.49028498530387876,10,10,98,,wrsa,118,gmlp_s16_224_classification,0.5457433640956879,pure_python_grid_search_two_breakpoints,not_computed
pSTS-words,10,0.12130553647875786,20,0.1128678023815155,10,10,98,,wrsa,118,ViT-S-CLIP_slip,0.14219341799616814,pure_python_grid_search_two_breakpoints,not_computed
v-objects,10,0.5946754813194275,20,0.5859200477600097,10,10,98,,wrsa,118,convnext_base_in22k_classification,0.6204158186912536,pure_python_grid_search_two_breakpoints,not_computed
