region,comparison_id,comparison,eval_type,level,n_obs,n_subjects,n_models,mean,median,std,sem
EBA,architecture,CNNs versus Transformers,crsa,Convolutional,165,5,33,0.2035958089611747,0.20859627425670624,0.05515277717211469,0.004293637879606703
EBA,architecture,CNNs versus Transformers,crsa,Transformer,105,5,21,0.14220412352255413,0.1425935924053192,0.043306913348939595,0.004226321989640596
EBA,architecture,CNNs versus Transformers,wrsa,Convolutional,165,5,33,0.48230602542559303,0.49745944142341614,0.07185503212959786,0.005593906664558424
EBA,architecture,CNNs versus Transformers,wrsa,Transformer,105,5,21,0.478400038537525,0.4905868172645569,0.06486927443681405,0.006330592965500525
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,denoising,5,5,1,0.01978375669568777,0.011131898500025272,0.024642855616578974,0.011020620063676614
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,autoencoding,5,5,1,-0.017022091092076152,-0.0043313768692314625,0.02799564762019917,0.01252003423057911
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,class_object,5,5,1,0.07692078202962875,0.07587717473506927,0.03042664618226228,0.013607209838174582
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,class_scene,5,5,1,0.08247764632105828,0.0786980390548706,0.031103562268617838,0.013909935915005412
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,curvature,5,5,1,0.05345434695482254,0.04408445954322815,0.02199189249821612,0.009835073315975783
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,depth_euclidean,5,5,1,0.06065925806760788,0.0597415454685688,0.027639569972801818,0.012360791465609375
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,depth_zbuffer,5,5,1,0.057272649556398394,0.052366890013217926,0.023606398026421525,0.010557102138199081
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,edge_occlusion,5,5,1,0.07218477353453637,0.07049435377120972,0.013766796514694878,0.0061566985678529855
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,edge_texture,5,5,1,0.06490935869514942,0.07345130294561386,0.02501509517292759,0.011187090654058589
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,egomotion,5,5,1,0.04338178895413876,0.038292914628982544,0.012204521812783302,0.005458028081252485
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,fixated_pose,5,5,1,0.05096744932234287,0.048553466796875,0.025911522327968114,0.01158798506516806
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,inpainting,5,5,1,0.019440245628356934,0.0155671127140522,0.010499573396215241,0.004695551969737122
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,jigsaw,5,5,1,0.0007366212084889412,-0.012184650637209415,0.027848564863875862,0.012454256822287721
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,keypoints2d,5,5,1,0.047948602586984634,0.050005342811346054,0.026236348813860375,0.011733251885837554
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,keypoints3d,5,5,1,0.06086682826280594,0.0592249296605587,0.01623716536612614,0.007261481104112662
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,nonfixated_pose,5,5,1,0.009310016222298146,0.013004500418901443,0.03364176797847759,0.015045056016630313
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,normal,5,5,1,0.027148576639592647,0.027348924428224564,0.0188986999932148,0.00845175557424062
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,point_matching,5,5,1,0.07882938012480736,0.08228982985019684,0.01813910175215822,0.008112052913722264
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,random_weights,5,5,1,0.00365535169839859,0.011014572344720364,0.016399894061115017,0.007334255588889654
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,reshading,5,5,1,0.07411016970872879,0.07780011743307114,0.030159232554740234,0.013487618828324761
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,room_layout,5,5,1,0.07408211380243301,0.05137177184224129,0.0356000678331335,0.015920834335698027
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,segment_semantic,5,5,1,0.05107150450348854,0.05010618641972542,0.013746254652356538,0.006147511967738392
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,segment_unsup25d,5,5,1,0.04744524210691452,0.044519104063510895,0.01389940530528318,0.0062160030218868815
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,segment_unsup2d,5,5,1,0.052109531685709955,0.05689237266778946,0.032706397301160074,0.014626745532901917
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,vanishing_point,5,5,1,0.05293930470943451,0.06743346154689789,0.027451112190354798,0.012276510583121293
