region,model,score,rank
EBA,resmlp_big_24_224_in22ft1k_classification,0.5384470701217652,1
EBA,convnext_large_classification,0.5381495773792266,2
EBA,convnext_large_in22k_classification,0.5340805351734161,3
EBA,ViT-S-SLIP_slip,0.5320592522621155,4
EBA,googlenet_classification,0.5308260917663574,5
EBA,resmlp_big_24_224_classification,0.5281133532524109,6
EBA,convnext_base_classification,0.5276849865913391,7
EBA,ViT-B-SLIP_slip,0.5268139898777008,8
EBA,swin_tiny_patch4_window7_224_classification,0.5266670167446137,9
EBA,hardcorenas_a_classification,0.5264324843883514,10
EBA,hardcorenas_f_classification,0.526415890455246,11
EBA,jx_nest_tiny_classification,0.5248900532722474,12
EBA,nfnet_l0_classification,0.524014550447464,13
EBA,ViT-L-SLIP_slip,0.5223596632480622,14
EBA,cspresnet50_classification,0.521968275308609,15
EBA,levit_128_classification,0.5219218492507934,16
EBA,gmlp_s16_224_classification,0.5184640049934387,17
EBA,convnext_base_in22k_classification,0.5171164333820343,18
EBA,eca_nfnet_l0_classification,0.5170941889286041,19
EBA,seresnext50_32x4d_classification,0.5168722629547119,20
EBA,nf_resnet50_classification,0.5163745999336242,21
EBA,inception_v3_classification,0.5160637080669404,22
EBA,regnety_064_classification,0.5127526462078095,23
EBA,ViT-B-SimCLR_slip,0.5122803211212158,24
EBA,visformer_small_classification,0.5118049502372741,25
EBA,ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised,0.5097899913787842,26
EBA,mnasnet1_0_classification,0.5097739934921265,27
EBA,ghostnet_100_classification,0.5094582736492157,28
EBA,swin_large_patch4_window7_224_in22k_classification,0.5080619096755982,29
EBA,swin_base_patch4_window7_224_in22k_classification,0.5074322998523713,30
EBA,efficientnet_b3_classification,0.5071307301521302,31
EBA,poolformer_s36_classification,0.5047650337219238,32
EBA,swin_large_patch4_window7_224_classification,0.5027942061424255,33
EBA,gmixer_24_224_classification,0.502356868982315,34
EBA,skresnext50_32x4d_classification,0.5023304998874665,35
EBA,coat_lite_tiny_classification,0.5016674101352692,36
EBA,ResNet50-SimCLR_selfsupervised,0.5012617826461792,37
EBA,ViT-S-SimCLR_slip,0.5009521782398224,38
EBA,ResNet50-MoCoV2-BS256_selfsupervised,0.4972949743270874,39
EBA,pit_b_224_classification,0.49624383449554443,40
EBA,vit_large_patch16_224_in21k_classification,0.49474313855171204,41
EBA,mixer_l16_224_classification,0.494393914937973,42
EBA,mixer_l16_224_in21k_classification,0.494393914937973,43
EBA,crossvit_base_240_classification,0.4933129668235779,44
EBA,mobilenetv3_large_100_classification,0.49316641688346863,45
EBA,swin_base_patch4_window7_224_classification,0.49217567443847654,46
EBA,mixer_b16_224_classification,0.49176613092422483,47
EBA,mixer_b16_224_in21k_classification,0.49176613092422483,48
EBA,dla34_classification,0.4914653480052948,49
EBA,ResNet50-BarlowTwins-BS2048_selfsupervised,0.49103644490242004,50
EBA,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,0.49066991209983823,51
EBA,semnasnet_100_classification,0.49021586775779724,52
EBA,pit_ti_224_classification,0.4889976680278778,53
EBA,shufflenet_v2_x1_0_classification,0.488409686088562,54
EBA,xception_classification,0.4882886350154877,55
EBA,resnet101_classification,0.4855976402759552,56
EBA,mobilenet_v2_classification,0.48339190483093264,57
EBA,ViT-S-CLIP_slip,0.4808773100376129,58
EBA,vit_large_patch16_224_classification,0.47919341921806335,59
EBA,resnet50_classification,0.4773980140686035,60
EBA,deit_base_patch16_224_classification,0.474604594707489,61
EBA,resnet152_classification,0.47400277853012085,62
EBA,vit_base_patch32_224_in21k_classification,0.47392059564590455,63
EBA,ViT-B-CLIP_slip,0.47343161702156067,64
EBA,densenet121_classification,0.47002986669540403,65
EBA,vit_base_patch32_224_classification,0.4655777752399445,66
EBA,ResNet50-PIRL_selfsupervised,0.4643200635910034,67
EBA,regnetx_064_classification,0.4625196158885956,68
EBA,ViT-L-SimCLR_slip,0.46008139848709106,69
EBA,vit_small_patch16_224_classification,0.45597020387649534,70
EBA,vit_small_patch16_224_in21k_classification,0.4548227071762085,71
EBA,vit_base_patch16_224_classification,0.45476093888282776,72
EBA,vit_small_patch32_224_in21k_classification,0.4541220009326935,73
EBA,tnt_s_patch16_224_classification,0.45406097173690796,74
EBA,ResNet50-ClusterFit-16K-RotNet_selfsupervised,0.44632118940353394,75
EBA,ViT-L-CLIP_slip,0.4408878743648529,76
EBA,vgg16_classification,0.4406612396240234,77
EBA,resnet18_classification,0.437832248210907,78
EBA,vit_small_patch32_224_classification,0.428490424156189,79
EBA,alexnet_classification,0.42198634147644043,80
EBA,squeezenet1_0_classification,0.41962523460388185,81
EBA,vit_base_patch16_224_in21k_classification,0.419292026758194,82
EBA,ResNet50-RotNet_selfsupervised,0.40878415703773496,83
EBA,vit_tiny_patch16_224_classification,0.37739105224609376,84
EBA,ResNet50-JigSaw-Goyal19_selfsupervised,0.3747914552688599,85
EBA,alexnet_gn_ipcl_imagenet,0.36283303499221803,86
EBA,efficientnet_b1_classification,0.33070286810398103,87
EBA,ResNet50-JigSaw-P100_selfsupervised,0.33027395606040955,88
EBA,alexnet_gn_ipcl_openimages,0.3234822988510132,89
EBA,alexnet_gn_ipcl_places256,0.29227265119552615,90
EBA,keypoints3d_taskonomy,0.20689470767974855,91
EBA,class_scene_taskonomy,0.20668341517448424,92
EBA,class_object_taskonomy,0.20352390110492707,93
EBA,depth_euclidean_taskonomy,0.189696741104126,94
EBA,reshading_taskonomy,0.1777561455965042,95
EBA,depth_zbuffer_taskonomy,0.17337381541728974,96
EBA,edge_occlusion_taskonomy,0.17049555629491805,97
EBA,alexnet_gn_ipcl_vggface2,0.16520932018756868,98
EBA,segment_semantic_taskonomy,0.15232336819171904,99
EBA,segment_unsup25d_taskonomy,0.1521895244717598,100
EBA,room_layout_taskonomy,0.10606799572706223,101
EBA,edge_texture_taskonomy,0.1026681311428547,102
EBA,normal_taskonomy,0.09834946542978287,103
EBA,segment_unsup2d_taskonomy,0.08884467631578445,104
EBA,vanishing_point_taskonomy,0.07629072591662407,105
EBA,inpainting_taskonomy,0.05751176849007607,106
EBA,denoising_taskonomy,0.0542858649045229,107
EBA,jigsaw_taskonomy,0.05255806222558022,108
EBA,egomotion_taskonomy,0.042461971379816534,109
EBA,fixated_pose_taskonomy,0.03977423659525812,110
EBA,point_matching_taskonomy,0.03202445525676012,111
EBA,keypoints2d_taskonomy,0.03197432868182659,112
EBA,nonfixated_pose_taskonomy,0.01346095404587686,113
EBA,curvature_taskonomy,0.006992756575345993,114
EBA,random_weights_taskonomy,-0.0114601690787822,115
EBA,autoencoding_taskonomy,-0.03673667926341295,116
EBA,xcit_nano_12_p16_224_classification,,117
EBA,xcit_nano_12_p8_224_classification,,118
FBA,resmlp_big_24_224_in22ft1k_classification,0.48290703892707826,1
FBA,levit_128_classification,0.47725817561149597,2
FBA,cspresnet50_classification,0.4769341051578522,3
FBA,convnext_large_classification,0.4743751764297485,4
FBA,ViT-B-SimCLR_slip,0.4718830704689026,5
FBA,hardcorenas_f_classification,0.4694547951221466,6
FBA,ViT-L-SLIP_slip,0.46736055612564087,7
FBA,convnext_base_classification,0.465262359380722,8
FBA,nf_resnet50_classification,0.46492078304290774,9
FBA,convnext_base_in22k_classification,0.46368383169174193,10
FBA,swin_tiny_patch4_window7_224_classification,0.46082050204277036,11
FBA,ViT-S-SLIP_slip,0.4607818305492401,12
FBA,nfnet_l0_classification,0.45915565490722654,13
FBA,ghostnet_100_classification,0.45693986415863036,14
FBA,jx_nest_tiny_classification,0.45686112642288207,15
FBA,eca_nfnet_l0_classification,0.45596850514411924,16
FBA,efficientnet_b3_classification,0.45394870042800906,17
FBA,googlenet_classification,0.45369603037834166,18
FBA,gmlp_s16_224_classification,0.45363598465919497,19
FBA,hardcorenas_a_classification,0.45094019174575806,20
FBA,resmlp_big_24_224_classification,0.4505701959133148,21
FBA,inception_v3_classification,0.4503411829471588,22
FBA,convnext_large_in22k_classification,0.44909456968307493,23
FBA,poolformer_s36_classification,0.44899864196777345,24
FBA,swin_base_patch4_window7_224_classification,0.44848796129226687,25
FBA,skresnext50_32x4d_classification,0.44844294190406797,26
FBA,seresnext50_32x4d_classification,0.44708152413368224,27
FBA,swin_large_patch4_window7_224_in22k_classification,0.44689475893974306,28
FBA,ResNet50-BarlowTwins-BS2048_selfsupervised,0.4468573689460754,29
FBA,ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised,0.44651047587394715,30
FBA,semnasnet_100_classification,0.44603010416030886,31
FBA,mnasnet1_0_classification,0.44416258335113523,32
FBA,swin_base_patch4_window7_224_in22k_classification,0.44348596334457396,33
FBA,gmixer_24_224_classification,0.442786967754364,34
FBA,pit_b_224_classification,0.44260958433151243,35
FBA,visformer_small_classification,0.44195676445960996,36
FBA,ResNet50-SimCLR_selfsupervised,0.44177820682525637,37
FBA,mobilenetv3_large_100_classification,0.4407464385032654,38
FBA,resnet50_classification,0.4390037298202515,39
FBA,mixer_b16_224_in21k_classification,0.4378077507019043,40
FBA,mixer_b16_224_classification,0.4378077507019043,41
FBA,dla34_classification,0.4376604318618774,42
FBA,ViT-S-CLIP_slip,0.4374375641345978,43
FBA,mobilenet_v2_classification,0.43513148427009585,44
FBA,mixer_l16_224_in21k_classification,0.43487333655357363,45
FBA,mixer_l16_224_classification,0.43487333655357363,46
FBA,swin_large_patch4_window7_224_classification,0.4346277594566345,47
FBA,regnety_064_classification,0.43460392355918886,48
FBA,ViT-S-SimCLR_slip,0.43389981985092163,49
FBA,coat_lite_tiny_classification,0.4338337004184723,50
FBA,xception_classification,0.43326573967933657,51
FBA,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,0.43070256114006045,52
FBA,ViT-B-SLIP_slip,0.4303523302078247,53
FBA,resnet101_classification,0.42919026017189027,54
FBA,pit_ti_224_classification,0.42778684496879577,55
FBA,densenet121_classification,0.42755348682403566,56
FBA,vit_large_patch16_224_in21k_classification,0.42745521664619446,57
FBA,vit_large_patch16_224_classification,0.4264296591281891,58
FBA,ViT-L-SimCLR_slip,0.42602150440216063,59
FBA,deit_base_patch16_224_classification,0.4256209969520569,60
FBA,vit_small_patch16_224_classification,0.42555858492851256,61
FBA,resnet152_classification,0.4244686007499695,62
FBA,shufflenet_v2_x1_0_classification,0.42357295751571655,63
FBA,vit_base_patch32_224_classification,0.42238075733184816,64
FBA,crossvit_base_240_classification,0.4210310041904449,65
FBA,ResNet50-PIRL_selfsupervised,0.4199733555316925,66
FBA,vit_base_patch32_224_in21k_classification,0.41952140927314757,67
FBA,ResNet50-MoCoV2-BS256_selfsupervised,0.41923293471336365,68
FBA,tnt_s_patch16_224_classification,0.41452949643135073,69
FBA,vit_base_patch16_224_classification,0.41227486729621887,70
FBA,vit_small_patch32_224_classification,0.41070379614830016,71
FBA,ViT-B-CLIP_slip,0.407157164812088,72
FBA,vit_small_patch32_224_in21k_classification,0.40645801424980166,73
FBA,vit_base_patch16_224_in21k_classification,0.4035698652267456,74
FBA,vit_small_patch16_224_in21k_classification,0.40175281167030336,75
FBA,resnet18_classification,0.4005134642124176,76
FBA,regnetx_064_classification,0.39900606870651245,77
FBA,vgg16_classification,0.3974973917007446,78
FBA,alexnet_classification,0.39089118838310244,79
FBA,ResNet50-ClusterFit-16K-RotNet_selfsupervised,0.38943400979042053,80
FBA,ViT-L-CLIP_slip,0.3866446495056152,81
FBA,squeezenet1_0_classification,0.3854835987091064,82
FBA,ResNet50-RotNet_selfsupervised,0.3650572597980499,83
FBA,ResNet50-JigSaw-P100_selfsupervised,0.34002177119255067,84
FBA,ResNet50-JigSaw-Goyal19_selfsupervised,0.33791716694831847,85
FBA,vit_tiny_patch16_224_classification,0.3359700620174408,86
FBA,efficientnet_b1_classification,0.32499865293502805,87
FBA,alexnet_gn_ipcl_imagenet,0.3207080245018005,88
FBA,alexnet_gn_ipcl_openimages,0.29424567222595216,89
FBA,alexnet_gn_ipcl_places256,0.2515818476676941,90
FBA,class_object_taskonomy,0.17441450357437133,91
FBA,class_scene_taskonomy,0.16678199768066407,92
FBA,edge_occlusion_taskonomy,0.16306408047676085,93
FBA,keypoints3d_taskonomy,0.14871975034475327,94
FBA,reshading_taskonomy,0.14867399632930756,95
FBA,depth_zbuffer_taskonomy,0.14140389263629913,96
FBA,depth_euclidean_taskonomy,0.12371904402971268,97
FBA,segment_unsup25d_taskonomy,0.11554346978664398,98
FBA,segment_semantic_taskonomy,0.10755890756845474,99
FBA,alexnet_gn_ipcl_vggface2,0.102542694658041,100
FBA,room_layout_taskonomy,0.0889795571565628,101
FBA,normal_taskonomy,0.08373503163456916,102
FBA,segment_unsup2d_taskonomy,0.07776669636368752,103
FBA,vanishing_point_taskonomy,0.05967285670340061,104
FBA,edge_texture_taskonomy,0.054700878262519834,105
FBA,denoising_taskonomy,0.04067424815148115,106
FBA,egomotion_taskonomy,0.04038611222058534,107
FBA,inpainting_taskonomy,0.03723246268928051,108
FBA,keypoints2d_taskonomy,0.024612389132380487,109
