comparison_id,comparison,eval_type,level,n_obs,n_subjects,n_models,mean,median,std,sem
architecture,CNNs versus Transformers,crsa,Convolutional,165,5,33,0.2254419995528279,0.2359450608491897,0.055859729393729816,0.0043486740354167054
architecture,CNNs versus Transformers,crsa,Transformer,105,5,21,0.15238046347207967,0.1459508389234542,0.05126425244397772,0.005002878769972988
architecture,CNNs versus Transformers,wrsa,Convolutional,165,5,33,0.44698676972678214,0.4537900388240814,0.06584603493894403,0.005126106867719068
architecture,CNNs versus Transformers,wrsa,Transformer,105,5,21,0.46043746868769325,0.4597497880458832,0.05405633148183298,0.00527535778364509
taskonomy_tasks,Taskonomy Encoders,crsa,denoising,5,5,1,0.11282447278499601,0.1172688528895378,0.01811969318879473,0.008103373140316988
taskonomy_tasks,Taskonomy Encoders,crsa,autoencoding,5,5,1,0.039586379192769486,0.0451322235167026,0.02590314503942227,0.011584238627836932
taskonomy_tasks,Taskonomy Encoders,crsa,class_object,5,5,1,0.08727415800094598,0.0842106565833091,0.01877831466153219,0.008397917617213386
taskonomy_tasks,Taskonomy Encoders,crsa,class_scene,5,5,1,0.07748862579464907,0.0755399838089943,0.019445419885890103,0.008696256143175294
taskonomy_tasks,Taskonomy Encoders,crsa,curvature,5,5,1,0.06959684714674946,0.0768536254763603,0.016743855405092822,0.007488079778242966
taskonomy_tasks,Taskonomy Encoders,crsa,depth_euclidean,5,5,1,0.0640675790607929,0.0545334666967392,0.02200728624900594,0.009841957610614727
taskonomy_tasks,Taskonomy Encoders,crsa,depth_zbuffer,5,5,1,0.08845359534025188,0.0839699208736419,0.01854365611783615,0.008292975126172296
taskonomy_tasks,Taskonomy Encoders,crsa,edge_occlusion,5,5,1,0.0650158062577247,0.0481723584234714,0.02729087056684912,0.01220484835052457
taskonomy_tasks,Taskonomy Encoders,crsa,edge_texture,5,5,1,0.18491614460945124,0.1803509145975113,0.034825821570771215,0.015574580880904586
taskonomy_tasks,Taskonomy Encoders,crsa,egomotion,5,5,1,0.09296056777238842,0.0829820930957794,0.021072047754481404,0.009423706240828443
taskonomy_tasks,Taskonomy Encoders,crsa,fixated_pose,5,5,1,0.06687166616320604,0.0658033192157745,0.03961565710175887,0.017716660450571027
taskonomy_tasks,Taskonomy Encoders,crsa,inpainting,5,5,1,0.06446382924914355,0.0601144693791866,0.0233456576813509,0.010440495510988147
taskonomy_tasks,Taskonomy Encoders,crsa,jigsaw,5,5,1,0.11010447889566417,0.1054049730300903,0.02732551209835646,0.012220340514383593
taskonomy_tasks,Taskonomy Encoders,crsa,keypoints2d,5,5,1,0.058604971319437,0.077397771179676,0.06800560607171718,0.03041303160548641
taskonomy_tasks,Taskonomy Encoders,crsa,keypoints3d,5,5,1,0.10340644866228096,0.103141002357006,0.018010142166563808,0.008054380433774402
