model,score,rank
levit_128_classification,0.5260837495326995,1
swin_tiny_patch4_window7_224_classification,0.5138127982616425,2
resmlp_big_24_224_in22ft1k_classification,0.5025089025497437,3
ResNet50/BarlowTwins/BS2048_selfsupervised,0.5022534549236297,4
convnext_base_classification,0.4948415637016296,5
hardcorenas_f_classification,0.4937468647956848,6
cspresnet50_classification,0.4935583770275116,7
eca_nfnet_l0_classification,0.4932080805301666,8
gmlp_s16_224_classification,0.49317347407341006,9
convnext_base_in22k_classification,0.48950375318527223,10
poolformer_s36_classification,0.48862801790237426,11
swin_base_patch4_window7_224_classification,0.4858654856681824,12
mixer_b16_224_classification,0.4848495841026306,13
mixer_b16_224_in21k_classification,0.4848495841026306,14
mixer_l16_224_classification,0.48430231809616087,15
mixer_l16_224_in21k_classification,0.48430231809616087,16
mobilenetv3_large_100_classification,0.4810688257217407,17
pit_b_224_classification,0.4808929979801178,18
vit_large_patch16_224_classification,0.4804877281188965,19
ResNet50/MoCoV2/BS256_selfsupervised,0.4804751217365265,20
skresnext50_32x4d_classification,0.47738396525383,21
jx_nest_tiny_classification,0.4767033219337463,22
ViT/L/SimCLR_slip,0.4756830930709839,23
inception_v3_classification,0.4711743891239166,24
mobilenet_v2_classification,0.47110957503318784,25
efficientnet_b3_classification,0.470105504989624,26
ResNet50/SimCLR_selfsupervised,0.4691758036613464,27
ViT/S/SimCLR_slip,0.468763530254364,28
vit_large_patch16_224_in21k_classification,0.46849813461303713,29
ViT/L/SLIP_slip,0.4675375044345856,30
vit_small_patch32_224_classification,0.4674026191234589,31
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,0.4665568768978119,32
vit_small_patch32_224_in21k_classification,0.4657460629940033,33
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,0.4655938148498535,34
ViT/S/SLIP_slip,0.4651386678218842,35
vit_base_patch16_224_in21k_classification,0.4641795516014099,36
vit_base_patch16_224_classification,0.4639533281326294,37
nf_resnet50_classification,0.46369606256484985,38
resnet101_classification,0.46336491107940675,39
pit_ti_224_classification,0.46316545605659487,40
ResNet50/PIRL_selfsupervised,0.4627714216709137,41
xception_classification,0.46230730414390564,42
ghostnet_100_classification,0.46172930002212526,43
swin_large_patch4_window7_224_classification,0.4597035229206085,44
resnet50_classification,0.4594657361507416,45
ViT/B/SLIP_slip,0.4586580991744995,46
mnasnet1_0_classification,0.4574267089366913,47
ViT/S/CLIP_slip,0.4565503656864166,48
vit_small_patch16_224_in21k_classification,0.4562054812908173,49
hardcorenas_a_classification,0.45595096349716185,50
gmixer_24_224_classification,0.4545415937900543,51
vit_small_patch16_224_classification,0.4528129041194916,52
vit_base_patch32_224_classification,0.45215271711349486,53
visformer_small_classification,0.4517048239707947,54
ViT/B/CLIP_slip,0.4502244293689728,55
resmlp_big_24_224_classification,0.44786455035209655,56
nfnet_l0_classification,0.4476237893104553,57
vit_base_patch32_224_in21k_classification,0.44754597544670105,58
crossvit_base_240_classification,0.44753420948982237,59
coat_lite_tiny_classification,0.44635722041130066,60
ViT/L/CLIP_slip,0.4439681887626648,61
tnt_s_patch16_224_classification,0.4438087046146393,62
googlenet_classification,0.4428475260734558,63
shufflenet_v2_x1_0_classification,0.44269499778747556,64
ViT/B/SimCLR_slip,0.43671161532402036,65
deit_base_patch16_224_classification,0.4348530530929565,66
resnet18_classification,0.43476842045784,67
swin_base_patch4_window7_224_in22k_classification,0.43348304033279417,68
seresnext50_32x4d_classification,0.4333488404750824,69
convnext_large_classification,0.4323139667510986,70
semnasnet_100_classification,0.42796601057052613,71
