model,eval_type,n_subjects_total,n_subjects_test,n_nan_test,mean_test_score,median_test_score,sem_test_score,std_test_score,mean_train_score,median_selected_layer_index,median_selected_layer_fraction,model_class,train_type,train_data,model_source,task_cluster,comparison_group
ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,5,5,0,0.26881965398788454,0.2832028865814209,0.018604026620979035,0.04159986817972484,0.31063265204429624,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,srpr,5,5,0,0.4483051932559996,0.45362434048844014,0.006620161925002297,0.014803132086361004,0.45447520987311574,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,5,5,0,0.5022534549236297,0.5037679672241211,0.020960559625941785,0.0468692361700434,0.3759294331073761,9.0,0.75,,,,,,
ResNet50/ClusterFit/16K/RotNet_selfsupervised,crsa,5,5,0,0.18829481899738312,0.18288582563400269,0.006372582451267631,0.014249527553256664,0.23540007770061494,12.0,1.0,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,srpr,5,5,0,0.4223680625337739,0.43421730331208463,0.008702001390776481,0.019458266650073913,0.4366381255947823,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,wrsa,5,5,0,0.42543320655822753,0.4252270758152008,0.026446748016678113,0.059136726349100006,0.32976860404014585,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,crsa,5,5,0,0.31955273151397706,0.307464599609375,0.011289184070439032,0.02524338299200945,0.38017728328704836,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,srpr,5,5,0,0.44380097255913464,0.454174434303674,0.009075960561354134,0.020294464776294995,0.4562928265523071,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,wrsa,5,5,0,0.4665568768978119,0.4766758680343628,0.02576244473944409,0.057606577703978847,0.3736819624900818,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/Goyal19_selfsupervised,crsa,5,5,0,0.13719332814216614,0.13737770915031433,0.01008587741932059,0.022552707522330996,0.17102586328983307,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,srpr,5,5,0,0.3840139890766308,0.38954848968229877,0.009325130280641062,0.020851625206555112,0.3970055525374535,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,wrsa,5,5,0,0.396394407749176,0.413002073764801,0.02693769589407601,0.06023451917637093,0.3090700626373291,3.0,0.25,,,,,,
ResNet50/JigSaw/P100_selfsupervised,crsa,5,5,0,0.16819776296615602,0.14769446849822998,0.01776105799599071,0.039714933031351415,0.21800708770751953,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,srpr,5,5,0,0.38368249603704474,0.3950911921164506,0.008601247258152648,0.019232973560513008,0.39923326374021434,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,wrsa,5,5,0,0.3731197237968445,0.39032065868377686,0.028362168206948826,0.0634197361000209,0.31466600894927976,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/MoCoV2/BS256_selfsupervised,crsa,5,5,0,0.20834972262382506,0.22147241234779358,0.016350369742947127,0.03656053820248554,0.29407575726509094,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,srpr,5,5,0,0.4407001389844526,0.4491436761162181,0.009252704809994794,0.02068967693088763,0.4445214988328832,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,wrsa,5,5,0,0.4804751217365265,0.4885517358779907,0.02223204875943513,0.049712372305186825,0.36999831199645994,9.0,0.75,,,,,,
ResNet50/PIRL_selfsupervised,crsa,5,5,0,0.25260681211948394,0.2657683491706848,0.030251371243674587,0.06764412251343874,0.31581416726112366,12.0,1.0,,,,,,
ResNet50/PIRL_selfsupervised,srpr,5,5,0,0.4241787029001447,0.4351759973660088,0.008179094095689798,0.018289010392329556,0.428933876619232,9.0,0.75,,,,,,
ResNet50/PIRL_selfsupervised,wrsa,5,5,0,0.4627714216709137,0.458459734916687,0.016162285023220764,0.0361399679836484,0.36419689655303955,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,crsa,5,5,0,0.15485387146472931,0.15179131925106049,0.007781605789821615,0.017400199520147073,0.2079439252614975,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,srpr,5,5,0,0.3890680126956021,0.39678404835330755,0.008671961609771392,0.01939109565771734,0.4024438048037391,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,wrsa,5,5,0,0.3696464836597443,0.37089118361473083,0.02126141690037887,0.04754197348721003,0.3196202337741852,0.0,0.0,,,,,,
ResNet50/SimCLR_selfsupervised,crsa,5,5,0,0.2787419557571411,0.30782246589660645,0.02592920244848214,0.057979459277160056,0.3131704717874527,5.0,0.4166666666666667,,,,,,
ResNet50/SimCLR_selfsupervised,srpr,5,5,0,0.4442171585529282,0.45075850573179804,0.007694332235889129,0.01720504992091605,0.4561335138883025,9.0,0.75,,,,,,
ResNet50/SimCLR_selfsupervised,wrsa,5,5,0,0.4691758036613464,0.4767780900001526,0.02565435157062067,0.05736487403058632,0.37833675742149353,9.0,0.75,,,,,,
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,crsa,5,5,0,0.24865565896034242,0.2416914701461792,0.011176695029665104,0.024991849850115207,0.26950887143611907,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,srpr,5,5,0,0.4458107639853991,0.45077015911408885,0.00822841948868497,0.01839930532408366,0.45219791282751026,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,wrsa,5,5,0,0.4655938148498535,0.4732908606529236,0.02227725065596043,0.049813446818529304,0.3671951353549957,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ViT/B/CLIP_slip,crsa,5,5,0,0.0776009988039732,0.07527429610490799,0.017976821061763452,0.040197393913453026,0.08123718872666359,11.0,0.9166666666666666,,,,,,
ViT/B/CLIP_slip,srpr,5,5,0,0.43183065329722475,0.43557328527820594,0.007279469434633529,0.016277388495972527,0.43628146445798494,7.0,0.5833333333333334,,,,,,
ViT/B/CLIP_slip,wrsa,5,5,0,0.4502244293689728,0.45752012729644775,0.025433242624774255,0.05687045939724041,0.3312136232852936,7.0,0.5833333333333334,,,,,,
ViT/B/SLIP_slip,crsa,5,5,0,0.0613771241158247,0.06618689000606537,0.011254252780642194,0.025165274253481976,0.10086279064416885,7.0,0.5833333333333334,,,,,,
ViT/B/SLIP_slip,srpr,5,5,0,0.42273510039108875,0.43147069200044097,0.00994584912124926,0.022239594729069903,0.4259224446059572,6.0,0.5,,,,,,
ViT/B/SLIP_slip,wrsa,5,5,0,0.4586580991744995,0.4675160050392151,0.020558443419070073,0.04597007699662388,0.34625468254089353,6.0,0.5,,,,,,
ViT/B/SimCLR_slip,crsa,5,5,0,0.0682778850197792,0.07574685662984848,0.011171280154530167,0.02497974182122381,0.12302606254816055,4.0,0.3333333333333333,,,,,,
ViT/B/SimCLR_slip,srpr,5,5,0,0.41695990521624327,0.4250082354739285,0.008802815832374421,0.019683694594600596,0.4274076344306855,6.0,0.5,,,,,,
ViT/B/SimCLR_slip,wrsa,5,5,0,0.43671161532402036,0.437750905752182,0.01814133770632983,0.04056526431413362,0.3342772364616394,6.0,0.5,,,,,,
ViT/L/CLIP_slip,crsa,5,5,0,0.06438228860497475,0.06691063940525055,0.00525129972182803,0.011742263148233211,0.1259172350168228,7.0,0.6363636363636364,,,,,,
ViT/L/CLIP_slip,srpr,5,5,0,0.40460283571497546,0.4039581564122834,0.007258978678780408,0.016231569772974595,0.41226626184573467,2.0,0.18181818181818182,,,,,,
ViT/L/CLIP_slip,wrsa,5,5,0,0.4439681887626648,0.4382922053337097,0.01622271978665466,0.03627510422289071,0.3185226321220398,6.0,0.5454545454545454,,,,,,
ViT/L/SLIP_slip,crsa,5,5,0,0.18750141561031342,0.1847427636384964,0.006345508056561968,0.014188987366245144,0.2776025027036667,11.0,1.0,,,,,,
ViT/L/SLIP_slip,srpr,5,5,0,0.41967725088135255,0.42907028152554566,0.009942285194089491,0.022231625545673796,0.42838780163538753,5.0,0.45454545454545453,,,,,,
ViT/L/SLIP_slip,wrsa,5,5,0,0.4675375044345856,0.5092272162437439,0.030424440555941047,0.06803111726048566,0.3498129963874817,5.0,0.45454545454545453,,,,,,
ViT/L/SimCLR_slip,crsa,5,5,0,0.14504032135009765,0.10918242484331131,0.02343527385177952,0.05240286540390234,0.18883487582206726,11.0,1.0,,,,,,
ViT/L/SimCLR_slip,srpr,5,5,0,0.41036524841605504,0.41126172031609365,0.008537273523202158,0.019089923940389147,0.42297712662912373,10.0,0.9090909090909091,,,,,,
ViT/L/SimCLR_slip,wrsa,5,5,0,0.4756830930709839,0.48109620809555054,0.017024055180552677,0.038066944636423246,0.3311134338378906,10.0,0.9090909090909091,,,,,,
ViT/S/CLIP_slip,crsa,5,5,0,0.12655051797628403,0.1370011419057846,0.013260562692227404,0.0296515195997181,0.12099565118551255,10.0,0.8333333333333334,,,,,,
ViT/S/CLIP_slip,srpr,5,5,0,0.4251297624084761,0.42796811144569036,0.007094942956071009,0.015864774746258078,0.4306423142997793,8.0,0.6666666666666666,,,,,,
ViT/S/CLIP_slip,wrsa,5,5,0,0.4565503656864166,0.4679226279258728,0.020346394815485096,0.04549592190447398,0.34066009521484375,8.0,0.6666666666666666,,,,,,
ViT/S/SLIP_slip,crsa,5,5,0,0.12434618473052979,0.1213880181312561,0.016371850093915234,0.03660856972743078,0.16457743048667908,9.0,0.75,,,,,,
ViT/S/SLIP_slip,srpr,5,5,0,0.41937674655302537,0.42465710602226425,0.008175388363639896,0.018280724123559574,0.43563180243953453,6.0,0.5,,,,,,
ViT/S/SLIP_slip,wrsa,5,5,0,0.4651386678218842,0.4704999625682831,0.023871243754677564,0.05337772374292635,0.34257041215896605,6.0,0.5,,,,,,
ViT/S/SimCLR_slip,crsa,5,5,0,0.1056839182972908,0.10162213444709778,0.01935898230682698,0.04328800041328082,0.18179741203784944,6.0,0.5,,,,,,
ViT/S/SimCLR_slip,srpr,5,5,0,0.42356644833744495,0.4223285324139453,0.007440541336034492,0.01663755621677023,0.43436387462234016,10.0,0.8333333333333334,,,,,,
ViT/S/SimCLR_slip,wrsa,5,5,0,0.468763530254364,0.475259006023407,0.019083478008736096,0.04267195407465624,0.337429815530777,10.0,0.8333333333333334,,,,,,
alexnet_classification,crsa,5,5,0,0.2387760043144226,0.24203041195869446,0.003619600710415405,0.008093673239895379,0.2866575479507446,4.0,0.5,,,,,,
alexnet_classification,srpr,5,5,0,0.41230476208287226,0.41641803274865086,0.008946926121050589,0.020005934996337644,0.41263901878885545,8.0,1.0,,,,,,
alexnet_classification,wrsa,5,5,0,0.3998360216617584,0.4309619069099426,0.02192007944583365,0.04901478771307996,0.31191187500953677,8.0,1.0,,,,,,
alexnet_gn_ipcl_imagenet,crsa,5,5,0,0.2705500215291977,0.258395254611969,0.028244220005865718,0.06315599590457525,0.3171420842409134,3.0,0.25,Convolutional,ipcl,imagenet,open_ipcl,Self-Supervised,input_ipcl
alexnet_gn_ipcl_imagenet,srpr,5,5,0,0.37993659346792674,0.38606437868591365,0.007936848456049033,0.017747332674839897,0.3945933547541616,0.0,0.0,Convolutional,ipcl,imagenet,open_ipcl,Self-Supervised,input_ipcl
alexnet_gn_ipcl_imagenet,wrsa,5,5,0,0.414126044511795,0.4273551106452942,0.010705192426057797,0.023937537976881133,0.26931082308292387,4.0,0.3333333333333333,Convolutional,ipcl,imagenet,open_ipcl,Self-Supervised,input_ipcl
alexnet_gn_ipcl_openimages,crsa,5,5,0,0.2462402403354645,0.23472324013710022,0.020075096342853573,0.044889280077478014,0.27590468227863313,3.0,0.25,Convolutional,ipcl,openimages,open_ipcl,Self-Supervised,input_ipcl
alexnet_gn_ipcl_openimages,srpr,5,5,0,0.35737258242298875,0.35957232855944415,0.006807854255523336,0.015222824896261398,0.3759158070327937,0.0,0.0,Convolutional,ipcl,openimages,open_ipcl,Self-Supervised,input_ipcl
alexnet_gn_ipcl_openimages,wrsa,5,5,0,0.3868220627307892,0.3690195679664612,0.024058092636366983,0.05379553054390371,0.24562118351459503,7.0,0.5833333333333334,Convolutional,ipcl,openimages,open_ipcl,Self-Supervised,input_ipcl
alexnet_gn_ipcl_places256,crsa,5,5,0,0.19373894929885865,0.17630353569984436,0.02237478278528162,0.050031535289681794,0.22062720358371735,3.0,0.25,Convolutional,ipcl,places256,open_ipcl,Self-Supervised,input_ipcl
