source_order,feature_stem,feature_file,result_model,feature_exists,in_manifest,status,deepnsd_model_string,model_display_name,model_class,architecture,train_type,train_data,compare_architecture,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_goal_selfsupervised,compare_goal_contrastive,compare_goal_slip,compare_diet_imagenetsize,compare_diet_ipcl,needed_for,all_deepnsd_model_strings
0,alexnet_classification,alexnet_classification.h5,alexnet_classification,True,True,included,alexnet_classification,AlexNet,Convolutional,alexnet,classification,imagenet,Convolutional,,,,,,,,fig2_architecture_cnn_transformer,alexnet_classification
1,vgg16_classification,vgg16_classification.h5,vgg16_classification,True,True,included,vgg16_classification,VGG16,Convolutional,vgg16,classification,imagenet,Convolutional,,,,,,,,fig2_architecture_cnn_transformer,vgg16_classification
2,resnet18_classification,resnet18_classification.h5,resnet18_classification,True,True,included,resnet18_classification,ResNet18,Convolutional,resnet18,classification,imagenet,Convolutional,,,,,,,,fig2_architecture_cnn_transformer,resnet18_classification
3,resnet50_classification,resnet50_classification.h5,resnet50_classification,True,True,included,resnet50_classification,ResNet50,Convolutional,resnet50,classification,imagenet,Convolutional,,,,,,,,fig2_architecture_cnn_transformer;fig3_supervised_resnet50_reference,resnet50_classification
4,resnet101_classification,resnet101_classification.h5,resnet101_classification,True,True,included,resnet101_classification,ResNet101,Convolutional,resnet101,classification,imagenet,Convolutional,,,,,,,,fig2_architecture_cnn_transformer,resnet101_classification
5,resnet152_classification,resnet152_classification.h5,resnet152_classification,True,True,included,resnet152_classification,ResNet152,Convolutional,resnet152,classification,imagenet,Convolutional,,,,,,,,fig2_architecture_cnn_transformer,resnet152_classification
6,squeezenet1_0_classification,squeezenet1_0_classification.h5,squeezenet1_0_classification,True,True,included,squeezenet1_0_classification,SqueezeNet1.0,Convolutional,squeezenet1_0,classification,imagenet,Convolutional,,,,,,,,fig2_architecture_cnn_transformer,squeezenet1_0_classification
7,densenet121_classification,densenet121_classification.h5,densenet121_classification,True,True,included,densenet121_classification,DenseNet121,Convolutional,densenet121,classification,imagenet,Convolutional,,,,,,,,fig2_architecture_cnn_transformer,densenet121_classification
8,googlenet_classification,googlenet_classification.h5,googlenet_classification,True,True,included,googlenet_classification,GoogleNet,Convolutional,googlenet,classification,imagenet,Convolutional,,,,,,,,fig2_architecture_cnn_transformer,googlenet_classification
9,shufflenet_v2_x1_0_classification,shufflenet_v2_x1_0_classification.h5,shufflenet_v2_x1_0_classification,True,True,included,shufflenet_v2_x1_0_classification,ShuffleNet-V2-x1.0,Convolutional,shufflenet_v2_x1_0,classification,imagenet,Convolutional,,,,,,,,fig2_architecture_cnn_transformer,shufflenet_v2_x1_0_classification
10,mobilenet_v2_classification,mobilenet_v2_classification.h5,mobilenet_v2_classification,True,True,included,mobilenet_v2_classification,MobileNet-V2,Convolutional,mobilenet_v2,classification,imagenet,Convolutional,,,,,,,,fig2_architecture_cnn_transformer,mobilenet_v2_classification
11,mnasnet1_0_classification,mnasnet1_0_classification.h5,mnasnet1_0_classification,True,True,included,mnasnet1_0_classification,MNASNet1.0,Convolutional,mnasnet1_0,classification,imagenet,Convolutional,,,,,,,,fig2_architecture_cnn_transformer,mnasnet1_0_classification
49,coat_lite_tiny_classification,coat_lite_tiny_classification.h5,coat_lite_tiny_classification,True,True,included,coat_lite_tiny_classification,CoaT-Lite-Tiny,Transformer,coat_lite_tiny,classification,imagenet,Transformer,,,,,,,,fig2_architecture_cnn_transformer,coat_lite_tiny_classification
53,convnext_base_classification,convnext_base_classification.h5,convnext_base_classification,True,True,included,convnext_base_classification,ConvNext-B,Convolutional,convnext_base,classification,imagenet,Convolutional,,,,,,imagenet,,fig2_architecture_cnn_transformer;fig4_imagenet_size,convnext_base_classification
54,convnext_large_classification,convnext_large_classification.h5,convnext_large_classification,True,True,included,convnext_large_classification,ConvNext-L,Convolutional,convnext_large,classification,imagenet,Convolutional,,,,,,imagenet,,fig2_architecture_cnn_transformer;fig4_imagenet_size,convnext_large_classification
55,crossvit_base_240_classification,crossvit_base_240_classification.h5,crossvit_base_240_classification,True,True,included,crossvit_base_240_classification,CrossViT-B,Transformer,crossvit_base_240,classification,imagenet,Transformer,,,,,,,,fig2_architecture_cnn_transformer,crossvit_base_240_classification
56,deit_base_patch16_224_classification,deit_base_patch16_224_classification.h5,deit_base_patch16_224_classification,True,True,included,deit_base_patch16_224_classification,DeiT-B-P16-224,Transformer,deit_base_patch16_224,classification,imagenet,Transformer,,,,,,,,fig2_architecture_cnn_transformer,deit_base_patch16_224_classification
57,cspresnet50_classification,cspresnet50_classification.h5,cspresnet50_classification,True,True,included,cspresnet50_classification,CSP-ResNet50,Convolutional,cspresnet50,classification,imagenet,Convolutional,,,,,,,,fig2_architecture_cnn_transformer,cspresnet50_classification
58,dla34_classification,dla34_classification.h5,dla34_classification,True,True,included,dla34_classification,DLA34,Convolutional,dla34,classification,imagenet,Convolutional,,,,,,,,fig2_architecture_cnn_transformer,dla34_classification
59,eca_nfnet_l0_classification,eca_nfnet_l0_classification.h5,eca_nfnet_l0_classification,True,True,included,eca_nfnet_l0_classification,ECA-NFNeT-L0,Convolutional,eca_nfnet_l0,classification,imagenet,Convolutional,,,,,,,,fig2_architecture_cnn_transformer,eca_nfnet_l0_classification
60,efficientnet_b1_classification,efficientnet_b1_classification.h5,efficientnet_b1_classification,True,True,included,efficientnet_b1_classification,EfficientNet-B1,Convolutional,efficientnet_b1,classification,imagenet,Convolutional,,,,,,,,fig2_architecture_cnn_transformer,efficientnet_b1_classification
61,efficientnet_b3_classification,efficientnet_b3_classification.h5,efficientnet_b3_classification,True,True,included,efficientnet_b3_classification,EfficientNet-B3,Convolutional,efficientnet_b3,classification,imagenet,Convolutional,,,,,,,,fig2_architecture_cnn_transformer,efficientnet_b3_classification
62,ghostnet_100_classification,ghostnet_100_classification.h5,ghostnet_100_classification,True,True,included,ghostnet_100_classification,GhostNet100,Convolutional,ghostnet_100,classification,imagenet,Convolutional,,,,,,,,fig2_architecture_cnn_transformer,ghostnet_100_classification
63,gmixer_24_224_classification,gmixer_24_224_classification.h5,gmixer_24_224_classification,True,True,included,gmixer_24_224_classification,GMixer-24,Convolutional,gmixer_24_224,classification,imagenet,Convolutional,,,,,,,,fig2_architecture_cnn_transformer,gmixer_24_224_classification
64,gmlp_s16_224_classification,gmlp_s16_224_classification.h5,gmlp_s16_224_classification,True,True,included,gmlp_s16_224_classification,GMLP-S16,Convolutional,gmlp_s16_224,classification,imagenet,Convolutional,,,,,,,,fig2_architecture_cnn_transformer,gmlp_s16_224_classification
65,hardcorenas_a_classification,hardcorenas_a_classification.h5,hardcorenas_a_classification,True,True,included,hardcorenas_a_classification,HardCoreNAS-A,Convolutional,hardcorenas_a,classification,imagenet,Convolutional,,,,,,,,fig2_architecture_cnn_transformer,hardcorenas_a_classification
66,hardcorenas_f_classification,hardcorenas_f_classification.h5,hardcorenas_f_classification,True,True,included,hardcorenas_f_classification,HardCoreNAS-F,Convolutional,hardcorenas_f,classification,imagenet,Convolutional,,,,,,,,fig2_architecture_cnn_transformer,hardcorenas_f_classification
67,jx_nest_tiny_classification,jx_nest_tiny_classification.h5,jx_nest_tiny_classification,True,True,included,jx_nest_tiny_classification,JX-NesT-Tiny,Transformer,jx_nest_tiny,classification,imagenet,Transformer,,,,,,,,fig2_architecture_cnn_transformer,jx_nest_tiny_classification
68,levit_128_classification,levit_128_classification.h5,levit_128_classification,True,True,included,levit_128_classification,LeViT128,Transformer,levit_128,classification,imagenet,Transformer,,,,,,,,fig2_architecture_cnn_transformer,levit_128_classification
69,inception_v3_classification,inception_v3_classification.h5,inception_v3_classification,True,True,included,inception_v3_classification,Inception-V3,Convolutional,inception_v3,classification,imagenet,Convolutional,,,,,,,,fig2_architecture_cnn_transformer,inception_v3_classification
72,mobilenetv3_large_100_classification,mobilenetv3_large_100_classification.h5,mobilenetv3_large_100_classification,True,True,included,mobilenetv3_large_100_classification,MobileNet-V3-Large,Convolutional,mobilenetv3_large_100,classification,imagenet,Convolutional,,,,,,,,fig2_architecture_cnn_transformer,mobilenetv3_large_100_classification
73,nf_resnet50_classification,nf_resnet50_classification.h5,nf_resnet50_classification,True,True,included,nf_resnet50_classification,NF-ResNet50,Convolutional,nf_resnet50,classification,imagenet,Convolutional,,,,,,,,fig2_architecture_cnn_transformer,nf_resnet50_classification
74,nfnet_l0_classification,nfnet_l0_classification.h5,nfnet_l0_classification,True,True,included,nfnet_l0_classification,NF-Net-L0,Convolutional,nfnet_l0,classification,imagenet,Convolutional,,,,,,,,fig2_architecture_cnn_transformer,nfnet_l0_classification
75,pit_b_224_classification,pit_b_224_classification.h5,pit_b_224_classification,True,True,included,pit_b_224_classification,PiT-B-224,Transformer,pit_b_224,classification,imagenet,Transformer,,,,,,,,fig2_architecture_cnn_transformer,pit_b_224_classification
76,pit_ti_224_classification,pit_ti_224_classification.h5,pit_ti_224_classification,True,True,included,pit_ti_224_classification,PiT-T-224,Transformer,pit_ti_224,classification,imagenet,Transformer,,,,,,,,fig2_architecture_cnn_transformer,pit_ti_224_classification
77,poolformer_s36_classification,poolformer_s36_classification.h5,poolformer_s36_classification,True,True,included,poolformer_s36_classification,PoolFormer-S36,Transformer,poolformer_s36,classification,imagenet,Transformer,,,,,,,,fig2_architecture_cnn_transformer,poolformer_s36_classification
79,regnetx_064_classification,regnetx_064_classification.h5,regnetx_064_classification,True,True,included,regnetx_064_classification,RegNetX-64,Convolutional,regnetx_064,classification,imagenet,Convolutional,,,,,,,,fig2_architecture_cnn_transformer,regnetx_064_classification
80,regnety_064_classification,regnety_064_classification.h5,regnety_064_classification,True,True,included,regnety_064_classification,RegNetY-64,Convolutional,regnety_064,classification,imagenet,Convolutional,,,,,,,,fig2_architecture_cnn_transformer,regnety_064_classification
85,semnasnet_100_classification,semnasnet_100_classification.h5,semnasnet_100_classification,True,True,included,semnasnet_100_classification,SemNASNet100,Convolutional,semnasnet_100,classification,imagenet,Convolutional,,,,,,,,fig2_architecture_cnn_transformer,semnasnet_100_classification
86,seresnext50_32x4d_classification,seresnext50_32x4d_classification.h5,seresnext50_32x4d_classification,True,True,included,seresnext50_32x4d_classification,SEResNext50-32x4D,Convolutional,seresnext50_32x4d,classification,imagenet,Convolutional,,,,,,,,fig2_architecture_cnn_transformer,seresnext50_32x4d_classification
87,skresnext50_32x4d_classification,skresnext50_32x4d_classification.h5,skresnext50_32x4d_classification,True,True,included,skresnext50_32x4d_classification,SKResNext50-32x4D,Convolutional,skresnext50_32x4d,classification,imagenet,Convolutional,,,,,,,,fig2_architecture_cnn_transformer,skresnext50_32x4d_classification
88,swin_base_patch4_window7_224_classification,swin_base_patch4_window7_224_classification.h5,swin_base_patch4_window7_224_classification,True,True,included,swin_base_patch4_window7_224_classification,Swin-B-P4-W7,Transformer,swin_base_patch4_window7_224,classification,imagenet,Transformer,,,,,,imagenet,,fig2_architecture_cnn_transformer;fig4_imagenet_size,swin_base_patch4_window7_224_classification
89,swin_large_patch4_window7_224_classification,swin_large_patch4_window7_224_classification.h5,swin_large_patch4_window7_224_classification,True,True,included,swin_large_patch4_window7_224_classification,Swin-L-P4-W7,Transformer,swin_large_patch4_window7_224,classification,imagenet,Transformer,,,,,,imagenet,,fig2_architecture_cnn_transformer;fig4_imagenet_size,swin_large_patch4_window7_224_classification
90,swin_tiny_patch4_window7_224_classification,swin_tiny_patch4_window7_224_classification.h5,swin_tiny_patch4_window7_224_classification,True,True,included,swin_tiny_patch4_window7_224_classification,Swin-T-P4-W7,Transformer,swin_tiny_patch4_window7_224,classification,imagenet,Transformer,,,,,,,,fig2_architecture_cnn_transformer,swin_tiny_patch4_window7_224_classification
91,tnt_s_patch16_224_classification,tnt_s_patch16_224_classification.h5,tnt_s_patch16_224_classification,True,True,included,tnt_s_patch16_224_classification,TnT-P16-224,Transformer,tnt_s_patch16_224,classification,imagenet,Transformer,,,,,,,,fig2_architecture_cnn_transformer,tnt_s_patch16_224_classification
92,visformer_small_classification,visformer_small_classification.h5,visformer_small_classification,True,True,included,visformer_small_classification,Visformer,Transformer,visformer_small,classification,imagenet,Transformer,,,,,,,,fig2_architecture_cnn_transformer,visformer_small_classification
93,vit_large_patch16_224_classification,vit_large_patch16_224_classification.h5,vit_large_patch16_224_classification,True,True,included,vit_large_patch16_224_classification,ViT-L-P16,Transformer,vit_large_patch16_224,classification,imagenet,Transformer,,,,,,imagenet,,fig2_architecture_cnn_transformer;fig4_imagenet_size,vit_large_patch16_224_classification
