subject,model,eval_type,region,model_layer,model_layer_index,test_score,train_score,max_model_layer_index,selected_layer_fraction,score
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,EBA,Conv2d-49,9,0.2555570602416992,0.3023166358470917,12,0.75,0.2555570602416992
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,FBA,Conv2d-49,9,0.17752164602279663,0.2286536991596222,12,0.75,0.17752164602279663
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,FFA-1,Conv2d-49,9,0.17605996131896973,0.2322237342596054,12,0.75,0.17605996131896973
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,FFA-2,Conv2d-49,9,0.18800784647464752,0.2110946625471115,12,0.75,0.18800784647464752
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,OFA,Conv2d-49,9,0.24320968985557556,0.2266426831483841,12,0.75,0.24320968985557556
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,OPA,BatchNorm2d-51,5,0.2430378645658493,0.24620170891284943,12,0.4166666666666667,0.2430378645658493
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,PPA,Conv2d-49,9,0.20914040505886078,0.20018693804740906,12,0.75,0.20914040505886078
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,VWFA-1,BatchNorm2d-51,5,0.23848386108875275,0.2648440897464752,12,0.4166666666666667,0.23848386108875275
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,VWFA-2,Conv2d-49,9,0.13720984756946564,0.17209865152835846,12,0.75,0.13720984756946564
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,l-objects,Conv2d-49,9,0.2652493417263031,0.28736960887908936,12,0.75,0.2652493417263031
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,laion-lateral,Conv2d-49,9,0.2751385569572449,0.30850571393966675,12,0.75,0.2751385569572449
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,laion-ventral,Conv2d-49,9,0.2809787690639496,0.3192359209060669,12,0.75,0.2809787690639496
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,mfs-words,BatchNorm2d-51,5,0.15030528604984283,0.1242331862449646,12,0.4166666666666667,0.15030528604984283
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,otc,Conv2d-49,9,0.30628105998039246,0.33717063069343567,12,0.75,0.30628105998039246
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,otc-category,Conv2d-49,9,0.30083680152893066,0.31562379002571106,12,0.75,0.30083680152893066
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,otc-streams,Conv2d-49,9,0.3073590099811554,0.344357967376709,12,0.75,0.3073590099811554
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,v-objects,Conv2d-49,9,0.23152810335159302,0.2305394560098648,12,0.75,0.23152810335159302
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,EBA,Conv2d-49,9,0.43876588344573975,0.308258056640625,12,0.75,0.43876588344573975
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,FBA,Conv2d-49,9,0.42051568627357483,0.37614676356315613,12,0.75,0.42051568627357483
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,FFA-1,AdaptiveAvgPool2d-1,0,0.33560553193092346,0.2167767435312271,12,0.0,0.33560553193092346
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,FFA-2,AdaptiveAvgPool2d-1,0,0.3843904733657837,0.3107249140739441,12,0.0,0.3843904733657837
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,OFA,BatchNorm2d-46,4,0.32065272331237793,0.20369111001491547,12,0.3333333333333333,0.32065272331237793
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,OPA,Conv2d-49,9,0.4090934693813324,0.1819782853126526,12,0.75,0.4090934693813324
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,PPA,BatchNorm2d-51,5,0.3957718014717102,0.2320920079946518,12,0.4166666666666667,0.3957718014717102
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,VWFA-1,BatchNorm2d-51,5,0.3902181088924408,0.2505609095096588,12,0.4166666666666667,0.3902181088924408
sub-01,ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,VWFA-2,BatchNorm2d-51,5,0.19793950021266937,0.10548076778650284,12,0.4166666666666667,0.19793950021266937
