region,breakpoint_1_rank,breakpoint_1_score,breakpoint_2_rank,breakpoint_2_score,n_models_top_segment,n_models_middle_segment,n_models_bottom_segment,sse,metric,n_models,top_model,top_score,method,ci_method
EBA,81,0.43347165584564207,91,0.29227264821529386,81,10,26,0.006065425053641083,wrsa,117,levit_128_classification,0.5414576888084411,pure_python_grid_search_two_breakpoints,not_computed
FBA,81,0.38634472489356997,91,0.2515818625688553,81,10,26,0.004217163203580507,wrsa,117,resmlp_big_24_224_in22ft1k_classification,0.48394502997398375,pure_python_grid_search_two_breakpoints,not_computed
FFA-1,81,0.30878435373306273,91,0.21122813522815703,81,10,26,0.003637826919092365,wrsa,117,levit_128_classification,0.40151487588882445,pure_python_grid_search_two_breakpoints,not_computed
FFA-2,81,0.2972300827503204,91,0.2151481941342354,81,10,26,0.0029577450386298726,wrsa,117,levit_128_classification,0.3791390895843506,pure_python_grid_search_two_breakpoints,not_computed
OFA,81,0.255591481924057,103,0.1624045193195343,81,22,14,0.0017730780081097665,wrsa,117,levit_128_classification,0.3510223627090454,pure_python_grid_search_two_breakpoints,not_computed
OPA,83,0.27800714373588564,101,0.1587856739759445,83,18,16,0.0032376454455809453,wrsa,117,mobilenet_v2_classification,0.37842743992805483,pure_python_grid_search_two_breakpoints,not_computed
PPA,90,0.2964439332485199,107,0.0894138753414154,90,17,10,0.005266104801629899,wrsa,117,ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,0.41968592405319216,pure_python_grid_search_two_breakpoints,not_computed
VWFA-1,81,0.25160867273807525,91,0.1980611987411976,81,10,26,0.003949969441373358,wrsa,117,levit_128_classification,0.33276668190956116,pure_python_grid_search_two_breakpoints,not_computed
VWFA-2,75,0.20011097490787505,91,0.16192984879016875,75,16,26,0.001308689976576216,wrsa,117,cspresnet50_classification,0.2810417801141739,pure_python_grid_search_two_breakpoints,not_computed
l-objects,81,0.42507723569869993,91,0.29807827472686765,81,10,26,0.006509231146709735,wrsa,117,levit_128_classification,0.5401467561721802,pure_python_grid_search_two_breakpoints,not_computed
laion-lateral,83,0.33752877712249757,101,0.16533174514770507,83,18,16,0.009211380189385766,wrsa,117,levit_128_classification,0.46345906257629393,pure_python_grid_search_two_breakpoints,not_computed
laion-ventral,83,0.4196217119693756,104,0.2038195863366127,83,21,13,0.0064876099699658525,wrsa,117,ResNet50/BarlowTwins/BS2048_selfsupervised,0.528116124868393,pure_python_grid_search_two_breakpoints,not_computed
mfs-words,80,0.2840620055794716,91,0.22873615100979805,80,11,26,0.005059633985699502,wrsa,117,resmlp_big_24_224_in22ft1k_classification,0.3872435763478279,pure_python_grid_search_two_breakpoints,not_computed
otc,84,0.39011054039001464,101,0.19635679423809052,84,17,16,0.00970108703404476,wrsa,117,levit_128_classification,0.5260837495326995,pure_python_grid_search_two_breakpoints,not_computed
otc-category,75,0.49811739325523374,90,0.4006609797477722,75,15,27,0.010004012446337092,wrsa,117,levit_128_classification,0.6081288695335388,pure_python_grid_search_two_breakpoints,not_computed
otc-streams,83,0.3904642879962921,102,0.1934257209300995,83,19,15,0.010072873841384705,wrsa,117,levit_128_classification,0.5289641857147217,pure_python_grid_search_two_breakpoints,not_computed
pSTS-words,10,0.10696140490472317,71,0.07493023946881294,10,61,46,0.0006984975623382891,wrsa,117,nf_resnet50_classification,0.13004884123802185,pure_python_grid_search_two_breakpoints,not_computed
v-objects,81,0.5125923454761505,91,0.36770211458206176,81,10,26,0.010857565739741695,wrsa,117,levit_128_classification,0.6124517560005188,pure_python_grid_search_two_breakpoints,not_computed
