model,eval_type,mean,ci_lo,ci_hi,n_subjects,panel,group_label,group_color,x,x_start,x_end,mean_group,ci_lo_group,ci_hi_group,deepnsd_model,model_string,model_display_name,train_type,train_data,architecture,model_class,task_cluster,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
vgg16_classification,crsa,0.39002866148948667,0.3675986647605896,0.4124586582183838,5,Fig2 architecture,Convolutional,#e69f00,0.0,-0.38,32.38,0.29729615477562854,0.26271622477804846,0.3301024614115048,vgg16,vgg16_classification,VGG16,classification,imagenet,vgg16,Convolutional,Semantic,Convolutional,,,,,,,
nf_resnet50_classification,crsa,0.34471721649169923,0.31968970894813536,0.3698701798915863,5,Fig2 architecture,Convolutional,#e69f00,1.0,-0.38,32.38,0.29729615477562854,0.26271622477804846,0.3301024614115048,nf_resnet50,nf_resnet50_classification,NF-ResNet50,classification,imagenet,nf_resnet50,Convolutional,Semantic,Convolutional,,,,,,,
alexnet_classification,crsa,0.2789745360612869,0.2590698331594467,0.2926530778408051,5,Fig2 architecture,Convolutional,#e69f00,2.0,-0.38,32.38,0.29729615477562854,0.26271622477804846,0.3301024614115048,alexnet,alexnet_classification,AlexNet,classification,imagenet,alexnet,Convolutional,Semantic,Convolutional,,,,,,,
squeezenet1_0_classification,crsa,0.39843888878822326,0.3725384533405304,0.42433932423591614,5,Fig2 architecture,Convolutional,#e69f00,3.0,-0.38,32.38,0.29729615477562854,0.26271622477804846,0.3301024614115048,squeezenet1_0,squeezenet1_0_classification,SqueezeNet1.0,classification,imagenet,squeezenet1_0,Convolutional,Semantic,Convolutional,,,,,,,
dla34_classification,crsa,0.4529001235961914,0.4172461569309235,0.4771498441696167,5,Fig2 architecture,Convolutional,#e69f00,4.0,-0.38,32.38,0.29729615477562854,0.26271622477804846,0.3301024614115048,dla34,dla34_classification,DLA34,classification,imagenet,dla34,Convolutional,Semantic,Convolutional,,,,,,,
semnasnet_100_classification,crsa,0.2433551013469696,0.2364083021879196,0.24929681718349456,5,Fig2 architecture,Convolutional,#e69f00,5.0,-0.38,32.38,0.29729615477562854,0.26271622477804846,0.3301024614115048,semnasnet_100,semnasnet_100_classification,SemNASNet100,classification,imagenet,semnasnet_100,Convolutional,Semantic,Convolutional,,,,,,,
hardcorenas_a_classification,crsa,0.4225475907325745,0.38877546787261963,0.4563197135925293,5,Fig2 architecture,Convolutional,#e69f00,6.0,-0.38,32.38,0.29729615477562854,0.26271622477804846,0.3301024614115048,hardcorenas_a,hardcorenas_a_classification,HardCoreNAS-A,classification,imagenet,hardcorenas_a,Convolutional,Semantic,Convolutional,,,,,,,
shufflenet_v2_x1_0_classification,crsa,0.2333898961544037,0.19615811109542847,0.2643316209316254,5,Fig2 architecture,Convolutional,#e69f00,7.0,-0.38,32.38,0.29729615477562854,0.26271622477804846,0.3301024614115048,shufflenet_v2_x1_0,shufflenet_v2_x1_0_classification,ShuffleNet-V2-x1.0,classification,imagenet,shufflenet_v2_x1_0,Convolutional,Semantic,Convolutional,,,,,,,
cspresnet50_classification,crsa,0.3132878214120865,0.26474808156490326,0.3562663018703461,5,Fig2 architecture,Convolutional,#e69f00,8.0,-0.38,32.38,0.29729615477562854,0.26271622477804846,0.3301024614115048,cspresnet50,cspresnet50_classification,CSP-ResNet50,classification,imagenet,cspresnet50,Convolutional,Semantic,Convolutional,,,,,,,
densenet121_classification,crsa,0.23398658037185668,0.21197439432144166,0.2544103264808655,5,Fig2 architecture,Convolutional,#e69f00,9.0,-0.38,32.38,0.29729615477562854,0.26271622477804846,0.3301024614115048,densenet121,densenet121_classification,DenseNet121,classification,imagenet,densenet121,Convolutional,Semantic,Convolutional,,,,,,,
