model,eval_type,n_subjects_total,n_subjects_test,n_nan_test,mean_test_score,median_test_score,sem_test_score,std_test_score,mean_train_score,median_selected_layer_index,median_selected_layer_fraction,model_class,train_type,train_data,model_source,task_cluster,comparison_group
ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,5,5,0,0.4687127649784088,0.48984578251838684,0.021412686918401175,0.04788022353046553,0.452856308221817,6.0,0.5,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,srpr,5,5,0,0.45158301099818676,0.45216139521812543,0.005581288005057942,0.012480139381313735,0.4483419056227702,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,5,5,0,0.5599282264709473,0.5741498470306396,0.019388903464830055,0.04335490615654122,0.3207910478115082,9.0,0.75,,,,,,
ResNet50/ClusterFit/16K/RotNet_selfsupervised,crsa,5,5,0,0.3477716863155365,0.36754730343818665,0.015271305358067071,0.03414767688579474,0.3375402331352234,8.0,0.6666666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,srpr,5,5,0,0.42931580560553656,0.43480181589642025,0.007182960576666188,0.016061588129126687,0.4304627209706412,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,wrsa,5,5,0,0.5000727057456971,0.4954051971435547,0.011275298311215839,0.025212333490467198,0.28271261155605315,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,crsa,5,5,0,0.39995244741439817,0.40244394540786743,0.010886025185497646,0.024341892319547493,0.4050858676433563,6.0,0.5,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,srpr,5,5,0,0.4470170208470946,0.45384582553801617,0.007630454940036095,0.017062215945169802,0.44585413295607446,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,wrsa,5,5,0,0.4686525285243988,0.4693385660648346,0.017927091679153448,0.04008619563345796,0.2950034260749817,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/Goyal19_selfsupervised,crsa,5,5,0,0.26882588267326357,0.2755816578865051,0.007581531872298541,0.016952820640040795,0.25635112822055817,6.0,0.5,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,srpr,5,5,0,0.39172957628943517,0.40141671079162716,0.008582238579650247,0.0191904688632192,0.3921275467149395,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,wrsa,5,5,0,0.4960567533969879,0.5015071630477905,0.008407138764388188,0.01879893377344558,0.2854154407978058,3.0,0.25,,,,,,
ResNet50/JigSaw/P100_selfsupervised,crsa,5,5,0,0.3260351061820984,0.31451553106307983,0.016705468802039727,0.03735456383736281,0.3316967308521271,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,srpr,5,5,0,0.3898376836900364,0.39765146299197773,0.0075103056367419475,0.016793553935554855,0.39279517917430334,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,wrsa,5,5,0,0.5152669012546539,0.5180401802062988,0.011565359273329296,0.025860929519371873,0.2912671208381653,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/MoCoV2/BS256_selfsupervised,crsa,5,5,0,0.36591755747795107,0.3510538935661316,0.015186087212670523,0.033957123319771604,0.3956415891647339,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,srpr,5,5,0,0.4401514009235388,0.45014230778298325,0.008336443249799283,0.01864085379712048,0.43789691346824194,9.0,0.75,,,,,,
