region,breakpoint_1_rank,breakpoint_1_score,breakpoint_2_rank,breakpoint_2_score,n_models_top_segment,n_models_middle_segment,n_models_bottom_segment,sse,metric,n_models,top_model,top_score,method,ci_method
EBA,79,0.42103153467178345,107,0.22199960947036743,79,28,10,0.013125249152407004,wrsa,117,jx_nest_tiny_classification,0.5089169502258301,pure_python_grid_search_two_breakpoints,not_computed
FBA,80,0.35333812832832334,107,0.18323426246643065,80,27,10,0.012754137735008615,wrsa,117,resmlp_big_24_224_in22ft1k_classification,0.43297643661499025,pure_python_grid_search_two_breakpoints,not_computed
FFA-1,74,0.388796728849411,107,0.2941396951675415,74,33,10,0.026399504529315235,wrsa,117,ViT/L/CLIP_slip,0.48058704733848573,pure_python_grid_search_two_breakpoints,not_computed
FFA-2,77,0.24664155542850494,107,0.1766459286212921,77,30,10,0.015016477130067466,wrsa,117,ViT/L/CLIP_slip,0.3648197650909424,pure_python_grid_search_two_breakpoints,not_computed
OFA,82,0.29749634861946106,107,0.23702352344989777,82,25,10,0.008890025816258956,wrsa,117,ResNet50/BarlowTwins/BS2048_selfsupervised,0.3924152672290802,pure_python_grid_search_two_breakpoints,not_computed
OPA,83,0.3745005190372467,107,0.32129736840724943,83,24,10,0.022468631432449385,wrsa,117,levit_128_classification,0.45359004735946656,pure_python_grid_search_two_breakpoints,not_computed
PPA,77,0.4442542612552643,107,0.36182370483875276,77,30,10,0.03773492227617425,wrsa,117,ViT/S/CLIP_slip,0.5028115808963776,pure_python_grid_search_two_breakpoints,not_computed
VWFA-1,83,0.36198784708976744,107,0.243867414444685,83,24,10,0.011894440536170014,wrsa,117,levit_128_classification,0.43048339486122134,pure_python_grid_search_two_breakpoints,not_computed
VWFA-2,81,0.20259298980236054,91,0.17540466636419297,81,10,26,0.0017387910693102294,wrsa,117,ResNet50/BarlowTwins/BS2048_selfsupervised,0.2628564387559891,pure_python_grid_search_two_breakpoints,not_computed
l-objects,80,0.41140246391296387,107,0.19950011074543,80,27,10,0.015679253087821345,wrsa,117,swin_tiny_patch4_window7_224_classification,0.5013873100280761,pure_python_grid_search_two_breakpoints,not_computed
laion-lateral,87,0.4038954317569733,107,0.3420577883720398,87,20,10,0.029571383924706908,wrsa,117,ViT/L/SimCLR_slip,0.5356620788574219,pure_python_grid_search_two_breakpoints,not_computed
laion-ventral,82,0.5456971347332,107,0.47012688517570494,82,25,10,0.06702217970370189,wrsa,117,ViT/B/SLIP_slip,0.6338833212852478,pure_python_grid_search_two_breakpoints,not_computed
mfs-words,81,0.275760218501091,107,0.16351012140512466,81,26,10,0.005004034378700936,wrsa,117,mixer_l16_224_in21k_classification,0.3481123633682728,pure_python_grid_search_two_breakpoints,not_computed
otc,75,0.5047031760215759,107,0.4284873366355896,75,32,10,0.06139135444037153,wrsa,117,ViT/B/CLIP_slip,0.5946556806564331,pure_python_grid_search_two_breakpoints,not_computed
otc-category,80,0.49169703125953673,107,0.3228857904672623,80,27,10,0.04362300508439865,wrsa,117,jx_nest_tiny_classification,0.5733187437057495,pure_python_grid_search_two_breakpoints,not_computed
otc-streams,69,0.5171302378177642,107,0.43119296431541443,69,38,10,0.05958673165430876,wrsa,117,ViT/B/CLIP_slip,0.5956271886825562,pure_python_grid_search_two_breakpoints,not_computed
pSTS-words,61,0.07257838547229767,90,0.040659479796886444,61,29,27,0.000302890800186627,wrsa,117,ViT/L/SLIP_slip,0.11855210363864899,pure_python_grid_search_two_breakpoints,not_computed
v-objects,82,0.5017308413982391,107,0.2715922802686691,82,25,10,0.027370321016080307,wrsa,117,skresnext50_32x4d_classification,0.5829898118972778,pure_python_grid_search_two_breakpoints,not_computed
