model,score,rank
ViT/B/CLIP_slip,0.5946556806564331,1
ViT/L/SimCLR_slip,0.5903134226799012,2
levit_128_classification,0.5897778749465943,3
ViT/S/CLIP_slip,0.5868962407112122,4
ViT/L/CLIP_slip,0.5844379782676696,5
mixer_l16_224_classification,0.5831625699996948,6
mixer_l16_224_in21k_classification,0.5831625699996948,7
gmlp_s16_224_classification,0.5827254295349121,8
ViT/B/SLIP_slip,0.582576060295105,9
ViT/S/SimCLR_slip,0.582374632358551,10
ViT/S/SLIP_slip,0.5817135095596313,11
pit_b_224_classification,0.5806226611137391,12
ViT/L/SLIP_slip,0.5790414094924927,13
vit_large_patch16_224_in21k_classification,0.5769672989845276,14
jx_nest_tiny_classification,0.5732872247695923,15
mixer_b16_224_classification,0.570557963848114,16
mixer_b16_224_in21k_classification,0.570557963848114,17
vit_small_patch32_224_classification,0.567113047838211,18
eca_nfnet_l0_classification,0.5663175821304322,19
swin_base_patch4_window7_224_in22k_classification,0.5653107762336731,20
swin_tiny_patch4_window7_224_classification,0.5628753781318665,21
alexnet_gn_ipcl_imagenet,0.5616316556930542,22
xcit_nano_12_p16_224_classification,0.5601992011070251,23
ResNet50/BarlowTwins/BS2048_selfsupervised,0.5599282264709473,24
swin_large_patch4_window7_224_classification,0.559354591369629,25
coat_lite_tiny_classification,0.5588168978691102,26
mobilenet_v2_classification,0.5585130095481873,27
skresnext50_32x4d_classification,0.5582050442695617,28
ViT/B/SimCLR_slip,0.5572873830795289,29
crossvit_base_240_classification,0.55718834400177,30
vit_small_patch32_224_in21k_classification,0.5566871762275696,31
tnt_s_patch16_224_classification,0.5563005566596985,32
convnext_large_classification,0.5550944805145264,33
resmlp_big_24_224_in22ft1k_classification,0.5535941004753113,34
deit_base_patch16_224_classification,0.5532431960105896,35
swin_base_patch4_window7_224_classification,0.553024172782898,36
vit_small_patch16_224_classification,0.5521867990493774,37
vit_small_patch16_224_in21k_classification,0.5515456318855285,38
vit_base_patch32_224_classification,0.5511971473693847,39
xception_classification,0.5510268568992615,40
vit_large_patch16_224_classification,0.5485812127590179,41
visformer_small_classification,0.5456298470497132,42
convnext_base_in22k_classification,0.5453571319580078,43
convnext_large_in22k_classification,0.5452179074287414,44
ResNet50/PIRL_selfsupervised,0.5432937026023865,45
convnext_base_classification,0.5419802725315094,46
pit_ti_224_classification,0.5412309288978576,47
vit_base_patch16_224_in21k_classification,0.5410244107246399,48
vit_base_patch16_224_classification,0.5408934772014617,49
