feature_stem,deepnsd_model_string,feature_file,h5_exists,metric,nsd_consensus_layer,present_in_current_sampled_laion_h5,n_current_sampled_layers,subject_votes_for_consensus,n_subjects
alexnet_classification,alexnet_classification,alexnet_classification.h5,True,crsa,Linear-1,True,9,2,4
alexnet_classification,alexnet_classification,alexnet_classification.h5,True,srpr,Linear-3,True,9,2,4
alexnet_classification,alexnet_classification,alexnet_classification.h5,True,wrsa,Linear-3,True,9,2,4
vgg16_classification,vgg16_classification,vgg16_classification.h5,True,crsa,MaxPool2d-5,True,18,2,4
vgg16_classification,vgg16_classification,vgg16_classification.h5,True,srpr,Linear-1,True,18,2,4
vgg16_classification,vgg16_classification,vgg16_classification.h5,True,wrsa,Linear-1,True,18,4,4
resnet18_classification,resnet18_classification,resnet18_classification.h5,True,crsa,AdaptiveAvgPool2d-1,False,11,2,4
resnet18_classification,resnet18_classification,resnet18_classification.h5,True,srpr,Conv2d-19,False,11,2,4
resnet18_classification,resnet18_classification,resnet18_classification.h5,True,wrsa,Conv2d-19,False,11,4,4
resnet50_classification,resnet50_classification,resnet50_classification.h5,True,crsa,BatchNorm2d-49,True,13,4,4
resnet50_classification,resnet50_classification,resnet50_classification.h5,True,srpr,Conv2d-49,False,13,4,4
resnet50_classification,resnet50_classification,resnet50_classification.h5,True,wrsa,Conv2d-49,False,13,3,4
resnet101_classification,resnet101_classification,resnet101_classification.h5,True,crsa,BatchNorm2d-100,False,12,1,4
resnet101_classification,resnet101_classification,resnet101_classification.h5,True,srpr,Conv2d-93,False,12,3,4
resnet101_classification,resnet101_classification,resnet101_classification.h5,True,wrsa,Conv2d-93,False,12,4,4
resnet152_classification,resnet152_classification,resnet152_classification.h5,True,crsa,BatchNorm2d-114,False,12,3,4
resnet152_classification,resnet152_classification,resnet152_classification.h5,True,srpr,Conv2d-151,False,12,1,4
resnet152_classification,resnet152_classification,resnet152_classification.h5,True,wrsa,BatchNorm2d-151,False,12,1,4
squeezenet1_0_classification,squeezenet1_0_classification,squeezenet1_0_classification.h5,True,crsa,Conv2d-23,False,12,3,4
squeezenet1_0_classification,squeezenet1_0_classification,squeezenet1_0_classification.h5,True,srpr,AdaptiveAvgPool2d-1,True,12,2,4
squeezenet1_0_classification,squeezenet1_0_classification,squeezenet1_0_classification.h5,True,wrsa,AdaptiveAvgPool2d-1,True,12,4,4
densenet121_classification,densenet121_classification,densenet121_classification.h5,True,crsa,BatchNorm2d-101,False,12,2,4
densenet121_classification,densenet121_classification,densenet121_classification.h5,True,srpr,_DenseBlock-4,False,12,4,4
densenet121_classification,densenet121_classification,densenet121_classification.h5,True,wrsa,_DenseBlock-4,False,12,2,4
googlenet_classification,googlenet_classification,googlenet_classification.h5,True,crsa,MaxPool2d-13,False,12,4,4
googlenet_classification,googlenet_classification,googlenet_classification.h5,True,srpr,MaxPool2d-13,False,12,3,4
googlenet_classification,googlenet_classification,googlenet_classification.h5,True,wrsa,MaxPool2d-13,False,12,3,4
shufflenet_v2_x1_0_classification,shufflenet_v2_x1_0_classification,shufflenet_v2_x1_0_classification.h5,True,crsa,BatchNorm2d-49,False,12,4,4
shufflenet_v2_x1_0_classification,shufflenet_v2_x1_0_classification,shufflenet_v2_x1_0_classification.h5,True,srpr,BatchNorm2d-54,False,12,2,4
shufflenet_v2_x1_0_classification,shufflenet_v2_x1_0_classification,shufflenet_v2_x1_0_classification.h5,True,wrsa,Conv2d-55,False,12,1,4
mobilenet_v2_classification,mobilenet_v2_classification,mobilenet_v2_classification.h5,True,crsa,BatchNorm2d-50,False,12,4,4
mobilenet_v2_classification,mobilenet_v2_classification,mobilenet_v2_classification.h5,True,srpr,BatchNorm2d-50,False,12,4,4
mobilenet_v2_classification,mobilenet_v2_classification,mobilenet_v2_classification.h5,True,wrsa,BatchNorm2d-50,False,12,2,4
mnasnet1_0_classification,mnasnet1_0_classification,mnasnet1_0_classification.h5,True,crsa,BatchNorm2d-47,False,12,3,4
mnasnet1_0_classification,mnasnet1_0_classification,mnasnet1_0_classification.h5,True,srpr,Conv2d-44,False,12,2,4
mnasnet1_0_classification,mnasnet1_0_classification,mnasnet1_0_classification.h5,True,wrsa,Conv2d-47,False,12,2,4
coat_lite_tiny_classification,coat_lite_tiny_classification,coat_lite_tiny_classification.h5,True,crsa,LayerNorm-18,False,11,4,4
coat_lite_tiny_classification,coat_lite_tiny_classification,coat_lite_tiny_classification.h5,True,srpr,ConvPosEnc-19,False,11,3,4
coat_lite_tiny_classification,coat_lite_tiny_classification,coat_lite_tiny_classification.h5,True,wrsa,LayerNorm-18,False,11,2,4
convnext_base_classification,convnext_base_classification,convnext_base_classification.h5,True,crsa,Conv2d-22,False,12,4,4
convnext_base_classification,convnext_base_classification,convnext_base_classification.h5,True,srpr,Conv2d-22,False,12,3,4
convnext_base_classification,convnext_base_classification,convnext_base_classification.h5,True,wrsa,Conv2d-27,False,12,4,4
convnext_large_classification,convnext_large_classification,convnext_large_classification.h5,True,crsa,Conv2d-24,False,12,4,4
convnext_large_classification,convnext_large_classification,convnext_large_classification.h5,True,srpr,Conv2d-25,False,12,3,4
convnext_large_classification,convnext_large_classification,convnext_large_classification.h5,True,wrsa,Conv2d-25,False,12,3,4
crossvit_base_240_classification,crossvit_base_240_classification,crossvit_base_240_classification.h5,True,crsa,GELU-16,False,12,2,4
crossvit_base_240_classification,crossvit_base_240_classification,crossvit_base_240_classification.h5,True,srpr,LayerNorm-28,True,12,3,4
crossvit_base_240_classification,crossvit_base_240_classification,crossvit_base_240_classification.h5,True,wrsa,LayerNorm-28,True,12,4,4
deit_base_patch16_224_classification,deit_base_patch16_224_classification,deit_base_patch16_224_classification.h5,True,crsa,Linear-30,True,11,3,4
deit_base_patch16_224_classification,deit_base_patch16_224_classification,deit_base_patch16_224_classification.h5,True,srpr,LayerNorm-18,False,11,2,4
deit_base_patch16_224_classification,deit_base_patch16_224_classification,deit_base_patch16_224_classification.h5,True,wrsa,Linear-37,True,11,2,4
cspresnet50_classification,cspresnet50_classification,cspresnet50_classification.h5,True,crsa,Conv2d-49,False,12,4,4
cspresnet50_classification,cspresnet50_classification,cspresnet50_classification.h5,True,srpr,Conv2d-49,False,12,3,4
cspresnet50_classification,cspresnet50_classification,cspresnet50_classification.h5,True,wrsa,Conv2d-49,False,12,4,4
dla34_classification,dla34_classification,dla34_classification.h5,True,crsa,BatchNorm2d-35,False,13,4,4
dla34_classification,dla34_classification,dla34_classification.h5,True,srpr,Conv2d-35,False,13,3,4
dla34_classification,dla34_classification,dla34_classification.h5,True,wrsa,Conv2d-34,False,13,3,4
eca_nfnet_l0_classification,eca_nfnet_l0_classification,eca_nfnet_l0_classification.h5,True,crsa,Sigmoid-10,False,11,3,4
eca_nfnet_l0_classification,eca_nfnet_l0_classification,eca_nfnet_l0_classification.h5,True,srpr,ScaledStdConv2d-47,False,11,2,4
eca_nfnet_l0_classification,eca_nfnet_l0_classification,eca_nfnet_l0_classification.h5,True,wrsa,Conv1d-7,False,11,1,4
efficientnet_b1_classification,efficientnet_b1_classification,efficientnet_b1_classification.h5,True,crsa,SiLU-47,False,12,4,4
efficientnet_b1_classification,efficientnet_b1_classification,efficientnet_b1_classification.h5,True,srpr,Identity-100,False,12,2,4
efficientnet_b1_classification,efficientnet_b1_classification,efficientnet_b1_classification.h5,True,wrsa,SiLU-58,False,12,3,4
efficientnet_b3_classification,efficientnet_b3_classification,efficientnet_b3_classification.h5,True,crsa,SiLU-68,False,11,4,4
efficientnet_b3_classification,efficientnet_b3_classification,efficientnet_b3_classification.h5,True,srpr,Identity-110,False,11,2,4
efficientnet_b3_classification,efficientnet_b3_classification,efficientnet_b3_classification.h5,True,wrsa,Identity-105,False,11,2,4
ghostnet_100_classification,ghostnet_100_classification,ghostnet_100_classification.h5,True,crsa,ReLU-30,False,11,3,4
ghostnet_100_classification,ghostnet_100_classification,ghostnet_100_classification.h5,True,srpr,Hardsigmoid-6,False,11,2,4
ghostnet_100_classification,ghostnet_100_classification,ghostnet_100_classification.h5,True,wrsa,Conv2d-89,False,11,2,4
gmixer_24_224_classification,gmixer_24_224_classification,gmixer_24_224_classification.h5,True,crsa,Linear-75,False,11,4,4
gmixer_24_224_classification,gmixer_24_224_classification,gmixer_24_224_classification.h5,True,srpr,SiLU-38,False,11,2,4
gmixer_24_224_classification,gmixer_24_224_classification,gmixer_24_224_classification.h5,True,wrsa,SiLU-43,False,11,1,4
gmlp_s16_224_classification,gmlp_s16_224_classification,gmlp_s16_224_classification.h5,True,crsa,LayerNorm-50,False,12,4,4
gmlp_s16_224_classification,gmlp_s16_224_classification,gmlp_s16_224_classification.h5,True,srpr,GELU-23,False,12,3,4
gmlp_s16_224_classification,gmlp_s16_224_classification,gmlp_s16_224_classification.h5,True,wrsa,Linear-65,False,12,2,4
hardcorenas_a_classification,hardcorenas_a_classification,hardcorenas_a_classification.h5,True,crsa,Conv2d-47,True,12,3,4
hardcorenas_a_classification,hardcorenas_a_classification,hardcorenas_a_classification.h5,True,srpr,Identity-49,False,12,2,4
hardcorenas_a_classification,hardcorenas_a_classification,hardcorenas_a_classification.h5,True,wrsa,Hardswish-13,False,12,2,4
hardcorenas_f_classification,hardcorenas_f_classification,hardcorenas_f_classification.h5,True,crsa,ReLU-21,True,11,4,4
hardcorenas_f_classification,hardcorenas_f_classification,hardcorenas_f_classification.h5,True,srpr,Hardsigmoid-14,False,11,2,4
hardcorenas_f_classification,hardcorenas_f_classification,hardcorenas_f_classification.h5,True,wrsa,SqueezeExcite-14,False,11,2,4
jx_nest_tiny_classification,jx_nest_tiny_classification,jx_nest_tiny_classification.h5,True,crsa,LayerNorm-20,False,12,2,4
jx_nest_tiny_classification,jx_nest_tiny_classification,jx_nest_tiny_classification.h5,True,srpr,Linear-35,False,12,2,4
jx_nest_tiny_classification,jx_nest_tiny_classification,jx_nest_tiny_classification.h5,True,wrsa,LayerNorm-20,False,12,3,4
levit_128_classification,levit_128_classification,levit_128_classification.h5,True,crsa,Linear-43,False,12,4,4
levit_128_classification,levit_128_classification,levit_128_classification.h5,True,srpr,Linear-43,False,12,4,4
levit_128_classification,levit_128_classification,levit_128_classification.h5,True,wrsa,Linear-43,False,12,3,4
inception_v3_classification,inception_v3_classification,inception_v3_classification.h5,True,crsa,BatchNorm2d-82,False,12,4,4
inception_v3_classification,inception_v3_classification,inception_v3_classification.h5,True,srpr,InceptionD-1,False,12,3,4
inception_v3_classification,inception_v3_classification,inception_v3_classification.h5,True,wrsa,Conv2d-161,False,12,2,4
mobilenetv3_large_100_classification,mobilenetv3_large_100_classification,mobilenetv3_large_100_classification.h5,True,crsa,ReLU-17,False,12,2,4
mobilenetv3_large_100_classification,mobilenetv3_large_100_classification,mobilenetv3_large_100_classification.h5,True,srpr,Identity-74,False,12,2,4
mobilenetv3_large_100_classification,mobilenetv3_large_100_classification,mobilenetv3_large_100_classification.h5,True,wrsa,AdaptiveAvgPool2d-1,False,12,2,4
nf_resnet50_classification,nf_resnet50_classification,nf_resnet50_classification.h5,True,crsa,ScaledStdConv2d-48,False,12,4,4
nf_resnet50_classification,nf_resnet50_classification,nf_resnet50_classification.h5,True,srpr,ScaledStdConv2d-49,True,12,4,4
nf_resnet50_classification,nf_resnet50_classification,nf_resnet50_classification.h5,True,wrsa,ScaledStdConv2d-49,True,12,3,4
nfnet_l0_classification,nfnet_l0_classification,nfnet_l0_classification.h5,True,crsa,Conv2d-61,False,12,4,4
nfnet_l0_classification,nfnet_l0_classification,nfnet_l0_classification.h5,True,srpr,AvgPool2d-3,False,12,2,4
nfnet_l0_classification,nfnet_l0_classification,nfnet_l0_classification.h5,True,wrsa,AvgPool2d-3,False,12,2,4
pit_b_224_classification,pit_b_224_classification,pit_b_224_classification.h5,True,crsa,LayerNorm-20,False,13,3,4
pit_b_224_classification,pit_b_224_classification,pit_b_224_classification.h5,True,srpr,Linear-39,False,13,4,4
pit_b_224_classification,pit_b_224_classification,pit_b_224_classification.h5,True,wrsa,Conv2d-3,False,13,3,4
pit_ti_224_classification,pit_ti_224_classification,pit_ti_224_classification.h5,True,crsa,Linear-36,False,12,4,4
pit_ti_224_classification,pit_ti_224_classification,pit_ti_224_classification.h5,True,srpr,Linear-39,False,12,2,4
pit_ti_224_classification,pit_ti_224_classification,pit_ti_224_classification.h5,True,wrsa,Linear-43,False,12,2,4
poolformer_s36_classification,poolformer_s36_classification,poolformer_s36_classification.h5,True,crsa,GroupNorm1-62,False,12,4,4
poolformer_s36_classification,poolformer_s36_classification,poolformer_s36_classification.h5,True,srpr,AvgPool2d-30,False,12,2,4
poolformer_s36_classification,poolformer_s36_classification,poolformer_s36_classification.h5,True,wrsa,AvgPool2d-31,False,12,1,4
regnetx_064_classification,regnetx_064_classification,regnetx_064_classification.h5,True,crsa,Identity-82,False,12,4,4
regnetx_064_classification,regnetx_064_classification,regnetx_064_classification.h5,True,srpr,Conv2d-50,True,12,2,4
regnetx_064_classification,regnetx_064_classification,regnetx_064_classification.h5,True,wrsa,Conv2d-48,False,12,4,4
regnety_064_classification,regnety_064_classification,regnety_064_classification.h5,True,crsa,ReLU-67,True,11,4,4
regnety_064_classification,regnety_064_classification,regnety_064_classification.h5,True,srpr,Conv2d-86,False,11,2,4
regnety_064_classification,regnety_064_classification,regnety_064_classification.h5,True,wrsa,Conv2d-96,False,11,2,4
semnasnet_100_classification,semnasnet_100_classification,semnasnet_100_classification.h5,True,crsa,ReLU-35,False,12,4,4
semnasnet_100_classification,semnasnet_100_classification,semnasnet_100_classification.h5,True,srpr,Conv2d-58,False,12,2,4
semnasnet_100_classification,semnasnet_100_classification,semnasnet_100_classification.h5,True,wrsa,SqueezeExcite-8,False,12,2,4
seresnext50_32x4d_classification,seresnext50_32x4d_classification,seresnext50_32x4d_classification.h5,True,crsa,ReLU-52,False,12,4,4
seresnext50_32x4d_classification,seresnext50_32x4d_classification,seresnext50_32x4d_classification.h5,True,srpr,Conv2d-77,False,12,2,4
seresnext50_32x4d_classification,seresnext50_32x4d_classification,seresnext50_32x4d_classification.h5,True,wrsa,Sigmoid-13,False,12,2,4
skresnext50_32x4d_classification,skresnext50_32x4d_classification,skresnext50_32x4d_classification.h5,True,crsa,ReLU-74,False,12,2,4
skresnext50_32x4d_classification,skresnext50_32x4d_classification,skresnext50_32x4d_classification.h5,True,srpr,Identity-102,False,12,1,4
skresnext50_32x4d_classification,skresnext50_32x4d_classification,skresnext50_32x4d_classification.h5,True,wrsa,ReLU-58,False,12,2,4
swin_base_patch4_window7_224_classification,swin_base_patch4_window7_224_classification,swin_base_patch4_window7_224_classification.h5,True,crsa,DropPath-27,False,11,2,4
