feature_stem,deepnsd_model_string,model,metric,n_colin_layers,n_our_layers_matching_colin,colin_min_test,colin_median_test,colin_max_test,colin_range_test,colin_iqr_test,colin_best_layer,colin_best_layer_depth,our_best_matching_layer,our_best_matching_layer_depth,our_best_matching_test,our_worst_matching_test,our_gap_from_colin_best,our_best_rank_among_colin_layers,our_best_percentile_among_colin_layers,our_covers_colin_best_layer
inception_v3_classification,inception_v3_classification,inception_v3,crsa,149,3,0.09603463735646665,0.22843418250069425,0.41662029072015333,0.32058565336368666,0.10219107131504729,BatchNorm2d-82,0.8533333333333334,InceptionE-1,0.89,0.3136725387036027,0.20855001674597148,0.10294775201655065,16,89.93288590604027,False
xcit_nano_12_p16_224_classification,xcit_nano_12_p16_224_classification,xcit_nano_12_p16_224,crsa,128,11,0.03528982889507917,0.19346559321768989,0.3924539153367715,0.3571640864416923,0.12858944586845614,Dropout-38,,LayerNorm-22,,0.29446432497893127,0.06833582109604158,0.09798959035784022,15,89.0625,False
seresnext50_32x4d_classification,seresnext50_32x4d_classification,seresnext50_32x4d,crsa,119,12,-0.002621915642264311,0.20416265807745645,0.3836315200195865,0.38625343566185083,0.0892218123891064,ReLU-52,0.7836065573770492,Conv2d-64,0.7278688524590164,0.2919844284966305,0.14782867228364938,0.09164709152295603,13,89.91596638655463,False
pit_ti_224_classification,pit_ti_224_classification,pit_ti_224,crsa,59,11,0.028631098820884108,0.237746854252201,0.3943883629501176,0.3657572641292335,0.06980113157524986,Linear-36,0.690677966101695,LayerNorm-20,0.788135593220339,0.31004309471431307,0.1452264255027498,0.08434526823580452,7,89.83050847457628,False
xcit_nano_12_p8_224_classification,xcit_nano_12_p8_224_classification,xcit_nano_12_p8_224,crsa,126,11,0.020574636998727632,0.16866016611740986,0.37940871997556913,0.3588340829768415,0.13583579488330527,Dropout-42,,LayerNorm-31,,0.29901226744056275,0.07730060033589674,0.08039645253500638,9,93.65079365079364,False
ghostnet_100_classification,ghostnet_100_classification,ghostnet_100,crsa,141,11,0.09505174823723701,0.2425578513736572,0.4128913463304723,0.3178395980932353,0.10971557598936435,ReLU-35,0.8153310104529616,Hardsigmoid-7,0.9303135888501742,0.3387320217846705,0.09505174823723701,0.07415932454580182,14,90.78014184397163,False
vit_base_patch32_224_classification,vit_base_patch32_224_classification,vit_base_patch32_224,crsa,57,11,0.008945077943910001,0.21956462254153342,0.3851809521157942,0.3762358741718842,0.14939720870065432,LayerNorm-25,0.9822222222222222,LayerNorm-23,0.9022222222222224,0.3134343641756253,0.06877306452990176,0.07174658794016886,6,91.22807017543859,False
poolformer_s36_classification,poolformer_s36_classification,poolformer_s36,crsa,183,8,0.015828798694891785,0.20966080297600267,0.3636489765994003,0.34782017790450853,0.17468897982172682,GroupNorm1-62,0.8426501035196687,GroupNorm1-55,0.7474120082815735,0.291953992397672,0.0459146905491698,0.07169498420172832,21,89.07103825136612,False
eca_nfnet_l0_classification,eca_nfnet_l0_classification,eca_nfnet_l0,crsa,85,10,0.04891878180566732,0.2755634696620343,0.4140025487093104,0.3650837669036431,0.07943605190293385,Sigmoid-10,0.7934782608695652,ScaledStdConv2d-34,0.5434782608695652,0.3485572569551545,0.04891878180566732,0.06544529175415592,5,95.29411764705881,False
levit_128_classification,levit_128_classification,levit_128,crsa,72,3,0.049729130345582934,0.2524955715427971,0.4247575051876609,0.37502837484207796,0.15541078850275247,Linear-43,,LevitDistilled-1,,0.36060357356066475,0.1258505476627003,0.06415393162699617,9,88.88888888888889,False
densenet121_classification,densenet121_classification,densenet121,crsa,185,12,0.059324020307699114,0.20764484893828136,0.3704162067506513,0.31109218644295217,0.11822720293397779,BatchNorm2d-103,0.8461538461538461,ReLU-96,0.7902097902097902,0.30859032974892775,0.16543615224967914,0.06182587700172354,39,79.45945945945945,False
ViT-S-SimCLR_slip,ViT-S-SimCLR_slip,ViT-S-SimCLR,crsa,57,13,0.04960723248573255,0.21058290062534774,0.3394534701632351,0.28984623767750256,0.10189730404833755,Linear-38,0.7555555555555555,Linear-39,0.7822222222222223,0.27897626095230105,0.08934741286633949,0.06047720921093408,4,94.73684210526315,False
mobilenet_v2_classification,mobilenet_v2_classification,mobilenet_v2,crsa,76,12,0.06604301120864478,0.15979744754483916,0.35782048248245324,0.2917774712738085,0.07846030510136619,BatchNorm2d-50,0.9371069182389936,Linear-1,0.9937106918238994,0.301270253469751,0.0694227812358286,0.056550229012702236,6,93.42105263157895,False
visformer_small_classification,visformer_small_classification,visformer_small,crsa,68,11,0.056484888209830705,0.20996267939472296,0.3341008047615023,0.27761591655167156,0.08793323296030453,Conv2d-38,0.6194690265486725,BatchNorm2d-22,0.7654867256637168,0.2795832469777962,0.1286152048311139,0.054517557783706094,6,92.64705882352942,False
ViT-B-SimCLR_slip,ViT-B-SimCLR_slip,ViT-B-SimCLR,crsa,57,13,0.04478531306615781,0.22482351259248007,0.34117280277763135,0.29638748971147355,0.08502688516875806,Linear-38,0.7555555555555555,Linear-39,0.7822222222222223,0.28865953911417425,0.13655853251960798,0.0525132636634571,6,91.22807017543859,False
mixer_b16_224_classification,mixer_b16_224_classification,mixer_b16_224,crsa,55,11,0.11455275935196198,0.19607977916592886,0.34887432018768494,0.23432156083572298,0.0794496550454468,Linear-39,0.7904761904761904,LayerNorm-22,0.8666666666666667,0.2971158996103035,0.12100307532620343,0.05175842057738145,6,90.9090909090909,False
cspresnet50_classification,cspresnet50_classification,cspresnet50,crsa,82,12,0.16193110881840983,0.2291495294999807,0.3996767589566534,0.23774565013824356,0.08745683494758777,Conv2d-49,0.8541033434650456,Conv2d-52,0.9088145896656536,0.3479873680529333,0.1732112927799167,0.0516893909037201,5,95.1219512195122,False
nfnet_l0_classification,nfnet_l0_classification,nfnet_l0,crsa,95,11,0.1139558502399997,0.2874009659179141,0.4227186249390292,0.30876277469902946,0.07827959477072705,ReLU-9,0.7045454545454546,Conv2d-55,0.6363636363636364,0.37133439663283707,0.18030710684756102,0.0513842283061921,10,90.52631578947368,False
ViT-S-SLIP_slip,ViT-S-SLIP_slip,ViT-S-SLIP,crsa,57,13,0.061070477508217855,0.2264707562071348,0.33184672521804764,0.2707762477098298,0.07558636228998156,Linear-38,0.7555555555555555,Linear-35,0.7022222222222222,0.2812207345752932,0.1504013097862878,0.05062599064275447,7,89.47368421052632,False
skresnext50_32x4d_classification,skresnext50_32x4d_classification,skresnext50_32x4d,crsa,151,12,0.007401981130827171,0.22176243820690483,0.37181196189814997,0.3644099807673228,0.08561113998959063,ReLU-74,0.89738430583501,SelectiveKernelAttn-12,0.7283702213279678,0.3213560288716699,0.11871490051577638,0.05045593302648005,9,94.70198675496688,False
vit_base_patch16_224_classification,vit_base_patch16_224_classification,vit_base_patch16_224,crsa,57,11,0.02824270787747641,0.20939495884392179,0.3187198787746647,0.2904771708971883,0.1474896079363538,LayerNorm-25,0.9822222222222222,LayerNorm-23,0.9022222222222224,0.268465370952079,0.08588550955788939,0.05025450782258567,6,91.22807017543859,False
vit_base_patch16_224_in21k_classification,vit_base_patch16_224_in21k_classification,vit_base_patch16_224_in21k,crsa,57,11,0.020218678234694185,0.19113168978978093,0.3221481638935231,0.3019294856588289,0.12721749277434904,LayerNorm-25,0.9822222222222222,Linear-49,0.9955555555555556,0.27779652917034237,0.09468493055714666,0.04435163472318071,6,91.22807017543859,False
convnext_large_classification,convnext_large_classification,convnext_large,crsa,132,12,0.035981720785938864,0.11674495755935005,0.2467797708646116,0.21079805007867272,0.09611372693999506,Conv2d-25,0.5759162303664922,Linear-47,0.6335078534031413,0.2039417215640867,0.051853747345710514,0.0428380493005249,14,90.15151515151516,False
resnet152_classification,resnet152_classification,resnet152,crsa,232,12,0.09197592047555525,0.20531074671511906,0.35638040317181396,0.2644044826962587,0.07169443682410251,BatchNorm2d-114,0.7281553398058253,AdaptiveAvgPool2d-1,0.996116504854369,0.31385655489590725,0.1010642938479941,0.04252384827590672,8,96.98275862068965,False
vit_tiny_patch16_224_classification,vit_tiny_patch16_224_classification,vit_tiny_patch16_224,crsa,57,11,0.012273364501855802,0.17743398321532436,0.29278723509272897,0.2805138705908732,0.1257406568675726,Identity-50,0.9866666666666668,Linear-49,0.9955555555555556,0.2503667347973012,0.016262223390529715,0.042420500295427765,2,98.24561403508771,False
vit_base_patch32_224_in21k_classification,vit_base_patch32_224_in21k_classification,vit_base_patch32_224_in21k,crsa,57,11,0.012251442365559983,0.20760676623135824,0.3644069705993555,0.35215552823379553,0.15621834392768907,LayerNorm-25,0.9822222222222222,LayerNorm-23,0.9022222222222224,0.3225761636258175,0.0806473904020181,0.041830806973538026,4,94.73684210526315,False
swin_tiny_patch4_window7_224_classification,swin_tiny_patch4_window7_224_classification,swin_tiny_patch4_window7_224,crsa,50,11,0.01920719851313091,0.2066761044303117,0.31528159412293505,0.29607439560980414,0.15394844038098088,LayerNorm-26,,Linear-44,,0.2752983631590551,0.027695415001574943,0.03998323096387996,4,94.0,False
convnext_base_classification,convnext_base_classification,convnext_base,crsa,132,12,0.03134978730011387,0.11652551395845734,0.30039504898002567,0.26904526167991183,0.1142689980618081,Conv2d-24,0.5497382198952879,Linear-47,0.6335078534031413,0.2605838968361232,0.0473323963898448,0.03981115214390246,7,95.45454545454545,False
ResNet50-JigSaw-P100_selfsupervised,ResNet50-JigSaw-P100_selfsupervised,ResNet50-JigSaw-P100,crsa,79,13,0.012268013409939535,0.17939782136387056,0.26722026469725363,0.2549522512873141,0.08411991790229645,Conv2d-42,0.7657142857142857,ReLU-38,0.76,0.2277950813508343,0.03902913531981191,0.03942518334641934,8,91.13924050632912,False
mnasnet1_0_classification,mnasnet1_0_classification,mnasnet1_0,crsa,76,12,0.13782079230118985,0.255511253658977,0.3742150715825536,0.23639427928136378,0.13238239044504796,BatchNorm2d-47,0.879746835443038,BatchNorm2d-44,0.8227848101265823,0.33558750489218947,0.14314372251927848,0.03862756669036416,4,96.05263157894737,False
regnetx_064_classification,regnetx_064_classification,regnetx_064,crsa,83,12,0.06531959927014161,0.23700979431765715,0.31881052158147216,0.2534909223113305,0.04322649862236261,AdaptiveAvgPool2d-1,0.9839142091152816,Linear-1,0.9919571045576407,0.28032718260248884,0.17914672680273944,0.03848333897898332,7,92.7710843373494,False
ViT-B-SLIP_slip,ViT-B-SLIP_slip,ViT-B-SLIP,crsa,57,13,0.05365640765925599,0.23497894655851917,0.3345951989555386,0.2809387912962826,0.08359498825509909,Identity-50,0.9866666666666668,Linear-31,0.6222222222222222,0.2962449444377362,0.14539385096317148,0.038350254517802385,4,94.73684210526315,False
gmlp_s16_224_classification,gmlp_s16_224_classification,gmlp_s16_224,crsa,122,12,0.0568249984538028,0.2788871081158622,0.40204637153641426,0.34522137308261147,0.06772025858095432,LayerNorm-50,0.8087431693989071,Linear-68,0.7459016393442623,0.364273968535204,0.12085368160553145,0.037772403001210264,4,97.54098360655738,False
crossvit_base_240_classification,crossvit_base_240_classification,crossvit_base_240,crsa,98,9,0.005669978605393538,0.14662345353798784,0.3155272053733819,0.3098572267679884,0.14772746580811152,Linear-50,0.5378590078328982,LayerNorm-28,0.5848563968668408,0.27918883785643533,0.03289194990099305,0.03633836751694658,6,94.89795918367348,False
dla34_classification,dla34_classification,dla34,crsa,57,13,0.09624418395784631,0.2550821397732606,0.3587585792613428,0.2625143953034965,0.07541385103201773,BatchNorm2d-35,0.8940397350993378,ReLU-30,0.8741721854304636,0.32412548016782883,0.09624418395784631,0.034633099093513975,3,96.49122807017544,False
convnext_large_in22k_classification,convnext_large_in22k_classification,convnext_large_in22k,crsa,132,12,0.005880717380136207,0.19636126122464062,0.3547246839222055,0.34884396654206934,0.16381556626792515,Conv2d-26,0.6020942408376964,Linear-73,0.9973821989528796,0.32060833063105465,0.028935706338763648,0.03411635329115087,4,97.72727272727273,False
vit_small_patch16_224_in21k_classification,vit_small_patch16_224_in21k_classification,vit_small_patch16_224_in21k,crsa,57,11,0.016740636974404588,0.21283187830199188,0.3192119534977363,0.3024713165233317,0.09809920188024435,Identity-50,0.9866666666666668,LayerNorm-22,0.8577777777777778,0.28629590294441287,0.05522035585186056,0.03291605055332342,4,94.73684210526315,False
ViT-L-SimCLR_slip,ViT-L-SimCLR_slip,ViT-L-SimCLR,crsa,111,12,0.01782471829378406,0.21638830409475868,0.33763261837215974,0.3198079000783757,0.09531212894846083,Linear-66,0.671201814058957,Linear-76,0.7732426303854876,0.3062271358469562,0.12653239807440164,0.03140548252520353,6,95.4954954954955,False
semnasnet_100_classification,semnasnet_100_classification,semnasnet_100,crsa,90,12,0.1063299655726756,0.2628675421151018,0.40497048424216414,0.29864051866948854,0.09860744537286398,ReLU-35,0.8138686131386861,SqueezeExcite-7,0.8248175182481752,0.3736586650309467,0.1622332251496475,0.03131181921121745,2,98.88888888888889,False
resnet18_classification,resnet18_classification,resnet18,crsa,30,11,0.11255607744597318,0.20079215926943061,0.32767260658621644,0.21511652914024326,0.1382427840439983,AdaptiveAvgPool2d-1,0.9710144927536232,ReLU-15,0.8405797101449275,0.29823329952580624,0.1130262057542596,0.029439307060410203,5,86.66666666666667,False
resmlp_big_24_224_classification,resmlp_big_24_224_classification,resmlp_big_24_224,crsa,110,12,0.0189673524168032,0.2773714298741441,0.366917075712378,0.34794972329557483,0.09938413479919733,Identity-36,0.7142857142857143,ResBlock-19,0.7857142857142857,0.33815746918481754,0.021478267576768635,0.02875960652756049,8,93.63636363636364,False
efficientnet_b1_classification,efficientnet_b1_classification,efficientnet_b1,crsa,159,12,0.11110848635432712,0.2471455794593318,0.42237028908475177,0.31126180273042464,0.10735236698025691,SiLU-47,0.6574712643678161,SiLU-53,0.7425287356321839,0.394565406192257,0.11110848635432712,0.027804882892494776,7,96.22641509433963,False
class_object_taskonomy,class_object_taskonomy,class_object,crsa,81,11,0.12112312845329404,0.1489749745464281,0.18923916050676023,0.0681160320534662,0.02018698673648628,BatchNorm2d-46,0.8379888268156425,Conv2d-44,0.7988826815642458,0.16371577962047956,0.1330703493466782,0.025523380886280672,13,85.18518518518519,False
tnt_s_patch16_224_classification,tnt_s_patch16_224_classification,tnt_s_patch16_224,crsa,70,8,0.014711225383095808,0.2186343299395319,0.3056037137348007,0.2908924883517049,0.12240916678148686,LayerNorm-47,,Linear-76,,0.2804338325011645,0.03392559867335271,0.025169881233636227,9,88.57142857142857,False
vit_small_patch32_224_in21k_classification,vit_small_patch32_224_in21k_classification,vit_small_patch32_224_in21k,crsa,57,11,0.008834688351501984,0.19610088257962177,0.30184389413596413,0.29300920578446216,0.12372761677071564,LayerNorm-24,0.9377777777777778,LayerNorm-22,0.8577777777777778,0.27838243558346354,0.13134583620469528,0.02346145855250059,2,98.24561403508771,False
mixer_b16_224_in21k_classification,mixer_b16_224_in21k_classification,mixer_b16_224_in21k,crsa,62,12,0.020384513360919294,0.08287903206395275,0.2686495253344601,0.24826501197354084,0.08404443475892398,LayerNorm-18,0.7047619047619048,Linear-49,0.9952380952380953,0.24752215161680893,0.03371527698348564,0.021127373717651193,3,96.7741935483871,False
resnet101_classification,resnet101_classification,resnet101,crsa,156,12,0.1149893288284494,0.19685015769645672,0.3425518518067811,0.2275625229783317,0.07123566254468194,BatchNorm2d-100,0.9478260869565216,ReLU-94,0.9304347826086956,0.32154332874667696,0.13271079749491232,0.021008523060104145,5,97.43589743589743,False
coat_lite_tiny_classification,coat_lite_tiny_classification,coat_lite_tiny,crsa,61,11,0.0365271986620008,0.2115906244404201,0.3229031240634886,0.2863759254014878,0.06421154263832046,LayerNorm-18,0.8422939068100358,Conv2d-83,0.7956989247311828,0.3022175460482921,0.14812634052745036,0.020685578015196493,3,96.72131147540983,False
