feature_stem,deepnsd_model_string,model,metric,subj_id,n_colin_layers,n_our_layers_matching_colin,full_train_selected_layer,full_train_selected_layer_depth,full_train_selected_train,full_train_selected_test,our_train_selected_layer,our_train_selected_layer_depth,our_train_selected_train,our_train_selected_test,test_gap_full_minus_our,same_layer,our_layer_test_rank_among_colin_layers,our_layer_test_percentile_among_colin_layers,colin_test_min,colin_test_median,colin_test_max
ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048,crsa,1,79,13,Conv2d-49,0.8914285714285715,0.37356243100619113,0.359126542255637,Conv2d-49,0.8914285714285715,0.37356243100619113,0.359126542255637,0.0,True,1,100.0,0.06040587801765626,0.19557838200840783,0.359126542255637
ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048,crsa,2,75,10,Conv2d-49,0.8914285714285715,0.41101804037646755,0.384106896295006,Conv2d-49,0.8914285714285715,0.41101804037646755,0.384106896295006,0.0,True,1,100.0,0.06023886104486659,0.19376949704110286,0.384106896295006
ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048,crsa,5,79,13,Conv2d-49,0.8914285714285715,0.38728369156475073,0.37861660954225107,Conv2d-49,0.8914285714285715,0.38728369156475073,0.37861660954225107,0.0,True,1,100.0,0.0666126272725265,0.18418548340176655,0.37861660954225107
ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048,crsa,7,79,13,Conv2d-49,0.8914285714285715,0.3594828034149277,0.34634194461774676,Conv2d-49,0.8914285714285715,0.3594828034149277,0.34634194461774676,0.0,True,1,100.0,0.05907594592466176,0.19497043917544513,0.34634194461774676
ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048,srpr,1,79,13,Conv2d-52,0.9485714285714286,0.36044866457968333,0.3537542926697291,Conv2d-49,0.8914285714285715,0.36017756372152343,0.36266239676550055,-0.008908104095771474,False,1,100.0,0.22812539314335858,0.30898031227389094,0.36266239676550055
ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048,srpr,2,79,13,BatchNorm2d-49,0.8971428571428571,0.40171254679353036,0.4022606878414449,Conv2d-49,0.8914285714285715,0.401311414283736,0.40302597338976565,-0.0007652855483207266,False,1,100.0,0.26032146433058384,0.34814646954949846,0.40302597338976565
ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048,srpr,5,79,13,Conv2d-49,0.8914285714285715,0.40709602643115944,0.41318367954301455,Conv2d-49,0.8914285714285715,0.40709602643115944,0.41318367954301455,0.0,True,2,98.73417721518987,0.2586080734246336,0.3452927320894863,0.41464962709391134
ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048,srpr,7,79,13,BatchNorm2d-49,0.8971428571428571,0.33111531955789053,0.3378116180642883,Conv2d-49,0.8914285714285715,0.33052933756496505,0.33940225833747467,-0.0015906402731863944,False,1,100.0,0.21876886384088928,0.29184027752512554,0.33940225833747467
ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048,wrsa,1,79,13,Conv2d-52,0.9485714285714286,0.7095356961814471,0.6720724221110174,AdaptiveAvgPool2d-1,0.9885714285714284,0.7074607369424576,0.6633574537304608,0.00871496838055652,False,7,92.40506329113924,0.3066123077499754,0.5279401598719183,0.6720724221110174
ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048,wrsa,2,76,12,Conv2d-52,0.9485714285714286,0.7459423595345619,0.6906097191407721,Conv2d-49,0.8914285714285715,0.7419470800335083,0.6998712976895224,-0.009261578548750315,False,1,100.0,0.3248638742877026,0.5545365662290969,0.6998712976895224
ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048,wrsa,5,79,13,AdaptiveAvgPool2d-1,0.9885714285714284,0.738235386273535,0.7353533814871832,AdaptiveAvgPool2d-1,0.9885714285714284,0.738235386273535,0.7353533814871832,0.0,True,1,100.0,0.3408980080750384,0.5583769976970857,0.7353533814871832
ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048,wrsa,7,79,13,Conv2d-52,0.9485714285714286,0.6353583116355683,0.6185823520643448,AdaptiveAvgPool2d-1,0.9885714285714284,0.6276290944399969,0.6033005194643123,0.015281832600032463,False,8,91.13924050632912,0.30339642849422094,0.4882430128751278,0.6185823520643448
ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet,crsa,1,79,13,Conv2d-52,0.9485714285714286,0.33033542162587015,0.32695599959565164,BatchNorm2d-51,0.9371428571428572,0.31281453253327396,0.30642906470710407,0.020526934888547566,False,6,93.67088607594937,0.0804797570654781,0.16769157859616196,0.32695599959565164
ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet,crsa,2,79,13,Conv2d-52,0.9485714285714286,0.3433814637348394,0.33031006731777274,Conv2d-49,0.8914285714285715,0.3307953266833109,0.3209378629169636,0.009372204400809159,False,3,97.46835443037975,0.07399125339785832,0.16509515932133492,0.33031006731777274
ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet,crsa,5,79,13,Conv2d-52,0.9485714285714286,0.33472876079371594,0.33753351865891223,AdaptiveAvgPool2d-1,0.9885714285714284,0.3226816973309868,0.3337940628560891,0.003739455802823144,False,2,98.73417721518987,0.06615605667764782,0.15993808144605393,0.33753351865891223
ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet,crsa,7,79,13,Conv2d-52,0.9485714285714286,0.3232767384662097,0.31019829374708996,BatchNorm2d-51,0.9371428571428572,0.3042632668999009,0.2914616505628059,0.018736643184284085,False,9,89.87341772151899,0.08922594656988518,0.173794888614426,0.31019829374708996
ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet,srpr,1,79,13,Conv2d-51,0.9314285714285714,0.3334209043013421,0.33459249253168,BatchNorm2d-51,0.9371428571428572,0.33278470658030773,0.334384112589939,0.00020837994174099927,False,5,94.9367088607595,0.18524923831849077,0.28438539317639366,0.3379863916962013
ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet,srpr,2,79,13,BatchNorm2d-49,0.8971428571428571,0.37552612905846583,0.379173479515949,Conv2d-49,0.8914285714285715,0.3727394543646752,0.37763514618203237,0.0015383333339166194,False,2,98.73417721518987,0.21442522364747277,0.31856435797807997,0.379173479515949
ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet,srpr,5,79,13,Conv2d-52,0.9485714285714286,0.38696461245032576,0.393098372563216,BatchNorm2d-51,0.9371428571428572,0.38480834307031786,0.38799112586091794,0.005107246702298063,False,8,91.13924050632912,0.22139014614779212,0.32072842362714293,0.39385610047611563
ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet,srpr,7,79,13,Conv2d-52,0.9485714285714286,0.3181933417509147,0.3133692718816862,BatchNorm2d-51,0.9371428571428572,0.31775508741443453,0.31895807567216733,-0.005588803790481156,False,4,96.20253164556962,0.18226749663156525,0.26574742593898865,0.3203011543778197
ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet,wrsa,1,79,13,Conv2d-51,0.9314285714285714,0.6489923908836819,0.622934829252028,BatchNorm2d-51,0.9371428571428572,0.6477892847928725,0.6213287365247177,0.001606092727310382,False,7,92.40506329113924,0.2699055226922715,0.4766712228235762,0.6288240206648865
ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet,wrsa,2,76,12,Conv2d-51,0.9314285714285714,0.6887295263545001,0.6266622951010413,BatchNorm2d-51,0.9371428571428572,0.6854981241863517,0.6261382008653479,0.0005240942356934397,False,11,86.8421052631579,0.27976182036315134,0.4964333068627848,0.6443159507260919
ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet,wrsa,5,79,13,AdaptiveAvgPool2d-1,0.9885714285714284,0.6918757977738867,0.6918802035365405,AdaptiveAvgPool2d-1,0.9885714285714284,0.6918757977738867,0.6918802035365405,0.0,True,1,100.0,0.3213415952322375,0.5059660872447141,0.6918802035365405
ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet,wrsa,7,79,13,BatchNorm2d-51,0.9371428571428572,0.5999397354538254,0.5796496704393399,BatchNorm2d-51,0.9371428571428572,0.5999397354538254,0.5796496704393399,0.0,True,5,94.9367088607595,0.28057168541316824,0.4436388273551344,0.5838405428843241
ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96,crsa,1,79,13,BatchNorm2d-48,0.88,0.36137960189657437,0.3279581675590398,BatchNorm2d-51,0.9371428571428572,0.35005669328835937,0.3499381749569098,-0.02198000739787004,False,3,97.46835443037975,0.11441880729099288,0.22092324869206556,0.369475014169277
ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96,crsa,2,72,11,BatchNorm2d-48,0.88,0.3861126387513139,0.3436520084899811,BatchNorm2d-51,0.9371428571428572,0.3705973219996104,0.35935396470676595,-0.01570195621678483,False,4,95.83333333333334,0.11639462332761383,0.21965436979991712,0.37969625583160205
ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96,crsa,5,79,13,BatchNorm2d-45,0.8285714285714286,0.37177364264616375,0.327660579135242,BatchNorm2d-46,0.8457142857142858,0.3710189695200569,0.3328219792258481,-0.005161400090606116,False,11,87.34177215189874,0.12411122532189561,0.2091559988296529,0.38608980287133277
ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96,crsa,7,79,13,BatchNorm2d-48,0.88,0.3506455116267115,0.31989638929035497,BatchNorm2d-51,0.9371428571428572,0.3390740458240098,0.341011338460534,-0.02111494917017903,False,3,97.46835443037975,0.11999185128941801,0.21911249627467308,0.35708256918347736
ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96,srpr,1,79,13,Conv2d-49,0.8914285714285715,0.3584940869059523,0.36266595403878515,Conv2d-49,0.8914285714285715,0.3584940869059523,0.36266595403878515,0.0,True,3,97.46835443037975,0.23844011953807914,0.3108535773393408,0.36527708126127056
ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96,srpr,2,79,13,BatchNorm2d-48,0.88,0.3947711005713012,0.39781184241892287,Conv2d-49,0.8914285714285715,0.39356450681904986,0.40039300450332715,-0.002581162084404287,False,1,100.0,0.2665254042260046,0.34899817475876843,0.40039300450332715
ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96,srpr,5,79,13,Conv2d-52,0.9485714285714286,0.411080598959358,0.4216035262578175,Conv2d-49,0.8914285714285715,0.4097380924978935,0.4183195230420461,0.0032840032157713805,False,3,97.46835443037975,0.26746378456281356,0.3583340823315028,0.4216035262578175
ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96,srpr,7,79,13,Conv2d-52,0.9485714285714286,0.33401990997316655,0.3377728419775636,Conv2d-49,0.8914285714285715,0.3321199806358016,0.3405900150780877,-0.0028171731005241507,False,1,100.0,0.22737584764794147,0.29370393152308527,0.3405900150780877
ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96,wrsa,1,79,13,Conv2d-49,0.8914285714285715,0.7082821004268236,0.6825725707404954,Conv2d-49,0.8914285714285715,0.7082821004268236,0.6825725707404954,0.0,True,4,96.20253164556962,0.31994589235678866,0.5326174870563088,0.6881983538910019
ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96,wrsa,2,79,13,Conv2d-49,0.8914285714285715,0.7499597950569454,0.707397973282612,Conv2d-49,0.8914285714285715,0.7499597950569454,0.707397973282612,0.0,True,3,97.46835443037975,0.33122337263102714,0.5646262642220097,0.7131181141351094
ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96,wrsa,5,79,13,Conv2d-49,0.8914285714285715,0.7369501672958059,0.7419637612385686,Conv2d-49,0.8914285714285715,0.7369501672958059,0.7419637612385686,0.0,True,4,96.20253164556962,0.3415352131138401,0.5821967324070066,0.7501665303371073
ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96,wrsa,7,79,13,Conv2d-49,0.8914285714285715,0.6330888808890388,0.6275820983964826,Conv2d-49,0.8914285714285715,0.6330888808890388,0.6275820983964826,0.0,True,2,98.73417721518987,0.3089408880743259,0.4971912694378133,0.6285095446315184
ResNet50-JigSaw-Goyal19_selfsupervised,ResNet50-JigSaw-Goyal19_selfsupervised,ResNet50-JigSaw-Goyal19,crsa,1,79,13,BatchNorm2d-39,0.7142857142857143,0.263168334826154,0.25736313635741803,BatchNorm2d-39,0.7142857142857143,0.263168334826154,0.25736313635741803,0.0,True,1,100.0,0.03953776504476036,0.1671873821217418,0.25736313635741803
ResNet50-JigSaw-Goyal19_selfsupervised,ResNet50-JigSaw-Goyal19_selfsupervised,ResNet50-JigSaw-Goyal19,crsa,2,76,13,BatchNorm2d-39,0.7142857142857143,0.276250731938438,0.26029567154413746,BatchNorm2d-39,0.7142857142857143,0.276250731938438,0.26029567154413746,0.0,True,2,98.68421052631578,0.03708937524983326,0.16306742628319193,0.2613036439007303
ResNet50-JigSaw-Goyal19_selfsupervised,ResNet50-JigSaw-Goyal19_selfsupervised,ResNet50-JigSaw-Goyal19,crsa,5,79,13,BatchNorm2d-39,0.7142857142857143,0.2669952192732538,0.2573158072552207,BatchNorm2d-39,0.7142857142857143,0.2669952192732538,0.2573158072552207,0.0,True,2,98.73417721518987,0.028926824194397724,0.16420667605431968,0.2626598040647914
