split,family,effect,metric,conwell,split-half,split-half + OOD,shared-image pool,subject-image pool
splithalf,Architecture,Transformer - CNN,cRSA,"-0.04 [-0.05, -0.03], p < 0.001","-0.080 [-0.093, -0.068], p <0.001",,,
splithalf,Architecture,Transformer - CNN,veRSA,"-0.01 [-0.02, -0.00], p < 0.001","+0.011 [-0.005, +0.028], p 0.168",,,
splithalf,Self-supervised,Contrastive - Non-Contrastive,cRSA,"+0.06 contrastive advantage, p < 0.001","+0.066 [+0.040, +0.091], p <0.001",,,
splithalf,Self-supervised,Contrastive - Non-Contrastive,veRSA,"+0.09 contrastive advantage, p < 0.001","+0.111 [+0.085, +0.138], p <0.001",,,
splithalf,SLIP objective,CLIP - SimCLR,cRSA,"-0.05 [-0.06, -0.03], p < 0.001","+0.004 [-0.018, +0.026], p 0.695",,,
splithalf,SLIP objective,CLIP - SimCLR,veRSA,"-0.02 [-0.04, -0.01], p = 0.005","-0.027 [-0.047, -0.007], p 0.011",,,
splithalf,SLIP objective,SLIP - SimCLR,cRSA,No substantial effect reported,"-0.010 [-0.032, +0.012], p 0.366",,,
splithalf,SLIP objective,SLIP - SimCLR,veRSA,No substantial effect reported,"+0.025 [+0.005, +0.046], p 0.016",,,
splithalf,Input diet,ImageNet21K - ImageNet1K,cRSA,"0.00 [-0.03, 0.03], p = 0.957","+0.011 [+0.000, +0.021], p 0.043",,,
splithalf,Input diet,ImageNet21K - ImageNet1K,veRSA,"+0.01 [0.00, 0.03], p = 0.147","+0.004 [-0.008, +0.016], p 0.492",,,
splithalf,IPCL input,OpenImages - ImageNet,cRSA,"-0.02 [-0.03, -0.01], p = 0.002","-0.024 [-0.045, -0.004], p 0.024",,,
splithalf,IPCL input,OpenImages - ImageNet,veRSA,"-0.04 [-0.07, -0.02], p < 0.001","-0.027 [-0.096, +0.042], p 0.406",,,
splithalf,IPCL input,Places365 - ImageNet,cRSA,"-0.03 [-0.04, -0.02], p < 0.001","-0.077 [-0.097, -0.056], p <0.001",,,
splithalf,IPCL input,Places365 - ImageNet,veRSA,"-0.07 [-0.09, -0.04], p < 0.001","-0.102 [-0.171, -0.033], p 0.007",,,
splithalf,IPCL input,VGGFace2 - ImageNet,cRSA,"-0.17 [-0.18, -0.16], p < 0.001","-0.003 [-0.024, +0.017], p 0.722",,,
splithalf,IPCL input,VGGFace2 - ImageNet,veRSA,"-0.27 [-0.30, -0.25], p < 0.001","-0.100 [-0.169, -0.030], p 0.009",,,
splithalf_ood,Architecture,Transformer - CNN,cRSA,"-0.04 [-0.05, -0.03], p < 0.001",,"-0.087 [-0.115, -0.060], p <0.001",,
splithalf_ood,Architecture,Transformer - CNN,veRSA,"-0.01 [-0.02, -0.00], p < 0.001",,"+0.047 [+0.036, +0.057], p <0.001",,
splithalf_ood,Self-supervised,Contrastive - Non-Contrastive,cRSA,"+0.06 contrastive advantage, p < 0.001",,"+0.099 [+0.074, +0.124], p <0.001",,
splithalf_ood,Self-supervised,Contrastive - Non-Contrastive,veRSA,"+0.09 contrastive advantage, p < 0.001",,"+0.006 [-0.018, +0.030], p 0.612",,
splithalf_ood,SLIP objective,CLIP - SimCLR,cRSA,"-0.05 [-0.06, -0.03], p < 0.001",,"-0.172 [-0.271, -0.072], p 0.001",,
splithalf_ood,SLIP objective,CLIP - SimCLR,veRSA,"-0.02 [-0.04, -0.01], p = 0.005",,"+0.012 [-0.000, +0.024], p 0.056",,
splithalf_ood,SLIP objective,SLIP - SimCLR,cRSA,No substantial effect reported,,"+0.028 [-0.071, +0.128], p 0.566",,
splithalf_ood,SLIP objective,SLIP - SimCLR,veRSA,No substantial effect reported,,"+0.004 [-0.008, +0.017], p 0.468",,
splithalf_ood,Input diet,ImageNet21K - ImageNet1K,cRSA,"0.00 [-0.03, 0.03], p = 0.957",,"+0.013 [-0.002, +0.027], p 0.090",,
splithalf_ood,Input diet,ImageNet21K - ImageNet1K,veRSA,"+0.01 [0.00, 0.03], p = 0.147",,"+0.001 [-0.007, +0.009], p 0.774",,
splithalf_ood,IPCL input,OpenImages - ImageNet,cRSA,"-0.02 [-0.03, -0.01], p = 0.002",,"-0.004 [-0.040, +0.032], p 0.817",,
splithalf_ood,IPCL input,OpenImages - ImageNet,veRSA,"-0.04 [-0.07, -0.02], p < 0.001",,"-0.034 [-0.064, -0.004], p 0.028",,
splithalf_ood,IPCL input,Places365 - ImageNet,cRSA,"-0.03 [-0.04, -0.02], p < 0.001",,"-0.052 [-0.088, -0.016], p 0.009",,
splithalf_ood,IPCL input,Places365 - ImageNet,veRSA,"-0.07 [-0.09, -0.04], p < 0.001",,"-0.057 [-0.087, -0.027], p 0.001",,
splithalf_ood,IPCL input,VGGFace2 - ImageNet,cRSA,"-0.17 [-0.18, -0.16], p < 0.001",,"+0.116 [+0.080, +0.152], p <0.001",,
splithalf_ood,IPCL input,VGGFace2 - ImageNet,veRSA,"-0.27 [-0.30, -0.25], p < 0.001",,"-0.057 [-0.087, -0.028], p 0.001",,
random_agg,Architecture,Transformer - CNN,cRSA,"-0.04 [-0.05, -0.03], p < 0.001",,,"-0.080 [-0.094, -0.066], p <0.001","-0.057 [-0.068, -0.045], p <0.001"
random_agg,Architecture,Transformer - CNN,veRSA,"-0.01 [-0.02, -0.00], p < 0.001",,,"+0.018 [+0.009, +0.028], p <0.001","+0.014 [+0.006, +0.022], p <0.001"
random_agg,Self-supervised,Contrastive - Non-Contrastive,cRSA,"+0.06 contrastive advantage, p < 0.001",,,"+0.110 [+0.090, +0.131], p <0.001","+0.059 [+0.041, +0.078], p <0.001"
random_agg,Self-supervised,Contrastive - Non-Contrastive,veRSA,"+0.09 contrastive advantage, p < 0.001",,,"+0.079 [+0.063, +0.096], p <0.001","+0.050 [+0.036, +0.065], p <0.001"
random_agg,SLIP objective,CLIP - SimCLR,cRSA,"-0.05 [-0.06, -0.03], p < 0.001",,,"-0.050 [-0.089, -0.010], p 0.016","-0.051 [-0.078, -0.024], p <0.001"
random_agg,SLIP objective,CLIP - SimCLR,veRSA,"-0.02 [-0.04, -0.01], p = 0.005",,,"-0.018 [-0.032, -0.003], p 0.021","-0.020 [-0.031, -0.010], p <0.001"
random_agg,SLIP objective,SLIP - SimCLR,cRSA,No substantial effect reported,,,"+0.001 [-0.039, +0.041], p 0.957","+0.012 [-0.016, +0.039], p 0.393"
