feature_stem,deepnsd_model_string,model,train_task,train_data,architecture,model_class,model_depth,display_name,metric,model_layer,model_layer_depth,mean_train,mean_test,n_subjects,rank_by_mean_train,rank_by_mean_test,selection_rule
BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Abstraction,crsa,StdConv2d-39,0.7261904761904762,0.3639785348976255,0.3539738740185148,4,1,1,highest_mean_test_score_across_subjects_posthoc
BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Abstraction,crsa,StdConv2d-39,0.7261904761904762,0.3639785348976255,0.3539738740185148,4,1,1,highest_mean_train_score_across_subjects
BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Abstraction,srpr,PreActBottleneck-15,0.9345238095238096,0.37429163575949365,0.38628645892530517,4,4,1,highest_mean_test_score_across_subjects_posthoc
BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Abstraction,srpr,StdConv2d-49,0.9107142857142856,0.37607071210052834,0.3860639616405903,4,1,3,highest_mean_train_score_across_subjects
BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Abstraction,wrsa,StdConv2d-49,0.9107142857142856,0.7097437773367339,0.7011265055255724,4,1,1,highest_mean_test_score_across_subjects_posthoc
BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Abstraction,wrsa,StdConv2d-49,0.9107142857142856,0.7097437773367339,0.7011265055255724,4,1,1,highest_mean_train_score_across_subjects
BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Animal,crsa,StdConv2d-39,0.7261904761904762,0.36592339543213287,0.35676824063545104,4,1,1,highest_mean_test_score_across_subjects_posthoc
BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Animal,crsa,StdConv2d-39,0.7261904761904762,0.36592339543213287,0.35676824063545104,4,1,1,highest_mean_train_score_across_subjects
BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Animal,srpr,PreActBottleneck-15,0.9345238095238096,0.37160440310937515,0.38363924633097607,4,4,1,highest_mean_test_score_across_subjects_posthoc
BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Animal,srpr,StdConv2d-49,0.9107142857142856,0.3745948699677372,0.3824909485463869,4,1,3,highest_mean_train_score_across_subjects
BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Animal,wrsa,PreActBottleneck-15,0.9345238095238096,0.7105476069849208,0.6987232421200303,4,1,1,highest_mean_test_score_across_subjects_posthoc
BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Animal,wrsa,PreActBottleneck-15,0.9345238095238096,0.7105476069849208,0.6987232421200303,4,1,1,highest_mean_train_score_across_subjects
BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Arthropod,crsa,StdConv2d-39,0.7261904761904762,0.37526636195864,0.3611939748108599,4,1,1,highest_mean_test_score_across_subjects_posthoc
BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Arthropod,crsa,StdConv2d-39,0.7261904761904762,0.37526636195864,0.3611939748108599,4,1,1,highest_mean_train_score_across_subjects
BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Arthropod,srpr,GroupNorm-45,0.9166666666666666,0.37576188352234585,0.384531060692004,4,2,1,highest_mean_test_score_across_subjects_posthoc
