feature_stem,deepnsd_model_string,model,train_task,train_data,architecture,model_class,display_name,metric,region,consensus_layer,subject_votes_for_consensus,n_subjects,mean_nsd_test_score_for_consensus_layer,mean_nsd_test_score_across_subject_train_selected_layers,selected_layers_by_subject
BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction,bit_expert,big_transfer,ResNet50-V2,Convolutional,BiT-Expert-ResNet-V2-Abstraction,crsa,OTC,StdConv2d-39,2,4,0.358052970217172,0.34965524971851447,1:StdConv2d-39;2:StdConv2d-39;5:StdConv2d-48;7:StdConv2d-48
BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction,bit_expert,big_transfer,ResNet50-V2,Convolutional,BiT-Expert-ResNet-V2-Abstraction,srpr,OTC,StdConv2d-48,2,4,0.386070413695096,0.38606079469232446,1:StdConv2d-48;2:StdConv2d-48;5:GroupNorm-45;7:StdConv2d-49
BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction,bit_expert,big_transfer,ResNet50-V2,Convolutional,BiT-Expert-ResNet-V2-Abstraction,wrsa,OTC,StdConv2d-49,2,4,0.6945563496235805,0.7013314211631619,1:PreActBottleneck-15;2:GroupNorm-45;5:StdConv2d-49;7:StdConv2d-49
BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal,bit_expert,big_transfer,ResNet50-V2,Convolutional,BiT-Expert-ResNet-V2-Animal,crsa,OTC,StdConv2d-39,4,4,0.356768240635451,0.356768240635451,1:StdConv2d-39;2:StdConv2d-39;5:StdConv2d-39;7:StdConv2d-39
BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal,bit_expert,big_transfer,ResNet50-V2,Convolutional,BiT-Expert-ResNet-V2-Animal,srpr,OTC,GroupNorm-45,1,4,0.425153901563711,0.383162925724214,1:PreActBottleneck-15;2:StdConv2d-48;5:GroupNorm-45;7:StdConv2d-49
BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal,bit_expert,big_transfer,ResNet50-V2,Convolutional,BiT-Expert-ResNet-V2-Animal,wrsa,OTC,PreActBottleneck-15,2,4,0.7035029310897645,0.6970228965147379,1:PreActBottleneck-15;2:PreActBottleneck-15;5:StdConv2d-49;7:StdConv2d-49
BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod,bit_expert,big_transfer,ResNet50-V2,Convolutional,BiT-Expert-ResNet-V2-Arthropod,crsa,OTC,StdConv2d-39,4,4,0.36119397481085996,0.36119397481085996,1:StdConv2d-39;2:StdConv2d-39;5:StdConv2d-39;7:StdConv2d-39
BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod,bit_expert,big_transfer,ResNet50-V2,Convolutional,BiT-Expert-ResNet-V2-Arthropod,srpr,OTC,GroupNorm-45,1,4,0.426483018059907,0.3841825808299805,1:PreActBottleneck-15;2:StdConv2d-48;5:GroupNorm-45;7:StdConv2d-49
BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod,bit_expert,big_transfer,ResNet50-V2,Convolutional,BiT-Expert-ResNet-V2-Arthropod,wrsa,OTC,PreActBottleneck-15,2,4,0.6986247543149611,0.6910828365886905,1:PreActBottleneck-15;2:PreActBottleneck-15;5:StdConv2d-49;7:StdConv2d-49
BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird,bit_expert,big_transfer,ResNet50-V2,Convolutional,BiT-Expert-ResNet-V2-Bird,crsa,OTC,StdConv2d-39,4,4,0.3486656745934365,0.3486656745934365,1:StdConv2d-39;2:StdConv2d-39;5:StdConv2d-39;7:StdConv2d-39
BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird,bit_expert,big_transfer,ResNet50-V2,Convolutional,BiT-Expert-ResNet-V2-Bird,srpr,OTC,GroupNorm-45,1,4,0.423844096846795,0.38121657100413325,1:PreActBottleneck-15;2:StdConv2d-48;5:GroupNorm-45;7:StdConv2d-49
BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird,bit_expert,big_transfer,ResNet50-V2,Convolutional,BiT-Expert-ResNet-V2-Bird,wrsa,OTC,PreActBottleneck-15,3,4,0.7161961301763998,0.6960797455114123,1:PreActBottleneck-15;2:PreActBottleneck-15;5:PreActBottleneck-15;7:StdConv2d-49
BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower,bit_expert,big_transfer,ResNet50-V2,Convolutional,BiT-Expert-ResNet-V2-Flower,crsa,OTC,StdConv2d-39,4,4,0.33381418080140945,0.33381418080140945,1:StdConv2d-39;2:StdConv2d-39;5:StdConv2d-39;7:StdConv2d-39
BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower,bit_expert,big_transfer,ResNet50-V2,Convolutional,BiT-Expert-ResNet-V2-Flower,srpr,OTC,StdConv2d-48,2,4,0.3828704972969505,0.382409151268333,1:StdConv2d-48;2:StdConv2d-48;5:GroupNorm-45;7:StdConv2d-49
BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower,bit_expert,big_transfer,ResNet50-V2,Convolutional,BiT-Expert-ResNet-V2-Flower,wrsa,OTC,PreActBottleneck-15,3,4,0.7113824952300151,0.6910781167936617,1:PreActBottleneck-15;2:PreActBottleneck-15;5:PreActBottleneck-15;7:StdConv2d-49
BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food,bit_expert,big_transfer,ResNet50-V2,Convolutional,BiT-Expert-ResNet-V2-Food,crsa,OTC,StdConv2d-39,4,4,0.35594833311604074,0.35594833311604074,1:StdConv2d-39;2:StdConv2d-39;5:StdConv2d-39;7:StdConv2d-39
BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food,bit_expert,big_transfer,ResNet50-V2,Convolutional,BiT-Expert-ResNet-V2-Food,srpr,OTC,StdConv2d-48,2,4,0.383993947870897,0.38368814128127654,1:StdConv2d-48;2:StdConv2d-48;5:GroupNorm-45;7:StdConv2d-49
BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food,bit_expert,big_transfer,ResNet50-V2,Convolutional,BiT-Expert-ResNet-V2-Food,wrsa,OTC,PreActBottleneck-15,2,4,0.6961698698712785,0.6900489754005825,1:PreActBottleneck-15;2:PreActBottleneck-15;5:StdConv2d-49;7:GroupNorm-45
BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument,bit_expert,big_transfer,ResNet50-V2,Convolutional,BiT-Expert-ResNet-V2-Instrument,crsa,OTC,StdConv2d-39,4,4,0.3528464197029042,0.3528464197029042,1:StdConv2d-39;2:StdConv2d-39;5:StdConv2d-39;7:StdConv2d-39
BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument,bit_expert,big_transfer,ResNet50-V2,Convolutional,BiT-Expert-ResNet-V2-Instrument,srpr,OTC,StdConv2d-48,2,4,0.38384543257826553,0.38273349198388373,1:StdConv2d-48;2:StdConv2d-48;5:StdConv2d-49;7:StdConv2d-49
BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument,bit_expert,big_transfer,ResNet50-V2,Convolutional,BiT-Expert-ResNet-V2-Instrument,wrsa,OTC,StdConv2d-49,2,4,0.6830602886713625,0.690903784261306,1:PreActBottleneck-15;2:StdConv2d-48;5:StdConv2d-49;7:StdConv2d-49
