deepnsd_model_string,feature_stem,model,train_task,train_data,architecture,model_class,model_depth,display_name,metric,region,subj_id,model_layer,model_layer_depth,nsd_test_score_for_train_selected_layer
BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Abstraction,crsa,OTC,1,StdConv2d-39,0.726190476190476,0.351003313349107
BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Abstraction,crsa,OTC,2,StdConv2d-39,0.726190476190476,0.365102627085237
BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Abstraction,crsa,OTC,5,StdConv2d-48,0.892857142857143,0.348155751284001
BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Abstraction,crsa,OTC,7,StdConv2d-48,0.892857142857143,0.334359307155713
BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Abstraction,srpr,OTC,1,StdConv2d-48,0.892857142857143,0.366081930944069
BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Abstraction,srpr,OTC,2,StdConv2d-48,0.892857142857143,0.406058896446123
BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Abstraction,srpr,OTC,5,GroupNorm-45,0.916666666666667,0.428238885034695
BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Abstraction,srpr,OTC,7,StdConv2d-49,0.910714285714286,0.343863466344411
BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Abstraction,wrsa,OTC,1,PreActBottleneck-15,0.93452380952381,0.691312140003166
BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Abstraction,wrsa,OTC,2,GroupNorm-45,0.916666666666667,0.724900845402321
BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Abstraction,wrsa,OTC,5,StdConv2d-49,0.910714285714286,0.749053680021296
BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction_bit_expert,BiT-Expert-ResNet-V2-Abstraction,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Abstraction,wrsa,OTC,7,StdConv2d-49,0.910714285714286,0.640059019225865
BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Animal,crsa,OTC,1,StdConv2d-39,0.726190476190476,0.352320491774067
BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Animal,crsa,OTC,2,StdConv2d-39,0.726190476190476,0.36961027421264
BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Animal,crsa,OTC,5,StdConv2d-39,0.726190476190476,0.362908767847052
BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Animal,crsa,OTC,7,StdConv2d-39,0.726190476190476,0.342233428708045
BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Animal,srpr,OTC,1,PreActBottleneck-15,0.93452380952381,0.364371785983938
BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Animal,srpr,OTC,2,StdConv2d-48,0.892857142857143,0.403354462023442
