option_key,model_name,train_type,train_data,model_source
alexnet_classification,alexnet,classification,imagenet,torchvision
vgg16_classification,vgg16,classification,imagenet,torchvision
resnet18_classification,resnet18,classification,imagenet,torchvision
resnet50_classification,resnet50,classification,imagenet,torchvision
resnet101_classification,resnet101,classification,imagenet,torchvision
resnet152_classification,resnet152,classification,imagenet,torchvision
squeezenet1_0_classification,squeezenet1_0,classification,imagenet,torchvision
densenet121_classification,densenet121,classification,imagenet,torchvision
googlenet_classification,googlenet,classification,imagenet,torchvision
shufflenet_v2_x1_0_classification,shufflenet_v2_x1_0,classification,imagenet,torchvision
mobilenet_v2_classification,mobilenet_v2,classification,imagenet,torchvision
mnasnet1_0_classification,mnasnet1_0,classification,imagenet,torchvision
autoencoding_taskonomy,autoencoding,taskonomy,taskonomy,taskonomy
class_object_taskonomy,class_object,taskonomy,taskonomy,taskonomy
class_scene_taskonomy,class_scene,taskonomy,taskonomy,taskonomy
curvature_taskonomy,curvature,taskonomy,taskonomy,taskonomy
denoising_taskonomy,denoising,taskonomy,taskonomy,taskonomy
depth_euclidean_taskonomy,depth_euclidean,taskonomy,taskonomy,taskonomy
depth_zbuffer_taskonomy,depth_zbuffer,taskonomy,taskonomy,taskonomy
edge_occlusion_taskonomy,edge_occlusion,taskonomy,taskonomy,taskonomy
edge_texture_taskonomy,edge_texture,taskonomy,taskonomy,taskonomy
egomotion_taskonomy,egomotion,taskonomy,taskonomy,taskonomy
fixated_pose_taskonomy,fixated_pose,taskonomy,taskonomy,taskonomy
inpainting_taskonomy,inpainting,taskonomy,taskonomy,taskonomy
jigsaw_taskonomy,jigsaw,taskonomy,taskonomy,taskonomy
keypoints2d_taskonomy,keypoints2d,taskonomy,taskonomy,taskonomy
keypoints3d_taskonomy,keypoints3d,taskonomy,taskonomy,taskonomy
nonfixated_pose_taskonomy,nonfixated_pose,taskonomy,taskonomy,taskonomy
normal_taskonomy,normal,taskonomy,taskonomy,taskonomy
point_matching_taskonomy,point_matching,taskonomy,taskonomy,taskonomy
reshading_taskonomy,reshading,taskonomy,taskonomy,taskonomy
room_layout_taskonomy,room_layout,taskonomy,taskonomy,taskonomy
segment_semantic_taskonomy,segment_semantic,taskonomy,taskonomy,taskonomy
segment_unsup25d_taskonomy,segment_unsup25d,taskonomy,taskonomy,taskonomy
segment_unsup2d_taskonomy,segment_unsup2d,taskonomy,taskonomy,taskonomy
vanishing_point_taskonomy,vanishing_point,taskonomy,taskonomy,taskonomy
random_weights_taskonomy,random_weights,taskonomy,,taskonomy
coat_lite_tiny_classification,coat_lite_tiny,classification,imagenet,timm
convnext_base_classification,convnext_base,classification,imagenet,timm
convnext_large_classification,convnext_large,classification,imagenet,timm
crossvit_base_240_classification,crossvit_base_240,classification,imagenet,timm
deit_base_patch16_224_classification,deit_base_patch16_224,classification,imagenet,timm
cspresnet50_classification,cspresnet50,classification,imagenet,timm
dla34_classification,dla34,classification,imagenet,timm
eca_nfnet_l0_classification,eca_nfnet_l0,classification,imagenet,timm
efficientnet_b1_classification,efficientnet_b1,classification,imagenet,timm
efficientnet_b3_classification,efficientnet_b3,classification,imagenet,timm
ghostnet_100_classification,ghostnet_100,classification,imagenet,timm
gmixer_24_224_classification,gmixer_24_224,classification,imagenet,timm
gmlp_s16_224_classification,gmlp_s16_224,classification,imagenet,timm
hardcorenas_a_classification,hardcorenas_a,classification,imagenet,timm
hardcorenas_f_classification,hardcorenas_f,classification,imagenet,timm
jx_nest_tiny_classification,jx_nest_tiny,classification,imagenet,timm
levit_128_classification,levit_128,classification,imagenet,timm
inception_v3_classification,inception_v3,classification,imagenet,timm
mixer_b16_224_classification,mixer_b16_224,classification,imagenet,timm
mixer_l16_224_classification,mixer_l16_224,classification,imagenet,timm
mobilenetv3_large_100_classification,mobilenetv3_large_100,classification,imagenet,timm
nf_resnet50_classification,nf_resnet50,classification,imagenet,timm
nfnet_l0_classification,nfnet_l0,classification,imagenet,timm
pit_b_224_classification,pit_b_224,classification,imagenet,timm
pit_ti_224_classification,pit_ti_224,classification,imagenet,timm
poolformer_s36_classification,poolformer_s36,classification,imagenet,timm
regnetx_064_classification,regnetx_064,classification,imagenet,timm
regnety_064_classification,regnety_064,classification,imagenet,timm
resmlp_big_24_224_classification,resmlp_big_24_224,classification,imagenet,timm
semnasnet_100_classification,semnasnet_100,classification,imagenet,timm
seresnext50_32x4d_classification,seresnext50_32x4d,classification,imagenet,timm
skresnext50_32x4d_classification,skresnext50_32x4d,classification,imagenet,timm
swin_base_patch4_window7_224_classification,swin_base_patch4_window7_224,classification,imagenet,timm
swin_large_patch4_window7_224_classification,swin_large_patch4_window7_224,classification,imagenet,timm
swin_tiny_patch4_window7_224_classification,swin_tiny_patch4_window7_224,classification,imagenet,timm
tnt_s_patch16_224_classification,tnt_s_patch16_224,classification,imagenet,timm
visformer_small_classification,visformer_small,classification,imagenet,timm
vit_large_patch16_224_classification,vit_large_patch16_224,classification,imagenet,timm
vit_small_patch16_224_classification,vit_small_patch16_224,classification,imagenet,timm
vit_tiny_patch16_224_classification,vit_tiny_patch16_224,classification,imagenet,timm
vit_base_patch16_224_classification,vit_base_patch16_224,classification,imagenet,timm
vit_base_patch32_224_classification,vit_base_patch32_224,classification,imagenet,timm
vit_small_patch32_224_classification,vit_small_patch32_224,classification,imagenet,timm
xception_classification,xception,classification,imagenet,timm
xcit_nano_12_p8_224_classification,xcit_nano_12_p8_224,classification,imagenet,timm
xcit_nano_12_p16_224_classification,xcit_nano_12_p16_224,classification,imagenet,timm
convnext_base_in22k_classification,convnext_base_in22k,classification,imagenet21k,timm
convnext_large_in22k_classification,convnext_large_in22k,classification,imagenet21k,timm
mixer_b16_224_in21k_classification,mixer_b16_224_in21k,classification,imagenet21k,timm
mixer_l16_224_in21k_classification,mixer_l16_224_in21k,classification,imagenet21k,timm
swin_base_patch4_window7_224_in22k_classification,swin_base_patch4_window7_224_in22k,classification,imagenet21k,timm
swin_large_patch4_window7_224_in22k_classification,swin_large_patch4_window7_224_in22k,classification,imagenet21k,timm
resmlp_big_24_224_in22ft1k_classification,resmlp_big_24_224_in22ft1k,classification,imagenet21k,timm
vit_base_patch16_224_in21k_classification,vit_base_patch16_224_in21k,classification,imagenet21k,timm
vit_small_patch16_224_in21k_classification,vit_small_patch16_224_in21k,classification,imagenet21k,timm
vit_large_patch16_224_in21k_classification,vit_large_patch16_224_in21k,classification,imagenet21k,timm
vit_base_patch32_224_in21k_classification,vit_base_patch32_224_in21k,classification,imagenet21k,timm
vit_small_patch32_224_in21k_classification,vit_small_patch32_224_in21k,classification,imagenet21k,timm
ResNet50-JigSaw-P100_selfsupervised,ResNet50-JigSaw-P100,selfsupervised,imagenet,vissl
ResNet50-JigSaw-Goyal19_selfsupervised,ResNet50-JigSaw-Goyal19,selfsupervised,imagenet,vissl
ResNet50-RotNet_selfsupervised,ResNet50-RotNet,selfsupervised,imagenet,vissl
ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet,selfsupervised,imagenet,vissl
ResNet50-PIRL_selfsupervised,ResNet50-PIRL,selfsupervised,imagenet,vissl
ResNet50-SimCLR_selfsupervised,ResNet50-SimCLR,selfsupervised,imagenet,vissl
ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96,selfsupervised,imagenet,vissl
ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised,ResNet50-SwAV-BS4096-2x224+6x96,selfsupervised,imagenet,vissl
ResNet50-MoCoV2-BS256_selfsupervised,ResNet50-MoCoV2-BS256,selfsupervised,imagenet,vissl
ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048,selfsupervised,imagenet,vissl
ViT-S-SimCLR_slip,ViT-S-SimCLR,slip,YFCC15M,slip
ViT-S-CLIP_slip,ViT-S-CLIP,slip,YFCC15M,slip
ViT-S-SLIP_slip,ViT-S-SLIP,slip,YFCC15M,slip
ViT-B-SimCLR_slip,ViT-B-SimCLR,slip,YFCC15M,slip
ViT-B-CLIP_slip,ViT-B-CLIP,slip,YFCC15M,slip
ViT-B-SLIP_slip,ViT-B-SLIP,slip,YFCC15M,slip
ViT-L-SimCLR_slip,ViT-L-SimCLR,slip,YFCC15M,slip
ViT-L-CLIP_slip,ViT-L-CLIP,slip,YFCC15M,slip
ViT-L-SLIP_slip,ViT-L-SLIP,slip,YFCC15M,slip
alexnet_gn_ipcl_imagenet,alexnet_gn_ipcl_imagenet,ipcl,imagenet,ipcl
alexnet_gn_ipcl_openimages,alexnet_gn_ipcl_openimages,ipcl,openimages,ipcl
alexnet_gn_ipcl_places256,alexnet_gn_ipcl_places256,ipcl,places256,ipcl
alexnet_gn_ipcl_vggface2,alexnet_gn_ipcl_vggface2,ipcl,vggface2,ipcl
